point,type,months,total,monthly
基隆市七堵區七堵國民小學附設幼兒園,公立,0,0,NAN
基隆市七堵區堵南國民小學附設幼兒園,公立,0,0,NAN
基隆市七堵區復興國民小學附設幼兒園,公立,0,0,NAN
基隆市七堵區瑪陵國民小學附設幼兒園,公立,0,0,NAN
基隆市七堵區華興國民小學附設幼兒園,公立,0,0,NAN
基隆市中山區中和國民小學附設幼兒園,公立,0,0,NAN
基隆市中山區中山國民小學附設幼兒園,公立,0,0,NAN
基隆市中山區港西國民小學附設幼兒園,公立,0,0,NAN
基隆市中正區和平國民小學附設幼兒園,公立,0,0,NAN
基隆市中正區忠孝國民小學附設幼兒園,公立,0,0,NAN
基隆市中正區正濱國民小學附設幼兒園,公立,0,0,NAN
基隆市仁愛區南榮國民小學附設幼兒園,公立,0,0,NAN
基隆市信義區中興國民小學附設幼兒園,公立,0,0,NAN
基隆市信義區信義國民小學附設幼兒園,公立,0,0,NAN
基隆市信義區月眉國民小學附設幼兒園,公立,0,0,NAN
基隆市信義區東信國民小學附設幼兒園,公立,0,0,NAN
基隆市信義區深美國民小學附設幼兒園,公立,0,0,NAN
基隆市安樂區隆聖國民小學附設幼兒園,公立,0,0,NAN
基隆市私立啟賢幼兒園,準公共化,0,0,NAN
基隆市私立安特幼兒園,準公共化,0,0,NAN
基隆市私立小象文教幼兒園,私立,0,0,NAN
基隆市私立愷昀幼兒園,私立,0,0,NAN
基隆市私立神奇寶貝幼兒園,準公共化,0,0,NAN
基隆市私立蒙特梭利幼兒園,私立,0,0,NAN
基隆市私立貝貝幼兒園,準公共化,0,0,NAN
基隆市立安心幼兒園八斗分班,公立,0,0,NAN
基隆市立安心幼兒園百福分班,公立,0,0,NAN
基隆市立建德幼兒園,公立,0,0,NAN
輔仁大學學校財團法人基隆市輔大聖心高級中學附設私立幼兒園,私立,0,0,NAN
