鄉鎮市區,學校,類型,年齡,學期,班別,全學期總收費,課後延托費
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,5,上學期,半日班,8310,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,5,上學期,全日班,14850,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,5,下學期,半日班,8310,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,5,下學期,全日班,14850,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,4,上學期,半日班,8310,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,4,上學期,全日班,14850,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,4,下學期,半日班,8310,
花蓮市,國立東華大學附設實驗國民小學附設幼兒園,公立,4,下學期,全日班,14850,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,5,上學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,5,下學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,4,上學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,4,下學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,3,上學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,3,下學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,2,上學期,全日班,54000,
壽豐鄉,國立東華大學附設花蓮縣私立實驗幼兒園,私立,2,下學期,全日班,54000,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,5,上學期,半日班,21575,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,5,上學期,全日班,35000,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,5,下學期,半日班,21575,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,5,下學期,全日班,35000,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,4,上學期,半日班,25450,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,4,上學期,全日班,35000,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,4,下學期,半日班,25450,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,4,下學期,全日班,35000,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,3,上學期,半日班,25450,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,3,上學期,全日班,35000,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,3,下學期,半日班,25450,
花蓮市,慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,私立,3,下學期,全日班,35000,
花蓮市,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),非營利,5,上學期,全日班,53700,
花蓮市,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),非營利,5,下學期,全日班,53700,
花蓮市,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),非營利,4,上學期,全日班,53700,
花蓮市,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),非營利,4,下學期,全日班,53700,
花蓮市,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),非營利,3,上學期,全日班,53700,
花蓮市,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),非營利,3,下學期,全日班,53700,
吉安鄉,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),非營利,5,上學期,全日班,52890,
吉安鄉,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),非營利,5,下學期,全日班,52890,
吉安鄉,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),非營利,4,上學期,全日班,52890,
吉安鄉,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),非營利,4,下學期,全日班,52890,
吉安鄉,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),非營利,3,上學期,全日班,52890,
吉安鄉,社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),非營利,3,下學期,全日班,52890,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,5,上學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,5,下學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,4,上學期,半日班,34170,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,4,上學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,4,下學期,半日班,34170,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,4,下學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,3,上學期,半日班,34170,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,3,上學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,3,下學期,半日班,34170,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,3,下學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,2,上學期,半日班,34170,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,2,上學期,全日班,48000,4500
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,2,下學期,半日班,34170,
新城鄉,私立海星高級中學附屬花蓮縣海星幼兒園,私立,2,下學期,全日班,48000,4500
光復鄉,花蓮縣光復鄉光復國民小學附設幼兒園,公立,5,上學期,半日班,10125,
光復鄉,花蓮縣光復鄉光復國民小學附設幼兒園,公立,5,上學期,全日班,12990,
光復鄉,花蓮縣光復鄉光復國民小學附設幼兒園,公立,5,下學期,半日班,10125,
光復鄉,花蓮縣光復鄉光復國民小學附設幼兒園,公立,5,下學期,全日班,12990,
