鄉鎮市區,學校,類型,年齡,學期,班別,全學期總收費,課後延托費
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,5,上學期,半日班,11035,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,5,上學期,全日班,13885,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,5,下學期,半日班,11035,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,5,下學期,全日班,13885,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,上學期,半日班,11035,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,上學期,全日班,13885,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,下學期,半日班,11035,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,下學期,全日班,13885,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,上學期,半日班,11035,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,上學期,全日班,13885,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,下學期,半日班,11035,
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,下學期,全日班,13885,
望安鄉,澎湖縣望安鄉將軍國民小學附設幼兒園,公立,5,上學期,半日班,11910,0
望安鄉,澎湖縣望安鄉將軍國民小學附設幼兒園,公立,5,上學期,全日班,14960,0
望安鄉,澎湖縣望安鄉將軍國民小學附設幼兒園,公立,5,下學期,半日班,11385,0
望安鄉,澎湖縣望安鄉將軍國民小學附設幼兒園,公立,5,下學期,全日班,14235,0
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,5,上學期,半日班,11910,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,5,上學期,全日班,14960,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,5,下學期,半日班,10160,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,5,下學期,全日班,12810,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,4,上學期,半日班,11910,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,4,上學期,全日班,14960,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,4,下學期,半日班,10210,
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,4,下學期,全日班,12810,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,5,上學期,半日班,10835,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,5,上學期,全日班,13585,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,5,下學期,半日班,10835,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,5,下學期,全日班,13585,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,4,上學期,半日班,10835,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,4,上學期,全日班,13585,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,4,下學期,半日班,10835,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,4,下學期,全日班,13585,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,3,上學期,半日班,10835,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,3,上學期,全日班,13585,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,3,下學期,半日班,10835,
望安鄉,澎湖縣望安鄉花嶼國民小學附設幼兒園,公立,3,下學期,全日班,13585,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,5,上學期,半日班,12010,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,5,上學期,全日班,15110,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,5,下學期,半日班,10260,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,5,下學期,全日班,12960,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,4,上學期,半日班,12010,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,4,上學期,全日班,15110,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,4,下學期,半日班,10260,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,4,下學期,全日班,12960,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,3,上學期,半日班,12010,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,3,上學期,全日班,15110,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,3,下學期,半日班,10260,
湖西鄉,澎湖縣湖西鄉沙港國民小學附設幼兒園,公立,3,下學期,全日班,12960,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,5,上學期,半日班,12010,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,5,上學期,全日班,15110,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,5,下學期,半日班,10260,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,5,下學期,全日班,12960,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,4,上學期,半日班,12010,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,4,上學期,全日班,15110,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,4,下學期,半日班,10260,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,4,下學期,全日班,12960,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,3,上學期,半日班,12010,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,3,上學期,全日班,15110,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,3,下學期,半日班,10260,
湖西鄉,澎湖縣湖西鄉湖西國民小學附設幼兒園,公立,3,下學期,全日班,12960,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,5,上學期,半日班,9600,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,5,上學期,全日班,14300,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,5,下學期,半日班,12300,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,5,下學期,全日班,18500,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,4,上學期,半日班,9600,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,4,上學期,全日班,14300,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,4,下學期,半日班,12300,
湖西鄉,澎湖縣湖西鄉立幼兒園,公立,4,下學期,全日班,18500,
