鄉鎮市區,學校,類型,年齡,學期,班別,全學期總收費,課後延托費
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,5,上學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,5,下學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,4,上學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,4,下學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,3,上學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,3,下學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,2,上學期,全日班,13750,
烈嶼鄉,金門縣烈嶼鄉上岐國民小學附設幼兒園,公立,2,下學期,全日班,13750,
烈嶼鄉,金門縣烈嶼鄉卓環國民小學附設幼兒園,公立,5,上學期,全日班,7000,0
烈嶼鄉,金門縣烈嶼鄉卓環國民小學附設幼兒園,公立,5,下學期,全日班,7000,0
烈嶼鄉,金門縣烈嶼鄉卓環國民小學附設幼兒園,公立,4,上學期,全日班,7000,0
烈嶼鄉,金門縣烈嶼鄉卓環國民小學附設幼兒園,公立,4,下學期,全日班,7000,0
烈嶼鄉,金門縣烈嶼鄉卓環國民小學附設幼兒園,公立,3,上學期,全日班,7000,0
烈嶼鄉,金門縣烈嶼鄉卓環國民小學附設幼兒園,公立,3,下學期,全日班,7000,0
烈嶼鄉,金門縣烈嶼鄉西口國民小學附設幼兒園,公立,5,上學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉西口國民小學附設幼兒園,公立,5,下學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉西口國民小學附設幼兒園,公立,4,上學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉西口國民小學附設幼兒園,公立,4,下學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉西口國民小學附設幼兒園,公立,3,上學期,全日班,7000,
烈嶼鄉,金門縣烈嶼鄉西口國民小學附設幼兒園,公立,3,下學期,全日班,7000,
金城鎮,金門縣私立寶貝園地幼兒園,私立,5,上學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,5,上學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,5,下學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,5,下學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,4,上學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,4,上學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,4,下學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,4,下學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,3,上學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,3,上學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,3,下學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,3,下學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,2,上學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,2,上學期,全日班,51912,9000
金城鎮,金門縣私立寶貝園地幼兒園,私立,2,下學期,半日班,34840,
金城鎮,金門縣私立寶貝園地幼兒園,私立,2,下學期,全日班,51912,9000
金城鎮,金門縣私立小狀元幼兒園,私立,5,上學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,5,下學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,4,上學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,4,下學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,3,上學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,3,下學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,2,上學期,全日班,44500,
金城鎮,金門縣私立小狀元幼兒園,私立,2,下學期,全日班,44500,
金城鎮,金門縣私立成功幼兒園,私立,3,上學期,全日班,42000,
金城鎮,金門縣私立成功幼兒園,私立,3,下學期,全日班,42000,
金城鎮,金門縣私立成功幼兒園,私立,2,上學期,全日班,42000,
金城鎮,金門縣私立成功幼兒園,私立,2,下學期,全日班,42000,
金城鎮,金門縣私立羅伊頓幼兒園,私立,5,上學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,5,下學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,4,上學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,4,下學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,3,上學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,3,下學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,2,上學期,全日班,60000,13800
金城鎮,金門縣私立羅伊頓幼兒園,私立,2,下學期,全日班,60000,13800
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,5,上學期,全日班,46000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,5,下學期,全日班,46000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,4,上學期,全日班,46000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,4,下學期,全日班,46000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,3,上學期,全日班,46000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,3,下學期,全日班,46000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,2,上學期,全日班,51000,
金湖鎮,金門縣私立肯利熊優質幼兒園,私立,2,下學期,全日班,51000,
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,5,上學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,5,下學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,4,上學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,4,下學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,3,上學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,3,下學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,2,上學期,全日班,51558,9000
金城鎮,金門縣私立雅韻藝術學苑幼兒園,私立,2,下學期,全日班,51558,9000
金城鎮,金門縣立金城幼兒園,公立,5,上學期,全日班,7000,0
金城鎮,金門縣立金城幼兒園,公立,5,下學期,全日班,7000,0
金城鎮,金門縣立金城幼兒園,公立,4,上學期,全日班,7000,0
金城鎮,金門縣立金城幼兒園,公立,4,下學期,全日班,7000,0
金城鎮,金門縣立金城幼兒園,公立,3,上學期,全日班,7000,0
金城鎮,金門縣立金城幼兒園,公立,3,下學期,全日班,7000,0
金寧鄉,金門縣立金寧國民中小學附設幼兒園,公立,5,上學期,全日班,7000,
金寧鄉,金門縣立金寧國民中小學附設幼兒園,公立,5,下學期,全日班,7000,
金寧鄉,金門縣立金寧國民中小學附設幼兒園,公立,4,上學期,全日班,7000,
金寧鄉,金門縣立金寧國民中小學附設幼兒園,公立,4,下學期,全日班,7000,
金寧鄉,金門縣立金寧國民中小學附設幼兒園,公立,3,上學期,全日班,7000,
金寧鄉,金門縣立金寧國民中小學附設幼兒園,公立,3,下學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園,公立,5,上學期,全日班,7000,0
金城鎮,金門縣金城鎮古城國民小學附設幼兒園,公立,5,下學期,全日班,7000,0
金城鎮,金門縣金城鎮古城國民小學附設幼兒園,公立,4,上學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園,公立,4,下學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園,公立,3,上學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園,公立,3,下學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園金水分班,公立,5,上學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園金水分班,公立,5,下學期,全日班,7000,
金城鎮,金門縣金城鎮古城國民小學附設幼兒園金水分班,公立,4,上學期,全日班,7000,0
金城鎮,金門縣金城鎮古城國民小學附設幼兒園金水分班,公立,4,下學期,全日班,7000,0
金城鎮,金門縣金城鎮古城國民小學附設幼兒園金水分班,公立,3,上學期,全日班,7000,0
金城鎮,金門縣金城鎮古城國民小學附設幼兒園金水分班,公立,3,下學期,全日班,7000,0
金城鎮,金門縣金城鎮賢庵國民小學附設幼兒園,公立,5,上學期,全日班,7000,
金城鎮,金門縣金城鎮賢庵國民小學附設幼兒園,公立,5,下學期,全日班,7000,
金城鎮,金門縣金城鎮賢庵國民小學附設幼兒園,公立,4,上學期,全日班,7000,
金城鎮,金門縣金城鎮賢庵國民小學附設幼兒園,公立,4,下學期,全日班,7000,
金城鎮,金門縣金城鎮賢庵國民小學附設幼兒園,公立,3,上學期,全日班,7000,
金城鎮,金門縣金城鎮賢庵國民小學附設幼兒園,公立,3,下學期,全日班,7000,
