point,area,type,months,total,monthly
中國鋼鐵股份有限公司職工福利委員會附設高雄市私立中鋼幼兒園,小港區,準公共化,12,105064,8755
中山學校財團法人高雄市中山高級工商職業學校附屬私立中山幼兒園,大寮區,私立,12,157200,13100
中山學校財團法人高雄市中山高級工商職業學校附屬高雄市私立進學非營利幼兒園（高雄市政府委託辦理）,大寮區,非營利,12,94908,7909
右昌基督長老教會附設高雄市私立右光幼兒園,楠梓區,私立,12,85800,7150
國立中山大學附設高雄市私立幼兒園,鼓山區,私立,10,89000,8900
正修學校財團法人正修科技大學附設高雄市私立正修幼兒園,鳥松區,私立,12,110000,9167
社團法人台灣公共托育協會附設高雄市私立新民非營利幼兒園(高雄市政府委託辦理),左營區,非營利,12,93960,7830
私立大榮高級中學附設高雄市幼兒園,鼓山區,私立,12,180000,15000
私立復華高級中學附設高雄市幼兒園,苓雅區,私立,12,136940,11412
私立輔英科技大學附設高雄市幼兒園,大寮區,準公共化,12,131400,10950
義大醫療財團法人附設高雄市私立義大醫療幼兒園,燕巢區,私立,12,114960,9580
舊城基督長老教會附設高雄市私立左營幼兒園,左營區,準公共化,12,88600,7383
財團法人中華基督教衛理公會附設高雄市私立衛理幼兒園,新興區,私立,12,105200,8767
財團法人中華民國佛教慈濟慈善事業基金會附設高雄市私立高雄大愛幼兒園,三民區,私立,12,111600,9300
財團法人台灣中油股份有限公司職工福利委員會附設高雄市私立煉油廠幼兒園,楠梓區,私立,12,83332,6944
財團法人台灣聖公會附設高雄市私立聖保羅幼兒園,三民區,私立,12,125760,10480
財團法人台灣聖公會附設高雄市私立聖公會幼兒園,茄萣區,私立,12,120000,10000
財團法人天主教奧思會附設高雄市私立奧思幼兒園,大寮區,私立,12,94800,7900
財團法人天主教奧思會附設高雄市私立理達幼兒園,林園區,準公共化,12,100032,8336
財團法人天主教會高雄教區附設高雄市私立善牧幼兒園,鳳山區,私立,12,132000,11000
財團法人天主教會高雄教區附設高雄市私立海星幼兒園,旗津區,私立,12,89920,7493
財團法人天主教會高雄教區附設高雄市私立道明幼兒園,橋頭區,準公共化,12,104660,8722
財團法人天主教會高雄教區附設高雄市私立露庇幼兒園,梓官區,私立,12,62400,5200
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立樂仁幼兒園,苓雅區,私立,10,136000,13600
財團法人福智文教基金會附設高雄市私立妙善幼兒園,前鎮區,準公共化,12,121884,10157
財團法人福智文教基金會附設高雄市私立妙慧幼兒園,鼓山區,準公共化,12,112392,9366
財團法人私立高雄醫學大學附設高雄市私立高醫幼兒園,三民區,私立,12,87000,7250
財團法人聖徒會附設高雄市私立曉明幼兒園,三民區,準公共化,12,102376,8531
財團法人親親文教基金會附設高雄市私立親親幼兒園,鳳山區,私立,12,108000,9000
財團法人高雄市基督教青年會附設高雄市私立英明幼兒園,苓雅區,私立,12,108000,9000
財團法人高雄市私立慰親幼兒園,鼓山區,準公共化,12,89224,7435
長庚醫療財團法人高雄長庚紀念醫院附設高雄市私立長庚幼兒園,鳥松區,私立,12,133800,11150
高雄市三民區三民國民小學附設幼兒園,三民區,公立,8,34862,4358
高雄市三民區十全國民小學附設幼兒園,三民區,公立,8,34662,4333
高雄市三民區博愛國民小學附設幼兒園,三民區,公立,8,34678,4335
高雄市三民區愛國國民小學附設幼兒園,三民區,公立,8,34278,4285
高雄市三民區東光國民小學附設幼兒園,三民區,公立,8,34862,4358
高雄市三民區正興國民小學附設幼兒園,三民區,公立,8,34616,4327
高雄市三民區河堤國民小學附設幼兒園,三民區,公立,8,34202,4275
高雄市三民區河濱國民小學附設幼兒園,三民區,公立,8,34862,4358
高雄市三民區獅湖國民小學附設幼兒園,三民區,公立,8,34662,4333
高雄市三民區莊敬國民小學附設幼兒園,三民區,公立,8,34862,4358
高雄市三民區陽明國民小學附設幼兒園,三民區,公立,8,34862,4358
高雄市三民區鼎金國民小學附設幼兒園,三民區,公立,8,34862,4358
高雄市中山非營利幼兒園(委託社團法人高雄市婦幼培訓關懷協會辦理),鼓山區,非營利,12,89652,7471
高雄市中崙非營利幼兒園(委託社團法人高雄市婦幼培訓關懷協會辦理),鳳山區,非營利,12,96432,8036
高雄市五甲社區自治非營利幼兒園（委託財團法人彭婉如文教基金會辦理）,鳳山區,非營利,12,107412,8951
高雄市仁武區仁武國民小學附設幼兒園,仁武區,公立,8,33810,4226
高雄市仁武區八卦國民小學附設幼兒園,仁武區,公立,8,34094,4262
高雄市仁武區灣內國民小學附設幼兒園,仁武區,公立,8,33894,4237
高雄市仁武區烏林國民小學附設幼兒園,仁武區,公立,8,33894,4237
高雄市仁武區登發國民小學附設幼兒園,仁武區,公立,8,33894,4237
高雄市仁武區竹後國民小學附設幼兒園,仁武區,公立,8,34380,4298
高雄市內門區內門國民小學附設幼兒園,內門區,公立,8,32262,4033
高雄市內門區景義國民小學附設幼兒園,內門區,公立,8,25270,3159
高雄市內門區木柵國民小學附設幼兒園,內門區,公立,8,26712,3339
高雄市內門區溝坪國民小學附設幼兒園,內門區,公立,8,26010,3251
高雄市內門區西門國民小學附設幼兒園,內門區,公立,8,27230,3404
高雄市內門區觀亭國民小學附設幼兒園,內門區,公立,10,33634,3363
高雄市六龜區六龜國民小學附設幼兒園,六龜區,公立,8,26970,3371
高雄市六龜區寶來國民小學附設幼兒園,六龜區,公立,8,27494,3437
高雄市六龜區新威國民小學附設幼兒園,六龜區,公立,8,26856,3357
高雄市六龜區荖濃國民小學附設幼兒園,六龜區,公立,8,28262,3533
高雄市六龜區龍興國民小學附設幼兒園,六龜區,公立,8,27294,3412
高雄市前金區建國國民小學附設幼兒園,前金區,公立,8,34662,4333
高雄市前鎮區仁愛國民小學附設幼兒園,前鎮區,公立,8,34662,4333
高雄市前鎮區佛公國民小學附設幼兒園,前鎮區,公立,8,34662,4333
高雄市前鎮區光華國民小學附設幼兒園,前鎮區,公立,8,33902,4238
高雄市前鎮區前鎮國民小學附設幼兒園,前鎮區,公立,8,34662,4333
高雄市前鎮區復興國民小學附設幼兒園,前鎮區,公立,8,34862,4358
高雄市前鎮區愛群國民小學附設幼兒園,前鎮區,公立,8,34662,4333
高雄市前鎮區明正國民小學附設幼兒園,前鎮區,公立,8,34570,4321
高雄市前鎮區樂群國民小學附設幼兒園,前鎮區,公立,8,34662,4333
高雄市前鎮區民權國民小學附設幼兒園,前鎮區,公立,8,34592,4324
高雄市前鎮區獅甲國民小學附設幼兒園,前鎮區,公立,8,34862,4358
高雄市前鎮區瑞豐國民小學附設幼兒園,前鎮區,公立,8,34570,4321
高雄市前鎮區紅毛港國民小學附設幼兒園,前鎮區,公立,8,34662,4333
高雄市前鎮區鎮昌國民小學附設幼兒園,前鎮區,公立,8,34678,4335
高雄市前鎮非營利幼兒園（委託高雄市教保人員職業工會辦理）,前鎮區,非營利,12,90240,7520
高雄市右昌非營利幼兒園（委託社團法人高雄市婦幼培訓關懷協會辦理）,楠梓區,非營利,12,111252,9271
高雄市大寮區中庄國民小學附設幼兒園,大寮區,公立,8,34094,4262
高雄市大寮區大寮國民小學附設幼兒園,大寮區,公立,8,33710,4214
高雄市大寮區山頂國民小學附設幼兒園,大寮區,公立,8,33398,4175
高雄市大寮區後庄國民小學附設幼兒園,大寮區,公立,8,33194,4149
高雄市大寮區忠義國民小學附設幼兒園,大寮區,公立,8,34286,4286
高雄市大寮區昭明國民小學附設幼兒園,大寮區,公立,8,33962,4245
高雄市大寮區永芳國民小學附設幼兒園,大寮區,公立,8,33710,4214
高雄市大寮區溪寮國民小學附設幼兒園,大寮區,公立,8,34278,4285
高雄市大寮區潮寮國民小學附設幼兒園,大寮區,公立,8,26030,3254
高雄市大寮區翁園國民小學附設幼兒園,大寮區,公立,8,33894,4237
高雄市大樹區九曲國民小學附設幼兒園,大樹區,公立,8,33710,4214
高雄市大樹區大樹國民小學附設幼兒園,大樹區,公立,8,33894,4237
高雄市大樹區小坪國民小學附設幼兒園,大樹區,公立,8,33510,4189
高雄市大樹區水寮國民小學附設幼兒園,大樹區,公立,8,33510,4189
高雄市大樹區溪埔國民小學附設幼兒園,大樹區,公立,8,33510,4189
高雄市大樹區興田國民小學附設幼兒園,大樹區,公立,8,30844,3856
高雄市大樹區龍目國民小學附設幼兒園,大樹區,公立,8,30526,3816
高雄市大社區大社國民小學附設幼兒園,大社區,公立,8,33480,4185
高雄市大社區觀音國民小學附設幼兒園,大社區,公立,8,34470,4309
高雄市小港區二苓國民小學附設幼兒園,小港區,公立,8,34662,4333
高雄市小港區坪頂國民小學附設幼兒園,小港區,公立,8,34340,4293
高雄市小港區太平國民小學附設幼兒園,小港區,公立,8,34616,4327
高雄市小港區小港國民小學附設幼兒園,小港區,公立,8,34662,4333
高雄市小港區桂林國民小學附設幼兒園,小港區,公立,8,34662,4333
高雄市小港區港和國民小學附設幼兒園,小港區,公立,8,34862,4358
高雄市小港區漢民國民小學附設幼兒園,小港區,公立,8,34524,4316
高雄市小港區華山國民小學附設幼兒園,小港區,公立,8,34662,4333
高雄市小港區青山國民小學附設幼兒園,小港區,公立,8,34662,4333
高雄市小港區鳳林國民小學附設幼兒園,小港區,公立,8,34662,4333
高雄市小港非營利幼兒園(委託社團法人高雄市社區教育協會辦理),小港區,非營利,12,82704,6892
高雄市岡山區兆湘國民小學附設幼兒園,岡山區,公立,8,33852,4232
高雄市岡山區前峰國民小學附設幼兒園,岡山區,公立,8,33710,4214
高雄市岡山區和平國民小學附設幼兒園,岡山區,公立,8,33710,4214
高雄市岡山區嘉興國民小學附設幼兒園,岡山區,公立,8,34278,4285
高雄市岡山區大後協社區發展協會附設高雄市私立幼兒園,岡山區,私立,12,82000,6833
高雄市岡山區岡山國民小學附設幼兒園,岡山區,公立,8,33710,4214
高雄市岡山區後紅國民小學附設幼兒園,岡山區,公立,8,33510,4189
高雄市岡山非營利幼兒園,岡山區,非營利,12,96408,8034
高雄市岱克拉思部落互助教保服務中心(高雄市原住民族文教協會辦理),杉林區,私立,12,42600,3550
高雄市左營區勝利國民小學附設幼兒園,左營區,公立,8,34862,4358
高雄市左營區屏山國民小學附設幼兒園,左營區,公立,8,34862,4358
高雄市左營區左營國民小學附設幼兒園,左營區,公立,8,34862,4358
高雄市左營區文府國民小學附設幼兒園,左營區,公立,8,34524,4316
高雄市左營區新上國民小學附設幼兒園,左營區,公立,8,34662,4333
高雄市左營區新莊國民小學附設幼兒園,左營區,公立,8,34616,4327
高雄市左營區明德國民小學附設幼兒園,左營區,公立,8,34662,4333
高雄市左營區永清國民小學附設幼兒園,左營區,公立,8,34616,4327
高雄市左營區舊城國民小學附設幼兒園,左營區,公立,8,34862,4358
高雄市平等非營利幼兒園(委託財團法人彭婉如文教基金會辦理),三民區,非營利,12,99504,8292
高雄市彌陀區南安國民小學附設幼兒園,彌陀區,公立,8,33186,4148
高雄市彌陀區壽齡國民小學附設幼兒園,彌陀區,公立,8,34286,4286
高雄市彌陀區彌陀國民小學附設幼兒園,彌陀區,公立,8,34043,4255
高雄市後勁非營利幼兒園(委託社團法人高雄市碩苗社會教育關懷協會辦理),楠梓區,非營利,12,99048,8254
高雄市後紅非營利幼兒園,岡山區,非營利,12,97224,8102
高雄市忠孝非營利幼兒園（委託財團法人彭婉如文教基金會辦理）,鳳山區,非營利,12,90960,7580
高雄市政府員工消費合作社附設高雄市私立幼兒園,苓雅區,準公共化,12,91428,7619
高雄市教保人員職業工會附設高雄市私立光武非營利幼兒園(高雄市政府委託辦理),三民區,非營利,12,93300,7775
高雄市文府非營利幼兒園(委託社團法人東台灣幼兒教保專業促進協會辦理),左營區,非營利,12,95268,7939
高雄市新甲非營利幼兒園（委託財團法人輔英科技大學設立之輔英科技大學辦理）,鳳山區,非營利,12,90168,7514
高雄市新興區七賢國民小學附設幼兒園,新興區,公立,8,34570,4321
高雄市新興區信義國民小學附設幼兒園,新興區,公立,8,34862,4358
高雄市新興區大同國民小學附設幼兒園,新興區,公立,8,34570,4321
高雄市新興區新興國民小學附設幼兒園,新興區,公立,8,34862,4358
高雄市新莊非營利幼兒園（委託財團法人福智文教基金會辦理）,左營區,非營利,12,96432,8036
高雄市旗山區圓潭國民小學附設幼兒園,旗山區,公立,8,34086,4261
高雄市旗山區嶺口國民小學附設幼兒園,旗山區,公立,8,32610,4076
高雄市旗山區旗尾國民小學附設幼兒園,旗山區,公立,8,32420,4053
高雄市旗山區旗山國民小學附設幼兒園,旗山區,公立,8,34862,4358
高雄市旗山區溪洲國民小學附設幼兒園,旗山區,公立,8,33279,4160
高雄市旗山區鼓山國民小學附設幼兒園,旗山區,公立,8,33770,4221
高雄市旗津區中洲國民小學附設幼兒園,旗津區,公立,8,34662,4333
高雄市旗津區旗津國民小學附設幼兒園,旗津區,公立,8,34662,4333
高雄市杉林區上平國民小學附設幼兒園,杉林區,公立,8,27362,3420
高雄市杉林區新庄國民小學附設幼兒園,杉林區,公立,8,25182,3148
高雄市杉林區月美國民小學附設幼兒園,杉林區,公立,8,28062,3508
高雄市杉林區杉林國民小學附設幼兒園,杉林區,公立,8,26844,3356
高雄市杉林區集來國民小學附設幼兒園,杉林區,公立,8,28062,3508
高雄市林園區中芸國民小學附設幼兒園,林園區,公立,8,32862,4108
高雄市林園區汕尾國民小學附設幼兒園,林園區,公立,8,28262,3533
高雄市林園區港埔國民小學附設幼兒園,林園區,公立,8,33894,4237
高雄市林園區王公國民小學附設幼兒園,林園區,公立,8,34094,4262
高雄市林園區金潭國民小學附設幼兒園,林園區,公立,8,32736,4092
高雄市桃源區建山國民小學附設幼兒園,桃源區,公立,8,24462,3058
高雄市桃源區桃源國民小學附設幼兒園,桃源區,公立,8,25902,3238
高雄市桃源區樟山國民小學附設幼兒園,桃源區,公立,8,17700,2213
高雄市桃源區興中國民小學附設幼兒園,桃源區,公立,8,23514,2939
高雄市梓官區梓官國民小學附設幼兒園,梓官區,公立,8,34770,4346
高雄市梓官區蚵寮國民小學附設幼兒園,梓官區,公立,8,34234,4279
高雄市楠梓區加昌國民小學附設幼兒園,楠梓區,公立,8,34662,4333
高雄市楠梓區右昌國民小學附設幼兒園,楠梓區,公立,8,34478,4310
高雄市楠梓區後勁國民小學附設幼兒園,楠梓區,公立,8,34662,4333
高雄市楠梓區援中國民小學附設幼兒園,楠梓區,公立,8,34616,4327
高雄市楠梓區楠梓國民小學附設幼兒園,楠梓區,公立,8,34535,4317
高雄市楠梓區楠陽國民小學附設幼兒園,楠梓區,公立,8,34478,4310
高雄市楠梓區油廠國民小學附設幼兒園,楠梓區,公立,8,34678,4335
高雄市楠梓區莒光國民小學附設幼兒園,楠梓區,公立,8,34862,4358
高雄市橋頭區五林國民小學附設幼兒園,橋頭區,公立,8,34862,4358
高雄市橋頭區仕隆國民小學附設幼兒園,橋頭區,公立,8,34670,4334
高雄市橋頭區甲圍國民小學附設幼兒園,橋頭區,公立,8,34662,4333
高雄市橋頭區興糖國民小學附設幼兒園,橋頭區,公立,8,34670,4334
高雄市橋頭非營利幼兒園,橋頭區,非營利,12,96432,8036
高雄市正興非營利幼兒園(委託財團法人福智文教基金會辦理),三民區,非營利,12,96420,8035
高雄市永安區新港國民小學附設幼兒園,永安區,公立,8,23430,2929
高雄市永安區永安國民小學附設幼兒園,永安區,公立,8,26030,3254
高雄市永安區維新國民小學附設幼兒園,永安區,公立,8,25830,3229
高雄市港和非營利幼兒園（委託財團法人高雄市私立復華高級中學辦理）,小港區,非營利,12,111852,9321
高雄市湖內區大湖國民小學附設幼兒園,湖內區,公立,8,33894,4237
高雄市湖內區文賢國民小學附設幼兒園,湖內區,公立,8,32952,4119
高雄市湖內區明宗國民小學附設幼兒園,湖內區,公立,8,33464,4183
高雄市湖內區海埔國民小學附設幼兒園,湖內區,公立,8,34094,4262
高雄市瀰濃非營利幼兒園(委託財團法人樹德科技大學設立之樹德科技大學辦理),美濃區,非營利,12,111264,9272
高雄市燕巢區安招國民小學附設幼兒園,燕巢區,公立,8,34136,4267
高雄市燕巢區橫山國民小學附設幼兒園,燕巢區,公立,8,33702,4213
高雄市燕巢區燕巢國民小學附設幼兒園,燕巢區,公立,8,34286,4286
高雄市燕巢區鳳雄國民小學附設幼兒園,燕巢區,公立,8,34662,4333
高雄市田寮區崇德國民小學附設幼兒園,田寮區,公立,8,26860,3358
高雄市田寮區新興國民小學附設幼兒園,田寮區,公立,8,30910,3864
高雄市甲仙區小林國民小學附設幼兒園,甲仙區,公立,8,27294,3412
高雄市甲仙區甲仙國民小學附設幼兒園,甲仙區,公立,8,27486,3436
高雄市私立一二三幼兒園,鼓山區,私立,12,100000,8333
高雄市私立一新幼兒園,路竹區,私立,12,148800,12400
高雄市私立下庄幼兒園,小港區,私立,12,110760,9230
高雄市私立中興幼兒園,前鎮區,私立,12,136080,11340
高雄市私立中華幼兒園,林園區,準公共化,12,138684,11557
高雄市私立丹苨薾幼兒園,左營區,私立,12,114000,9500
高雄市私立主人翁幼兒園,岡山區,準公共化,12,117348,9779
高雄市私立乖寶貝幼兒園,楠梓區,私立,12,108000,9000
高雄市私立九個果子幼兒園,左營區,準公共化,12,142000,11833
高雄市私立五甲恆青幼兒園,鳳山區,私立,12,117960,9830
高雄市私立五甲米倫幼兒園,鳳山區,私立,12,123600,10300
高雄市私立五餅二魚幼兒園,左營區,私立,12,161600,13467
高雄市私立亞特蘭幼兒園,三民區,準公共化,12,103332,8611
高雄市私立亨利幼兒園,仁武區,私立,12,120000,10000
高雄市私立亮晶晶幼兒園,林園區,私立,12,75600,6300
高雄市私立仁人妙智幼兒園,鳳山區,私立,12,103596,8633
高雄市私立仁仁幼兒園,鳳山區,私立,12,135600,11300
