point,area,type,months,total1,total2,monthly1,monthly2,total3
嘉義市小橘子非營利幼兒園（委託財團法人伊甸社會福利基金會辦理）,嘉義市,非營利,12,0,0,8187,0,98244
嘉義市東區嘉北國民小學附設幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市東區宣信國民小學附設幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市東區林森國民小學附設幼兒園,嘉義市,公立,9.5,29695,0,3126,0,29695
嘉義市東區民族國民小學附設幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市東區精忠國民小學附設幼兒園,嘉義市,公立,9.5,29695,100,3126,11,29695
嘉義市東區蘭潭國民小學附設幼兒園,嘉義市,公立,9.5,29695,0,3126,0,29695
嘉義市橡木子非營利幼兒園(委託財團法人福智文教基金會辦理),嘉義市,非營利,12,0,0,7745,0,92940
嘉義市私立中國娃娃幼兒園,嘉義市,準公共化,12,102000,0,8500,0,102000
嘉義市私立中正幼兒園,嘉義市,準公共化,12,130560,0,10880,0,130560
嘉義市私立伯士鹿幼兒園,嘉義市,準公共化,12,118000,9600,9833,800,118000
嘉義市私立佳北幼兒園,嘉義市,私立,12,74600,0,6217,0,74600
嘉義市私立佳寶幼兒園,嘉義市,準公共化,12,105600,24000,8800,2000,105600
嘉義市私立信義幼兒園,嘉義市,準公共化,12,107988,9000,8999,750,107988
嘉義市私立優上美幼兒園,嘉義市,私立,12,63400,0,5283,0,63400
嘉義市私立優肯幼兒園,嘉義市,私立,12,136400,0,11367,0,136400
嘉義市私立北興幼兒園,嘉義市,準公共化,12,126624,9000,10552,750,126624
嘉義市私立吉尼爾幼兒園,嘉義市,私立,11,130000,0,11818,0,130000
嘉義市私立和睦幼兒園,嘉義市,準公共化,12,104220,9000,8685,750,104220
嘉義市私立大能力幼兒園,嘉義市,私立,12,111600,0,9300,0,111600
嘉義市私立天欣幼兒園,嘉義市,準公共化,12,90000,0,7500,0,90000
嘉義市私立孩得堡幼兒園,嘉義市,準公共化,12,122400,24000,10200,2000,122400
嘉義市私立小叮噹幼兒園,嘉義市,準公共化,12,96000,9000,8000,750,96000
嘉義市私立小狀元幼兒園,嘉義市,準公共化,12,96000,9000,8000,750,96000
嘉義市私立小魚幼兒園,嘉義市,私立,12,99200,0,8267,0,99200
嘉義市私立幼華幼兒園,嘉義市,準公共化,12,124200,14400,10350,1200,124200
嘉義市私立忠樺幼兒園,嘉義市,準公共化,12,135044,18000,11254,1500,135044
嘉義市私立恩光幼兒園,嘉義市,準公共化,12,115980,9000,9665,750,115980
嘉義市私立想像幼兒園,嘉義市,私立,12,111600,0,9300,0,111600
嘉義市私立愛兒堡幼兒園,嘉義市,私立,12,109200,18000,9100,1500,109200
嘉義市私立愛兒幼兒園,嘉義市,準公共化,12,119904,9000,9992,750,119904
嘉義市私立慈幼幼兒園,嘉義市,準公共化,12,120000,14400,10000,1200,120000
嘉義市私立教之道幼兒園,嘉義市,準公共化,12,97732,0,8144,0,97732
嘉義市私立東之寶幼兒園,嘉義市,準公共化,12,111048,9000,9254,750,111048
嘉義市私立林肯幼兒園,嘉義市,準公共化,12,144000,9000,12000,750,144000
嘉義市私立桑尼種子幼兒園,嘉義市,準公共化,12,92172,9000,7681,750,92172
嘉義市私立百合幼兒園,嘉義市,私立,12,99200,0,8267,0,99200
嘉義市私立磐石幼兒園,嘉義市,準公共化,12,137280,9000,11440,750,137280
嘉義市私立種子幼兒園,嘉義市,私立,12,122200,0,10183,0,122200
嘉義市私立精英幼兒園,嘉義市,準公共化,12,91128,9000,7594,750,91128
嘉義市私立綠光森林幼兒園,嘉義市,私立,12,60000,0,5000,0,60000
嘉義市私立美的幼兒園,嘉義市,準公共化,12,124680,14400,10390,1200,124680
嘉義市私立育光幼兒園,嘉義市,私立,12,36396,0,3033,0,36396
嘉義市私立育志幼兒園,嘉義市,準公共化,12,109560,0,9130,0,109560
嘉義市私立華特幼兒園,嘉義市,私立,12,140000,12000,11667,1000,140000
嘉義市私立諾爾堡幼兒園,嘉義市,私立,12,170000,0,14167,0,170000
嘉義市私立貝萊登幼兒園,嘉義市,準公共化,12,104340,9000,8695,750,104340
嘉義市私立銘華幼兒園,嘉義市,私立,12,66000,0,5500,0,66000
嘉義市私立陽光幼兒園,嘉義市,私立,12,122400,24000,10200,2000,122400
嘉義市私立雨果幼兒園,嘉義市,私立,12,146600,22800,12217,1900,146600
嘉義市立吳鳳幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市立幸福幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市立復國幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市西區世賢國民小學附設幼兒園,嘉義市,公立,9.5,29695,0,3126,0,29695
嘉義市西區北園國民小學附設幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市西區博愛國民小學附設幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市西區垂楊國民小學附設幼兒園,嘉義市,公立,9.5,29695,200,3126,21,29695
嘉義市西區大同國民小學附設幼兒園,嘉義市,公立,9.5,29695,0,3126,0,29695
嘉義市西區育人國民小學附設幼兒園,嘉義市,公立,9.5,29695,0,3126,0,29695
嘉義市銀河非營利幼兒園(委託社團法人東台灣幼兒教保專業促進協會辦理),嘉義市,非營利,12,0,0,8744,0,104928
國立嘉義大學附設實驗國民小學附設幼兒園,嘉義市,公立,9.5,29695,0,3126,0,29695
國立嘉義高級家事職業學校員工子女非營利幼兒園(委託社團法人幼兒教保協會辦理),嘉義市,非營利,12,0,0,10276,0,123312
國立嘉義高級家事職業學校附設嘉義市私立幼兒園,嘉義市,準公共化,12,90808,0,7567,0,90808
戴德森醫療財團法人職工福利委員會附設嘉義市私立嘉基幼兒園,嘉義市,準公共化,12,98280,41400,8190,3450,98280
私立東吳高級工業家事職業學校附設嘉義市幼兒園,嘉義市,私立,12,117000,36000,9750,3000,117000
財團法人中華基督教嘉義浸信會附設嘉義市私立慈光幼兒園,嘉義市,私立,12,129000,0,10750,0,129000
財團法人台灣聖公會附設嘉義市私立聖彼得幼兒園,嘉義市,私立,12,102450,0,8538,0,102450
財團法人嘉義市私立榮光幼兒園,嘉義市,準公共化,12,90000,0,7500,0,90000
財團法人天主教會嘉義教區附設嘉義市私立仁愛幼兒園,嘉義市,準公共化,12,103164,9000,8597,750,103164
財團法人天主教會嘉義教區附設嘉義市私立景仁幼兒園,嘉義市,準公共化,12,125952,9000,10496,750,125952
財團法人天主教會嘉義教區附設嘉義市私立正義幼兒園,嘉義市,準公共化,12,106628,9000,8886,750,106628
財團法人天主教聖言會附設嘉義市私立輔仁幼兒園,嘉義市,私立,12,81760,0,6813,0,81760
