point,type,months,total,monthly
嘉義市小橘子非營利幼兒園（委託財團法人伊甸社會福利基金會辦理）,非營利,0,0,NAN
嘉義市東區嘉北國民小學附設幼兒園,公立,0,0,NAN
嘉義市東區宣信國民小學附設幼兒園,公立,0,0,NAN
嘉義市東區林森國民小學附設幼兒園,公立,0,0,NAN
嘉義市東區民族國民小學附設幼兒園,公立,0,0,NAN
嘉義市東區精忠國民小學附設幼兒園,公立,0,0,NAN
嘉義市東區蘭潭國民小學附設幼兒園,公立,0,0,NAN
嘉義市橡木子非營利幼兒園(委託財團法人福智文教基金會辦理),非營利,0,0,NAN
嘉義市私立伯士鹿幼兒園,私立,0,0,NAN
嘉義市私立優上美幼兒園,私立,0,0,NAN
嘉義市私立華特幼兒園,私立,0,0,NAN
嘉義市私立銘華幼兒園,準公共化,0,0,NAN
嘉義市西區世賢國民小學附設幼兒園,公立,0,0,NAN
嘉義市西區博愛國民小學附設幼兒園,公立,0,0,NAN
嘉義市西區垂楊國民小學附設幼兒園,公立,0,0,NAN
嘉義市西區大同國民小學附設幼兒園,公立,0,0,NAN
嘉義市西區育人國民小學附設幼兒園,公立,0,0,NAN
嘉義市銀河非營利幼兒園(委託社團法人東台灣幼兒教保專業促進協會辦理),非營利,0,0,NAN
國立嘉義特殊教育學校幼兒部,公立,0,0,NAN
國立嘉義高級家事職業學校附設嘉義市私立幼兒園,準公共化,0,0,NAN
