point,area,type,months,total,monthly
中道學校財團法人宜蘭縣中道高級中學附設宜蘭縣私立中道幼兒園,壯圍鄉,私立,12,165000,13750
國立頭城高級家事商業職業學校附設宜蘭縣私立幼兒園,頭城鎮,準公共化,12,107448,8954
宜蘭縣三星鄉立幼兒園,三星鄉,公立,12,39790,3316
宜蘭縣三星鄉立幼兒園拱照分班,三星鄉,公立,12,39790,3316
宜蘭縣五結鄉立幼兒園,五結鄉,公立,10,44760,4476
宜蘭縣五結鄉立幼兒園利澤分班,五結鄉,公立,10,44760,4476
宜蘭縣光復非營利幼兒園(委託財團法人靖娟兒童安全文教基金會辦理),宜蘭市,非營利,12,100668,8389
宜蘭縣冬山鄉冬山國民小學附設幼兒園,冬山鄉,公立,8,24896,3112
宜蘭縣冬山鄉立幼兒園,冬山鄉,公立,12,35163,2930
宜蘭縣冬山鄉立幼兒園中山分班,冬山鄉,公立,12,31784,2649
宜蘭縣冬山鄉順安國民小學附設幼兒園,冬山鄉,公立,8,24896,3112
宜蘭縣南澳鄉東澳國民小學附設幼兒園,南澳鄉,公立,8,24896,3112
宜蘭縣南澳鄉澳花國民小學附設幼兒園,南澳鄉,公立,8,24896,3112
宜蘭縣南澳鄉立幼兒園,南澳鄉,公立,10,39000,3900
宜蘭縣南澳鄉立幼兒園武塔分班,南澳鄉,公立,10,39000,3900
宜蘭縣南澳鄉立幼兒園碧候分班,南澳鄉,公立,10,39000,3900
宜蘭縣南澳鄉立幼兒園金洋分班,南澳鄉,公立,10,39000,3900
宜蘭縣員山鄉立幼兒園,員山鄉,公立,10,42400,4240
宜蘭縣壯圍鄉古亭國民小學附設幼兒園,壯圍鄉,公立,8,24446,3056
宜蘭縣壯圍非營利幼兒園(委託社團法人宜蘭縣蘭陽幼兒教保事業發展協會辦理),壯圍鄉,非營利,12,104316,8693
宜蘭縣大同鄉南山國民小學附設幼兒園,大同鄉,公立,8,24446,3056
宜蘭縣大同鄉四季國民小學附設幼兒園英士分班,大同鄉,公立,8,24716,3090
宜蘭縣大同鄉立幼兒園,大同鄉,公立,10,30000,3000
宜蘭縣大同鄉立幼兒園四季分班,大同鄉,公立,10,30000,3000
宜蘭縣大同鄉立幼兒園松羅分班,大同鄉,公立,10,30000,3000
宜蘭縣大同鄉立幼兒園樂水分班,大同鄉,公立,10,30000,3000
宜蘭縣大湖非營利幼兒園(委託財團法人靖娟兒童安全文教基金會辦理),員山鄉,非營利,12,106644,8887
宜蘭縣大隱非營利幼兒園(委託財團法人聖母醫護管理專科學校設立之聖母醫護管理專科學校辦理),三星鄉,非營利,12,109368,9114
宜蘭縣宜蘭市中山國民小學附設幼兒園,宜蘭市,公立,8,24896,3112
宜蘭縣宜蘭市凱旋國民小學附設幼兒園,宜蘭市,公立,8,25096,3137
宜蘭縣宜蘭市力行國民小學附設幼兒園,宜蘭市,公立,8,24896,3112
宜蘭縣宜蘭市南屏國民小學附設幼兒園,宜蘭市,公立,8,24896,3112
宜蘭縣清溝非營利幼兒園(委託社團法人宜蘭縣小太陽幼兒教育發展協會辦理),冬山鄉,非營利,12,98616,8218
