point,type,months,total,monthly
宜蘭縣三星鄉三星國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣三星鄉大洲國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣五結鄉中興國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣五結鄉五結國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣五結鄉學進國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣冬山鄉東興國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣冬山鄉武淵國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣冬山鄉立幼兒園群英分班,公立,0,0,NAN
宜蘭縣南澳鄉南澳國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣南澳鄉武塔國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣南澳鄉碧候國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣南澳鄉立幼兒園金岳分班,公立,0,0,NAN
宜蘭縣南澳鄉金洋國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣員山鄉同樂國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣員山鄉員山國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣員山鄉深溝國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣壯圍鄉新南國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣壯圍鄉立幼兒園,公立,0,0,NAN
宜蘭縣大同鄉四季國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣大同鄉大同國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣大同鄉寒溪國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣宜蘭市宜蘭國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣宜蘭市立幼兒園,公立,0,0,NAN
宜蘭縣宜蘭市立幼兒園慶和分班,公立,0,0,NAN
宜蘭縣宜蘭市立幼兒園新生分班,公立,0,0,NAN
宜蘭縣宜蘭市立幼兒園東園分班,公立,0,0,NAN
宜蘭縣宜蘭市立幼兒園金六結分班,公立,0,0,NAN
宜蘭縣礁溪鄉三民國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣礁溪鄉四結國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣礁溪鄉玉田國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣礁溪鄉龍潭國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣立內城國民中小學附設幼兒園,公立,0,0,NAN
宜蘭縣羅東鎮公正國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣羅東鎮成功國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣羅東鎮立幼兒園東安分班,公立,0,0,NAN
宜蘭縣羅東鎮羅東國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣蘇澳鎮南安國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣蘇澳鎮士敏國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣蘇澳鎮蓬萊國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣蘇澳鎮蘇澳國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣頭城鎮大溪國民小學附設幼兒園,公立,0,0,NAN
宜蘭縣頭城鎮立幼兒園中崙分班,公立,0,0,NAN
宜蘭縣頭城鎮竹安國民小學附設幼兒園,公立,0,0,NAN
