point,area,type,months,total1,total2,monthly1,monthly2,total3
中華汽車工業股份有限公司職工福利委員會附設桃園市私立中華汽車幼兒園,楊梅區,私立,12,109980,39600,9165,3300,109980
國家中山科學研究院附設桃園市私立逸光幼兒園,龍潭區,私立,9,84252,0,9361,0,84252
國立中央大學附設桃園市私立幼兒園,中壢區,準公共化,10,97212,7500,9721,750,97212
奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,龜山區,私立,11,191400,13400,17400,1218,191400
日月光集團聯合職工福利委員會附設桃園市私立同心園幼兒園,中壢區,私立,12,99000,0,8250,0,99000
景碩科技股份有限公司職工福利委員會附設桃園市私立景碩幼兒園,新屋區,私立,12,108600,7200,9050,600,108600
桃園市中壢區中原國民小學附設幼兒園,中壢區,公立,9,36332,200,4037,22,36332
桃園市中壢區中壢國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區中正國民小學附設幼兒園,中壢區,公立,9,36046,21000,4005,2333,36046
桃園市中壢區信義國民小學附設幼兒園,中壢區,公立,9,36046,10256,4005,1140,36046
桃園市中壢區內壢國民小學附設幼兒園,中壢區,公立,9,35956,200,3995,22,35956
桃園市中壢區內定國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區山東國民小學附設幼兒園,中壢區,公立,9,36046,0,4005,0,36046
桃園市中壢區忠福國民小學附設幼兒園,中壢區,公立,9,36046,0,4005,0,36046
桃園市中壢區新明國民小學附設幼兒園,中壢區,公立,9,36046,0,4005,0,36046
桃園市中壢區新街國民小學附設幼兒園,中壢區,公立,9,36046,0,4005,0,36046
桃園市中壢區普仁國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區自立國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區興仁國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區興國國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區華勛國民小學附設幼兒園,中壢區,公立,9,36046,16378,4005,1820,36046
桃園市中壢區青埔國民小學附設幼兒園,中壢區,公立,9,36046,200,4005,22,36046
桃園市中壢區龍岡國民小學附設幼兒園,中壢區,公立,9,36046,0,4005,0,36046
桃園市八德區八德國民小學附設幼兒園,八德區,公立,9,36046,0,4005,0,36046
桃園市八德區大安國民小學附設幼兒園,八德區,公立,9,36046,14750,4005,1639,36046
桃園市八德區大成國民小學附設幼兒園,八德區,公立,9,36046,0,4005,0,36046
桃園市八德區廣興國民小學附設幼兒園,八德區,公立,9,36046,10000,4005,1111,36046
桃園市八德區瑞豐國民小學附設幼兒園,八德區,公立,9,36130,0,4014,0,36130
桃園市八德區茄苳國民小學附設幼兒園,八德區,公立,9,36046,200,4005,22,36046
桃園市八德區霄裡國民小學附設幼兒園,八德區,公立,9,33846,200,3761,22,33846
桃園市大園區五權國民小學附設幼兒園,大園區,公立,9,36046,200,4005,22,36046
桃園市大園區內海國民小學附設幼兒園,大園區,公立,9,36046,0,4005,0,36046
桃園市大園區埔心國民小學附設幼兒園,大園區,公立,9,36046,200,4005,22,36046
桃園市大園區溪海國民小學附設幼兒園,大園區,公立,9,36046,0,4005,0,36046
桃園市大園區潮音國民小學附設幼兒園,大園區,公立,9,36046,200,4005,22,36046
桃園市大園區菓林國民小學附設幼兒園,大園區,公立,9,36046,200,4005,22,36046
桃園市大溪區中興國民小學附設幼兒園,大溪區,公立,9,36046,200,4005,22,36046
桃園市大溪區仁和國民小學附設幼兒園,大溪區,公立,9,36046,200,4005,22,36046
桃園市大溪區僑愛國民小學附設幼兒園,大溪區,公立,9,36046,0,4005,0,36046
桃園市大溪區南興國民小學附設幼兒園,大溪區,公立,9,36046,0,4005,0,36046
桃園市大溪區員樹林國民小學附設幼兒園,大溪區,公立,9,36046,200,4005,22,36046
桃園市大溪區大溪國民小學附設幼兒園,大溪區,公立,9,36046,0,4005,0,36046
桃園市大溪區永福國民小學附設幼兒園,大溪區,公立,9,36046,0,4005,0,36046
桃園市大溪區田心國民小學附設幼兒園,大溪區,公立,9,36046,200,4005,22,36046
桃園市大溪區福安國民小學附設幼兒園,大溪區,公立,9,36046,0,4005,0,36046
桃園市大溪區美華國民小學附設幼兒園,大溪區,公立,9,36046,200,4005,22,36046
桃園市大溪區農會附設桃園市私立幼兒園,大溪區,私立,11,119548,0,10868,0,119548
桃園市平鎮區北勢國民小學附設幼兒園,平鎮區,公立,9,36046,200,4005,22,36046
桃園市平鎮區南勢國民小學附設幼兒園,平鎮區,公立,9,36046,10100,4005,1122,36046
桃園市平鎮區宋屋國民小學附設幼兒園,平鎮區,公立,9,36046,0,4005,0,36046
桃園市平鎮區山豐國民小學附設幼兒園,平鎮區,公立,9,35616,0,3957,0,35616
桃園市平鎮區平興國民小學附設幼兒園,平鎮區,公立,9,36046,0,4005,0,36046
桃園市平鎮區復旦國民小學附設幼兒園,平鎮區,公立,9,36046,200,4005,22,36046
桃園市平鎮區忠貞國民小學附設幼兒園,平鎮區,公立,9,36046,0,4005,0,36046
桃園市平鎮區文化國民小學附設幼兒園,平鎮區,公立,9,36046,16143,4005,1794,36046
桃園市平鎮區新勢國民小學附設幼兒園,平鎮區,公立,9,36046,0,4005,0,36046
桃園市平鎮區新榮國民小學附設幼兒園,平鎮區,公立,9,36046,200,4005,22,36046
桃園市平鎮區東勢國民小學附設幼兒園,平鎮區,公立,9,36109,200,4012,22,36109
桃園市平鎮區東安國民小學附設幼兒園,平鎮區,公立,9,36046,200,4005,22,36046
桃園市平鎮區祥安國民小學附設幼兒園,平鎮區,公立,9,36075,200,4008,22,36075
桃園市平鎮區義興國民小學附設幼兒園,平鎮區,公立,9,36046,200,4005,22,36046
桃園市復興區三光國民小學附設幼兒園,復興區,公立,9,36046,200,4005,22,36046
桃園市復興區三民國民小學附設幼兒園,復興區,公立,9,36046,0,4005,0,36046
桃園市復興區介壽國民小學附設幼兒園,復興區,公立,9,36046,200,4005,22,36046
桃園市復興區光華國民小學附設幼兒園,復興區,公立,9,36046,0,4005,0,36046
桃園市復興區奎輝國民小學附設幼兒園,復興區,公立,9,36046,200,4005,22,36046
桃園市復興區巴崚國民小學附設幼兒園,復興區,公立,9,36046,0,4005,0,36046
桃園市復興區立幼兒園,復興區,公立,9,31010,0,3446,0,31010
桃園市復興區立幼兒園三民分班,大溪區,公立,9,31010,0,3446,0,31010
桃園市復興區立幼兒園華陵分班,復興區,公立,9,31010,0,3446,0,31010
桃園市復興區羅浮國民小學附設幼兒園,復興區,公立,9,36046,200,4005,22,36046
桃園市復興區義盛國民小學附設幼兒園,復興區,公立,9,36046,0,4005,0,36046
桃園市復興區長興國民小學附設幼兒園,復興區,公立,9,36046,200,4005,22,36046
桃園市復興區霞雲國民小學附設幼兒園,復興區,公立,9,36046,0,4005,0,36046
桃園市復興區高義國民小學附設幼兒園,復興區,公立,9,36046,200,4005,22,36046
桃園市新屋區啟文國民小學附設幼兒園,新屋區,公立,9,36046,200,4005,22,36046
桃園市新屋區埔頂國民小學附設幼兒園,新屋區,公立,9,36046,0,4005,0,36046
桃園市新屋區大坡國民小學附設幼兒園,新屋區,公立,9,36046,0,4005,0,36046
桃園市新屋區新屋國民小學附設幼兒園,新屋區,公立,9,36046,14900,4005,1656,36046
桃園市新屋區東明國民小學附設幼兒園,新屋區,公立,9,36046,0,4005,0,36046
桃園市新屋區永安國民小學附設幼兒園,新屋區,公立,9,36046,0,4005,0,36046
桃園市新屋區社子國民小學附設幼兒園,新屋區,公立,9,36046,200,4005,22,36046
桃園市新屋區笨港國民小學附設幼兒園,新屋區,公立,9,36046,0,4005,0,36046
桃園市新屋區蚵間國民小學附設幼兒園,新屋區,公立,9,36046,0,4005,0,36046
桃園市新屋區頭洲國民小學附設幼兒園,新屋區,公立,9,36046,200,4005,22,36046
桃園市桃園區中埔國民小學附設幼兒園,桃園區,公立,9,36046,0,4005,0,36046
桃園市桃園區中山國民小學附設幼兒園,桃園區,公立,9,36046,11516,4005,1280,36046
桃園市桃園區北門國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區南門國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區同安國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區建國國民小學附設幼兒園,桃園區,公立,9,36046,9750,4005,1083,36046
桃園市桃園區建德國民小學附設幼兒園,桃園區,公立,9,36046,21485,4005,2387,36046
桃園市桃園區慈文國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區成功國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區文山國民小學附設幼兒園,桃園區,公立,9,36046,5100,4005,567,36046
桃園市桃園區會稽國民小學附設幼兒園,桃園區,公立,9,36209,9600,4023,1067,36209
桃園市桃園區東門國民小學附設幼兒園,桃園區,公立,9,36046,0,4005,0,36046
桃園市桃園區桃園國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區西門國民小學附設幼兒園,桃園區,公立,9,36046,200,4005,22,36046
桃園市桃園區青溪國民小學附設幼兒園,桃園區,公立,9,36091,200,4010,22,36091
桃園市楊梅區上湖國民小學附設幼兒園,楊梅區,公立,9,36109,0,4012,0,36109
桃園市楊梅區上田國民小學附設幼兒園,楊梅區,公立,9,36046,200,4005,22,36046
桃園市楊梅區四維國民小學附設幼兒園,楊梅區,公立,9,36046,0,4005,0,36046
桃園市楊梅區大同國民小學附設幼兒園,楊梅區,公立,9,36046,200,4005,22,36046
桃園市楊梅區富岡國民小學附設幼兒園,楊梅區,公立,9,35816,0,3980,0,35816
桃園市楊梅區楊心國民小學附設幼兒園,楊梅區,公立,9,36257,0,4029,0,36257
桃園市楊梅區楊明國民小學附設幼兒園,楊梅區,公立,9,36109,0,4012,0,36109
桃園市楊梅區楊梅國民小學附設幼兒園,楊梅區,公立,9,36046,200,4005,22,36046
桃園市楊梅區水美國民小學附設幼兒園,楊梅區,公立,9,36046,200,4005,22,36046
桃園市楊梅區瑞原國民小學附設幼兒園,楊梅區,公立,9,36046,0,4005,0,36046
桃園市楊梅區瑞埔國民小學附設幼兒園,楊梅區,公立,9,36046,200,4005,22,36046
桃園市楊梅區瑞梅國民小學附設幼兒園,楊梅區,公立,9,36212,0,4024,0,36212
桃園市楊梅區高榮國民小學附設幼兒園,楊梅區,公立,9,36046,200,4005,22,36046
桃園市私立一心幼兒園,中壢區,私立,12,118700,0,9892,0,118700
桃園市私立三立幼兒園,八德區,準公共化,12,119296,9000,9941,750,119296
桃園市私立上禾幼兒園,大溪區,私立,12,123000,28800,10250,2400,123000
桃園市私立世懿幼兒園,中壢區,私立,12,230400,26400,19200,2200,230400
桃園市私立丞格幼兒園,龜山區,私立,10,173000,30000,17300,3000,173000
桃園市私立中壢工業區聯合幼兒園,中壢區,準公共化,12,136260,18000,11355,1500,136260
桃園市私立中山幼兒園,中壢區,準公共化,12,118200,9000,9850,750,118200
桃園市私立中正藝文幼兒園,桃園區,私立,12,274890,52800,22908,4400,274890
桃園市私立中華幼兒園,大園區,準公共化,12,138828,26400,11569,2200,138828
桃園市私立丹妮幼兒園,龍潭區,準公共化,12,151480,52800,12623,4400,151480
桃園市私立乖乖幼兒園,中壢區,準公共化,12,143240,0,11937,0,143240
桃園市私立亞碩幼兒園,平鎮區,私立,12,161200,18000,13433,1500,161200
桃園市私立人文蒙特梭利幼兒園,桃園區,私立,12,157400,24000,13117,2000,157400
桃園市私立仟樺幼兒園,楊梅區,私立,12,143800,28800,11983,2400,143800
桃園市私立企鵝家族英國幼兒園,中壢區,準公共化,12,137376,9000,11448,750,137376
桃園市私立休仕頓幼兒園,平鎮區,準公共化,12,126616,9000,10551,750,126616
桃園市私立佑佑寶貝幼兒園,觀音區,準公共化,12,110652,9000,9221,750,110652
桃園市私立何嘉仁平鎮幼兒園,平鎮區,私立,12,202320,79200,16860,6600,202320
桃園市私立何嘉仁幼兒園,桃園區,私立,12,195300,0,16275,0,195300
桃園市私立何智仁幼兒園,中壢區,私立,10,122000,0,12200,0,122000
桃園市私立佛克力幼兒園,大溪區,準公共化,12,115824,0,9652,0,115824
桃園市私立佛利亞華興幼兒園,大園區,私立,12,144000,0,12000,0,144000
桃園市私立佳和幼兒園,八德區,準公共化,12,116084,0,9674,0,116084
桃園市私立佳豪幼兒園,中壢區,準公共化,12,113468,18000,9456,1500,113468
桃園市私立信華幼兒園,蘆竹區,準公共化,12,152000,28800,12667,2400,152000
桃園市私立健行幼兒園,龍潭區,私立,12,124000,72000,10333,6000,124000
桃園市私立偵娣幼兒園,八德區,準公共化,12,117788,13500,9816,1125,117788
桃園市私立優德威幼兒園,八德區,私立,12,135900,42000,11325,3500,135900
桃園市私立優比幼兒園,八德區,準公共化,12,106140,13500,8845,1125,106140
桃園市私立六合幼兒園,龜山區,準公共化,12,111294,1000,9275,83,111294
桃園市私立冠迪幼兒園,大溪區,私立,12,131240,30000,10937,2500,131240
桃園市私立凱思堡幼兒園,八德區,私立,12,191208,0,15934,0,191208
桃園市私立凱思堡幼兒園豐田分班,八德區,私立,12,191208,0,15934,0,191208
桃園市私立凱莉幼兒園,桃園區,準公共化,12,110960,9000,9247,750,110960
桃園市私立創意家幼兒園,中壢區,準公共化,12,136920,33600,11410,2800,136920
桃園市私立劍橋幼兒園,桃園區,私立,10,182000,0,18200,0,182000
桃園市私立加貝爾幼兒園,八德區,私立,12,131200,24000,10933,2000,131200
桃園市私立勁草幼兒園,桃園區,私立,10,161376,0,16138,0,161376
桃園市私立千千幼兒園,中壢區,準公共化,12,134660,9000,11222,750,134660
桃園市私立千心幼兒園,大溪區,準公共化,12,129612,9000,10801,750,129612
桃園市私立南勢快樂斑比蒙氏幼兒園,平鎮區,準公共化,12,129992,6000,10833,500,129992
桃園市私立南華幼兒園,龜山區,準公共化,12,115688,39600,9641,3300,115688
桃園市私立原明欣幼兒園,中壢區,準公共化,12,131904,9000,10992,750,131904
桃園市私立及人幼兒園,楊梅區,準公共化,12,118212,12000,9851,1000,118212
桃園市私立双得幼兒園,中壢區,私立,10,355000,66000,35500,6600,355000
桃園市私立叡稚幼兒園,桃園區,準公共化,12,129564,9000,10797,750,129564
桃園市私立史丹佛幼兒園,平鎮區,私立,11,151800,16500,13800,1500,151800
桃園市私立吉尼爾歌德幼兒園,中壢區,私立,12,152600,8400,12717,700,152600
桃園市私立吉星幼兒園,楊梅區,準公共化,12,122100,19200,10175,1600,122100
桃園市私立名人幼兒園,八德區,準公共化,12,135072,9000,11256,750,135072
桃園市私立吾師幼兒園,桃園區,私立,12,75800,0,6317,0,75800
桃園市私立和美幼兒園,觀音區,準公共化,12,127056,24000,10588,2000,127056
桃園市私立哈囉凱蒂幼兒園,大園區,私立,12,112200,0,9350,0,112200
桃園市私立唯妮蒙氏幼兒園,中壢區,準公共化,12,142480,9000,11873,750,142480
桃園市私立啟幼幼兒園,楊梅區,準公共化,12,143340,0,11945,0,143340
桃園市私立善貽幼兒園,大溪區,準公共化,12,110664,9000,9222,750,110664
桃園市私立喬幼幼兒園,桃園區,私立,11,117550,22000,10686,2000,117550
桃園市私立喬比幼兒園,觀音區,私立,12,112000,28800,9333,2400,112000
桃園市私立喬立幼兒園,龜山區,私立,12,141600,36000,11800,3000,141600
桃園市私立嘉仁幼兒園,蘆竹區,私立,12,194400,60000,16200,5000,194400
桃園市私立嘉德琳渴望幼兒園,龍潭區,私立,10,277000,30000,27700,3000,277000
桃園市私立嘉捷幼兒園,龜山區,私立,12,290000,24000,24167,2000,290000
桃園市私立嘉煌幼兒園,龍潭區,私立,12,187560,55200,15630,4600,187560
桃園市私立四季幼兒園,龍潭區,私立,12,151200,30000,12600,2500,151200
桃園市私立囿柔幼兒園,蘆竹區,準公共化,12,117516,24000,9793,2000,117516
桃園市私立國恩幼兒園,中壢區,準公共化,12,138120,24000,11510,2000,138120
桃園市私立國際長頸鹿幼兒園,桃園區,準公共化,12,170040,72000,14170,6000,170040
桃園市私立國鼎幼兒園,中壢區,私立,12,136400,26400,11367,2200,136400
桃園市私立圓圓幼兒園,桃園區,準公共化,12,111632,13500,9303,1125,111632
桃園市私立埔心幼兒園,楊梅區,準公共化,12,111916,9000,9326,750,111916
桃園市私立培英幼兒園,大園區,私立,12,96000,0,8000,0,96000
桃園市私立夏恩幼兒園,新屋區,準公共化,12,130880,0,10907,0,130880
桃園市私立多元幼兒園,桃園區,私立,10,168000,30000,16800,3000,168000
桃園市私立多恩長頸鹿幼兒園,觀音區,準公共化,12,138024,0,11502,0,138024
桃園市私立大中華幼兒園,大園區,準公共化,12,130880,26400,10907,2200,130880
