point,area,type,months,total1,total2,monthly1,monthly2,total3
世平興業股份有限公司附設臺北市私立員工子女幼兒園,南港區,私立,12,231600,12000,19300,1000,231600
中央研究院附設臺北市私立幼兒園,南港區,私立,12,91620,0,7635,0,91620
北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,萬華區,準公共化,12,154440,28800,12870,2400,154440
國立政治大學附設實驗國民小學附設幼兒園,文山區,公立,9,43176,24240,4797,2693,43176
國立臺北教育大學附設實驗國民小學附設幼兒園,大安區,公立,9,43176,24240,4797,2693,43176
國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,中正區,私立,12,117640,30400,9803,2533,117640
國防醫學院附設臺北市私立愛德幼兒園,中正區,準公共化,12,173196,0,14433,0,173196
實踐大學附設臺北市私立幼兒園,中山區,私立,10,107300,0,10730,0,107300
康軒文教事業股份有限公司附設臺北市私立員工子女幼兒園,內湖區,私立,10,338440,0,33844,0,338440
恕德學校財團法人附設臺北市私立恕德幼兒園,內湖區,私立,12,237160,33600,19763,2800,237160
教育部忠孝大樓職場互助教保服務中心(委託社團法人台北市教保人員協會辦理),中正區,私立,12,151488,0,12624,0,151488
新民學校財團法人臺北市私立新民國民小學附設臺北市私立幼兒園,大安區,私立,12,207516,38640,17293,3220,207516
有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,中山區,準公共化,12,158400,0,13200,0,158400
有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,大安區,準公共化,12,148200,0,12350,0,148200
法務部附設臺北市私立員工子女幼兒園,中正區,私立,10,129000,10000,12900,1000,129000
社團法人台北市兒童托育協會附設臺北市私立實踐非營利幼兒園（臺北市政府委託辦理）,文山區,非營利,12,0,0,8448,0,101376
社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,內湖區,非營利,12,0,0,9028,0,108336
私立再興高級中學附設臺北市幼兒園,文山區,私立,9,102194,0,11355,0,102194
科技部職場互助教保服務中心(委託社團法人台灣公共托育協會辦理),大安區,私立,12,141036,0,11753,0,141036
耕莘健康管理專科學校附設臺北市私立螢橋非營利幼兒園(臺北市政府委託辦理),中正區,非營利,12,0,0,8330,0,99960
耕莘健康管理專科學校附設臺北市私立黃鸝鳥非營利幼兒園（臺北市政府委託辦理）,大安區,非營利,12,0,0,8960,0,107520
育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,松山區,私立,12,186000,0,15500,0,186000
臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,內湖區,非營利,12,0,0,8336,0,100032
臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,士林區,非營利,12,0,0,7912,0,94944
臺北市中山區中山國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區中正國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區五常國民小學附設幼兒園,中山區,公立,9,43176,18240,4797,2027,43176
