point,area,type,months,total,monthly
世平興業股份有限公司附設臺北市私立員工子女幼兒園,南港區,私立,12,243600,20300
中央研究院附設臺北市私立幼兒園,南港區,私立,12,91620,7635
北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,萬華區,準公共化,12,172800,14400
國立政治大學附設實驗國民小學附設幼兒園,文山區,公立,8,67416,8427
國立臺北教育大學附設實驗國民小學附設幼兒園,大安區,公立,8,67416,8427
國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,中正區,私立,12,148040,12337
國防醫學院附設臺北市私立愛德幼兒園,中正區,準公共化,12,173196,14433
實踐大學附設臺北市私立幼兒園,中山區,私立,10,107300,10730
康軒文教事業股份有限公司附設臺北市私立員工子女幼兒園,內湖區,私立,10,338440,33844
恕德學校財團法人附設臺北市私立恕德幼兒園,內湖區,私立,12,270760,22563
新民學校財團法人臺北市私立新民國民小學附設臺北市私立幼兒園,大安區,私立,12,246156,20513
有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,中山區,準公共化,12,129600,10800
有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,大安區,準公共化,12,114000,9500
法務部附設臺北市私立員工子女幼兒園,中正區,私立,10,139000,13900
社團法人台北市兒童托育協會附設臺北市私立實踐非營利幼兒園（臺北市政府委託辦理）,文山區,非營利,12,101376,8448
社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,內湖區,非營利,12,108336,9028
私立再興高級中學附設臺北市幼兒園,文山區,私立,8,102194,12774
耕莘健康管理專科學校附設臺北市私立螢橋非營利幼兒園(臺北市政府委託辦理),中正區,非營利,12,99960,8330
耕莘健康管理專科學校附設臺北市私立黃鸝鳥非營利幼兒園（臺北市政府委託辦理）,大安區,非營利,12,107520,8960
育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,松山區,私立,10,97580,9758
臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,內湖區,非營利,12,100032,8336
臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,士林區,非營利,12,94944,7912
臺北市中山區中山國民小學附設幼兒園,中山區,公立,8,67416,8427
臺北市中山區中正國民小學附設幼兒園,中山區,公立,8,67416,8427
臺北市中山區五常國民小學附設幼兒園,中山區,公立,8,59416,7427
臺北市中山區吉林國民小學附設幼兒園,中山區,公立,8,67416,8427
臺北市中山區大佳國民小學附設幼兒園,中山區,公立,8,59416,7427
臺北市中山區大直國民小學附設幼兒園,中山區,公立,8,67416,8427
臺北市中山區懷生國民小學附設幼兒園,中山區,公立,8,67416,8427
臺北市中山區永安國民小學附設幼兒園,中山區,公立,8,63416,7927
臺北市中山區濱江國民小學附設幼兒園,中山區,公立,8,63416,7927
臺北市中山區長安國民小學附設幼兒園,中山區,公立,8,60416,7552
臺北市中山區長春國民小學附設幼兒園,中山區,公立,8,43416,5427
臺北市中正區南門國民小學附設幼兒園,中正區,公立,8,67416,8427
臺北市中正區國語實驗國民小學附設幼兒園,中正區,公立,8,63416,7927
臺北市中正區忠孝國民小學附設幼兒園,中正區,公立,8,67416,8427
臺北市中正區忠義國民小學附設幼兒園,中正區,公立,8,59416,7427
臺北市中正區東門國民小學附設幼兒園,中正區,公立,8,67416,8427
臺北市中正區河堤國民小學附設幼兒園,中正區,公立,8,63416,7927
臺北市中正區螢橋國民小學附設幼兒園,中正區,公立,8,67416,8427
臺北市信中非營利幼兒園（委託財團法人福智文教基金會辦理）,信義區,非營利,12,99960,8330
臺北市信義區三興國民小學附設幼兒園,信義區,公立,8,67416,8427
臺北市信義區信義國民小學附設幼兒園,信義區,公立,8,61416,7677
臺北市信義區光復國民小學附設幼兒園,信義區,公立,8,67416,8427
臺北市信義區博愛國民小學附設幼兒園,信義區,公立,8,67416,8427
臺北市信義區吳興國民小學附設幼兒園,信義區,公立,8,61416,7677
臺北市信義區永吉國民小學附設幼兒園,信義區,公立,8,61416,7677
臺北市信義區永春國民小學附設幼兒園,信義區,公立,8,43416,5427
臺北市信義區福德國民小學附設幼兒園,信義區,公立,8,61416,7677
臺北市信義區興雅國民小學附設幼兒園,信義區,公立,8,67416,8427
臺北市內湖區內湖國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市內湖區南湖國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市內湖區大湖國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市內湖區康寧國民小學附設幼兒園,內湖區,公立,8,63416,7927
臺北市內湖區文湖國民小學附設幼兒園,內湖區,公立,8,59196,7400
臺北市內湖區新湖國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市內湖區明湖國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市內湖區東湖國民小學附設幼兒園,內湖區,公立,8,59416,7427
臺北市內湖區潭美國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市內湖區碧湖國民小學附設幼兒園,內湖區,公立,8,43416,5427
臺北市內湖區西湖國民小學附設幼兒園,內湖區,公立,8,64416,8052
臺北市內湖區麗山國民小學附設幼兒園,內湖區,公立,8,65416,8177
臺北市內湖區麗湖國民小學附設幼兒園,內湖區,公立,8,67416,8427
臺北市北投區北投國民小學附設幼兒園,北投區,公立,8,63416,7927
臺北市北投區大屯國民小學附設幼兒園,北投區,公立,8,43416,5427
臺北市北投區文化國民小學附設幼兒園,北投區,公立,8,61416,7677
臺北市北投區文林國民小學附設幼兒園,北投區,公立,8,61416,7677
臺北市北投區明德國民小學附設幼兒園,北投區,公立,8,62616,7827
臺北市北投區桃源國民小學附設幼兒園,北投區,公立,8,67416,8427
臺北市北投區清江國民小學附設幼兒園,北投區,公立,8,67416,8427
臺北市北投區湖山國民小學附設幼兒園,北投區,公立,8,67416,8427
臺北市北投區石牌國民小學附設幼兒園,北投區,公立,8,67416,8427
臺北市北投區立農國民小學附設幼兒園,北投區,公立,8,61416,7677
臺北市北投區義方國民小學附設幼兒園,北投區,公立,8,67416,8427
臺北市北投區逸仙國民小學附設幼兒園,北投區,公立,8,63416,7927
臺北市北投區關渡國民小學附設幼兒園,北投區,公立,8,59416,7427
臺北市南港區修德國民小學附設幼兒園,南港區,公立,8,67416,8427
臺北市南港區南港國民小學附設幼兒園,南港區,公立,8,67416,8427
臺北市南港區成德國民小學附設幼兒園,南港區,公立,8,67416,8427
臺北市南港區東新國民小學附設幼兒園,南港區,公立,8,61416,7677
臺北市南港區玉成國民小學附設幼兒園,南港區,公立,8,67416,8427
臺北市南港區舊莊國民小學附設幼兒園,南港區,公立,8,67416,8427
臺北市博嘉實驗國民小學附設幼兒園,文山區,公立,8,67416,8427
臺北市吉中非營利幼兒園(委託財團法人台北基督教女青年會辦理),信義區,非營利,12,97452,8121
臺北市吉利非營利幼兒園(委託社團法人台北市親子成長協會辦理),北投區,非營利,12,105720,8810
臺北市向陽非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,南港區,非營利,12,108456,9038
