point,area,type,months,total1,total2,monthly1,monthly2,total3
功學社教育用品股份有限公司附設新北市私立燕翔幼兒園,蘆洲區,私立,12,177400,0,14783,0,177400
南山學校財團法人新北市南山高級中學附設私立員工幼兒園,中和區,私立,10,212000,0,21200,0,212000
台灣基督長老教會淡江學校財團法人新北市私立淡江高級中學附設新北市私立純德幼兒園,淡水區,私立,11,155648,17764,14150,1615,155648
夏恩國際教育股份有限公司附設新北市私立夏恩昌隆幼兒園,新莊區,私立,12,240000,0,20000,0,240000
天主教耕莘醫療財團法人附設新北市私立永和耕莘幼兒園,永和區,私立,12,180000,24000,15000,2000,180000
天主教聖心學校財團法人新北市聖心國民小學附設私立善牧園幼兒園,八里區,私立,11,111750,26600,10159,2418,111750
天億文教事業股份有限公司附設新北市私立皇家幼兒園,新莊區,私立,12,176800,19200,14733,1600,176800
奇異林股份有限公司附設新北市私立奇異鳥麗林幼兒園,林口區,私立,11,330000,42900,30000,3900,330000
寶寶潛能開發股份有限公司附設新北市私立奇異鳥蘆洲幼兒園,蘆洲區,私立,11,330000,42900,30000,3900,330000
小太陽教育事業股份有限公司附設新北市私立小太陽美學幼兒園,永和區,私立,12,214400,45600,17867,3800,214400
康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒園,新店區,私立,12,478400,115200,39867,9600,478400
康軒文教事業股份有限公司附設新北市私立員工幼兒園,新店區,私立,12,434400,115200,36200,9600,434400
建豐國際資產管理股份有限公司附設新北市私立卡爾維德幼兒園,新莊區,私立,12,143800,0,11983,0,143800
新北市三峽區三峽國民小學附設幼兒園,三峽區,公立,9,33350,200,3706,22,33350
新北市三峽區五寮國民小學附設幼兒園,三峽區,公立,9,33350,200,3706,22,33350
新北市三峽區介壽國民小學附設幼兒園,三峽區,公立,9,33350,200,3706,22,33350
新北市三峽區大埔國民小學附設幼兒園,三峽區,公立,9,33350,200,3706,22,33350
新北市三峽區建安國民小學附設幼兒園,三峽區,公立,9,33350,200,3706,22,33350
新北市三峽區插角國民小學附設幼兒園,三峽區,公立,9,34250,200,3806,22,34250
新北市三峽區民義國民小學附設幼兒園,三峽區,公立,9,33350,200,3706,22,33350
新北市三峽區農會附設新北市私立幼兒園,三峽區,私立,12,128400,36000,10700,3000,128400
新北市三芝區三芝國民小學附設幼兒園,三芝區,公立,9,33350,200,3706,22,33350
新北市三芝區興華國民小學附設幼兒園,三芝區,公立,9,33350,200,3706,22,33350
新北市三重區三光國民小學附設幼兒園,三重區,公立,9,33350,200,3706,22,33350
