point,area,type,months,total1,total2,monthly1,monthly2,total3
功學社教育用品股份有限公司附設新北市私立燕翔幼兒園,蘆洲區,私立,12,177400,0,14783,0,177400
夏恩國際教育股份有限公司附設新北市私立夏恩昌隆幼兒園,新莊區,私立,12,230000,0,19167,0,230000
天主教耕莘醫療財團法人附設新北市私立永和耕莘幼兒園,永和區,私立,12,180000,24000,15000,2000,180000
天億文教事業股份有限公司附設新北市私立皇家幼兒園,新莊區,私立,12,176800,19200,14733,1600,176800
奇異林股份有限公司附設新北市私立奇異鳥麗林幼兒園,林口區,私立,11,312000,33000,28364,3000,312000
寶寶潛能開發股份有限公司附設新北市私立奇異鳥蘆洲幼兒園,蘆洲區,私立,11,312000,33000,28364,3000,312000
小太陽教育事業股份有限公司附設新北市私立小太陽美學幼兒園,永和區,私立,12,225200,45600,18767,3800,225200
康軒文教事業股份有限公司附設新北市私立員工幼兒園,新店區,私立,12,415200,0,34600,0,415200
建豐國際資產管理股份有限公司附設新北市私立卡爾維德幼兒園,新莊區,私立,12,149000,0,12417,0,149000
建豐建設股份有限公司附設新北市私立卡爾維德幼兒園,新莊區,私立,12,131000,0,10917,0,131000
新北市三峽區農會附設新北市私立幼兒園,三峽區,私立,12,139800,36000,11650,3000,139800
新北市三芝區三芝國民小學附設幼兒園,三芝區,公立,9,33350,200,3706,22,33350
新北市三重區三光國民小學附設幼兒園,三重區,公立,9,33350,200,3706,22,33350
新北市三重區光榮國民小學附設幼兒園,三重區,公立,9,33350,0,3706,0,33350
新北市三重區光興國民小學附設幼兒園,三重區,公立,9,33350,200,3706,22,33350
新北市三重區興穀國民小學附設幼兒園,三重區,公立,9,33350,200,3706,22,33350
新北市中和區中和國民小學附設幼兒園,中和區,公立,9,33350,200,3706,22,33350
新北市中和區光復國民小學附設幼兒園,中和區,公立,9,33350,200,3706,22,33350
新北市中和區景新國民小學附設幼兒園,中和區,公立,9,33350,200,3706,22,33350
新北市中和區興南國民小學附設幼兒園,中和區,公立,9,33350,200,3706,22,33350
新北市中和區錦和國民小學附設幼兒園,中和區,公立,9,33350,200,3706,22,33350
新北市五股區五股國民小學附設幼兒園,五股區,公立,9,33350,200,3706,22,33350
新北市五股區成州國民小學附設幼兒園,五股區,公立,9,33350,900,3706,100,33350
新北市八里區八里國民小學附設幼兒園,八里區,公立,9,33350,200,3706,22,33350
新北市八里區大崁國民小學附設幼兒園,八里區,公立,9,33350,200,3706,22,33350
新北市土城區土城國民小學附設幼兒園,土城區,公立,9,33350,200,3706,22,33350
新北市土城區安和國民小學附設幼兒園,土城區,公立,9,33350,200,3706,22,33350
新北市土城區廣福國民小學附設幼兒園,土城區,公立,9,33350,200,3706,22,33350
新北市土城區清水國民小學附設幼兒園,土城區,公立,9,33350,200,3706,22,33350
新北市坪林區坪林國民小學附設幼兒園,坪林區,公立,9,33350,200,3706,22,33350
