鄉鎮市區,學校,類型,年齡,學期,班別,109全學期總收費,110全學期總收費
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,上學期,半日班,11035,12150
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,上學期,全日班,13885,15200
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,下學期,半日班,11035,10300
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,4,下學期,全日班,13885,12950
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,上學期,半日班,11035,12150
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,上學期,全日班,13885,15200
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,下學期,半日班,11035,10300
七美鄉,澎湖縣七美鄉七美國民小學附設幼兒園,公立,3,下學期,全日班,13885,12950
望安鄉,澎湖縣望安鄉望安國民小學附設幼兒園,公立,4,下學期,半日班,10210,10160
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,4,上學期,半日班,11260,12250
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,4,上學期,全日班,14360,15350
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,4,下學期,半日班,6660,10400
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,4,下學期,全日班,12360,13100
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,3,上學期,半日班,11260,12250
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,3,上學期,全日班,14360,15350
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,3,下學期,半日班,6660,10400
湖西鄉,澎湖縣湖西鄉隘門國民小學附設幼兒園,公立,3,下學期,全日班,12360,13100
白沙鄉,澎湖縣白沙鄉吉貝國民小學附設幼兒園,公立,5,上學期,半日班,9460,8410
白沙鄉,澎湖縣白沙鄉吉貝國民小學附設幼兒園,公立,5,下學期,半日班,8410,7360
白沙鄉,澎湖縣白沙鄉吉貝國民小學附設幼兒園,公立,4,上學期,半日班,9460,8410
白沙鄉,澎湖縣白沙鄉吉貝國民小學附設幼兒園,公立,4,下學期,半日班,8410,7360
馬公市,澎湖縣私立明圓幼兒園,私立,2,上學期,全日班,65034,60000
馬公市,澎湖縣私立明圓幼兒園,私立,2,下學期,全日班,65034,60000
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,4,上學期,半日班,11750,12250
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,4,上學期,全日班,14850,15350
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,4,下學期,半日班,10000,10400
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,4,下學期,全日班,12700,13100
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,3,上學期,半日班,11750,12250
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,3,上學期,全日班,14850,15350
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,3,下學期,半日班,10000,10400
馬公市,澎湖縣馬公市中正國民小學附設幼兒園,公立,3,下學期,全日班,12700,13100
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,4,上學期,半日班,11750,12000
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,4,上學期,全日班,14850,15100
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,4,下學期,半日班,10100,10200
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,4,下學期,全日班,12700,12900
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,3,上學期,半日班,11750,12000
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,3,上學期,全日班,14850,15100
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,3,下學期,半日班,10000,10200
馬公市,澎湖縣馬公市馬公國民小學附設幼兒園,公立,3,下學期,全日班,12700,12900
