鄉鎮市區,學校,類型,年齡,學期,班別,109全學期總收費,110全學期總收費
中壢區,南亞科技學校財團法人南亞技術學院附設桃園市私立龍興非營利幼兒園(桃園市政府委託辦理),非營利,5,上學期,全日班,49536,29722
中壢區,南亞科技學校財團法人南亞技術學院附設桃園市私立龍興非營利幼兒園(桃園市政府委託辦理),非營利,5,下學期,全日班,49536,29722
中壢區,南亞科技學校財團法人南亞技術學院附設桃園市私立龍興非營利幼兒園(桃園市政府委託辦理),非營利,4,上學期,全日班,49536,53982
中壢區,南亞科技學校財團法人南亞技術學院附設桃園市私立龍興非營利幼兒園(桃園市政府委託辦理),非營利,4,下學期,全日班,49536,53982
中壢區,南亞科技學校財團法人南亞技術學院附設桃園市私立龍興非營利幼兒園(桃園市政府委託辦理),非營利,3,上學期,全日班,49536,53982
中壢區,南亞科技學校財團法人南亞技術學院附設桃園市私立龍興非營利幼兒園(桃園市政府委託辦理),非營利,3,下學期,全日班,49536,53982
龜山區,奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,私立,4,上學期,全日班,75000,78750
龜山區,奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,私立,4,下學期,全日班,75000,78750
龜山區,奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,私立,3,上學期,全日班,75000,78750
龜山區,奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,私立,3,下學期,全日班,75000,78750
龜山區,奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,私立,2,上學期,全日班,75000,78750
龜山區,奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,私立,2,下學期,全日班,75000,78750
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,5,下學期,半日班,15505,15485
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,5,下學期,全日班,17643,17623
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,4,上學期,半日班,15750,15885
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,4,上學期,全日班,17888,18023
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,4,下學期,半日班,15505,15885
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,4,下學期,全日班,17643,18023
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,3,上學期,半日班,15750,15885
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,3,上學期,全日班,17888,18023
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,3,下學期,半日班,15505,15885
中壢區,桃園市中壢區信義國民小學附設幼兒園,公立,3,下學期,全日班,17643,18023
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,5,上學期,半日班,15385,15323
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,5,上學期,全日班,17523,17461
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,4,上學期,半日班,15385,15885
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,4,上學期,全日班,17523,18023
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,4,下學期,半日班,15137,15885
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,4,下學期,全日班,17275,18023
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,3,上學期,半日班,15385,15885
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,3,上學期,全日班,17523,18023
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,3,下學期,半日班,15137,15885
中壢區,桃園市中壢區新街國民小學附設幼兒園,公立,3,下學期,全日班,17275,18023
中壢區,桃園市中壢區自立國民小學附設幼兒園,公立,4,上學期,全日班,18008,18023
中壢區,桃園市中壢區自立國民小學附設幼兒園,公立,4,下學期,半日班,15243,15635
中壢區,桃園市中壢區自立國民小學附設幼兒園,公立,4,下學期,全日班,17483,18023
中壢區,桃園市中壢區自立國民小學附設幼兒園,公立,3,上學期,全日班,18008,18023
中壢區,桃園市中壢區自立國民小學附設幼兒園,公立,3,下學期,半日班,15243,15635
中壢區,桃園市中壢區自立國民小學附設幼兒園,公立,3,下學期,全日班,17483,18023
八德區,桃園市八德區八德國民小學附設幼兒園,公立,4,上學期,全日班,17999,18023
八德區,桃園市八德區八德國民小學附設幼兒園,公立,4,下學期,全日班,17999,18023
八德區,桃園市八德區八德國民小學附設幼兒園,公立,3,上學期,全日班,17999,18023
八德區,桃園市八德區八德國民小學附設幼兒園,公立,3,下學期,全日班,17999,18023
八德區,桃園市八德區八德國民小學附設幼兒園,公立,2,上學期,全日班,17999,18023
八德區,桃園市八德區八德國民小學附設幼兒園,公立,2,下學期,全日班,17999,18023
八德區,桃園市八德區大安國民小學附設幼兒園,公立,5,上學期,全日班,18502,18023
八德區,桃園市八德區大安國民小學附設幼兒園,公立,5,下學期,全日班,18502,18023
八德區,桃園市八德區大安國民小學附設幼兒園,公立,4,上學期,全日班,18502,18023
八德區,桃園市八德區大安國民小學附設幼兒園,公立,4,下學期,全日班,18502,18023
八德區,桃園市八德區大安國民小學附設幼兒園,公立,3,上學期,全日班,18502,18023
八德區,桃園市八德區大安國民小學附設幼兒園,公立,3,下學期,全日班,18502,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,5,上學期,半日班,15969,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,5,上學期,全日班,18107,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,4,上學期,半日班,15969,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,4,上學期,全日班,18107,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,4,下學期,半日班,15717,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,4,下學期,全日班,17855,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,3,上學期,半日班,15969,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,3,上學期,全日班,18107,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,3,下學期,半日班,15717,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,3,下學期,全日班,17855,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,2,上學期,半日班,15969,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,2,上學期,全日班,18107,18023
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,2,下學期,半日班,15717,15885
八德區,桃園市八德區瑞豐國民小學附設幼兒園,公立,2,下學期,全日班,17855,18023
大園區,桃園市大園區后厝國民小學附設幼兒園,公立,4,上學期,全日班,14423,18023
大園區,桃園市大園區后厝國民小學附設幼兒園,公立,4,下學期,全日班,14423,18023
大園區,桃園市大園區后厝國民小學附設幼兒園,公立,3,上學期,全日班,14423,18023
大園區,桃園市大園區后厝國民小學附設幼兒園,公立,3,下學期,全日班,14423,18023
大園區,桃園市大園區后厝國民小學附設幼兒園,公立,2,上學期,全日班,14423,18023
大園區,桃園市大園區后厝國民小學附設幼兒園,公立,2,下學期,全日班,14423,18023
大園區,桃園市大園區埔心國民小學附設幼兒園,公立,4,上學期,全日班,14423,18023
大園區,桃園市大園區埔心國民小學附設幼兒園,公立,4,下學期,全日班,14423,18023
大園區,桃園市大園區埔心國民小學附設幼兒園,公立,3,上學期,全日班,14423,18023
大園區,桃園市大園區埔心國民小學附設幼兒園,公立,3,下學期,全日班,14423,18023
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,4,上學期,半日班,12285,15885
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,4,上學期,全日班,14423,18023
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,4,下學期,半日班,12285,15885
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,4,下學期,全日班,14423,18023
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,3,上學期,半日班,12285,15885
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,3,上學期,全日班,14423,18023
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,3,下學期,半日班,12285,15885
大園區,桃園市大園區溪海國民小學附設幼兒園,公立,3,下學期,全日班,14423,18023
大園區,桃園市大園區潮音國民小學附設幼兒園,公立,4,上學期,全日班,14423,18023
大園區,桃園市大園區潮音國民小學附設幼兒園,公立,4,下學期,全日班,14423,18023
大園區,桃園市大園區潮音國民小學附設幼兒園,公立,3,上學期,全日班,14423,18023
大園區,桃園市大園區潮音國民小學附設幼兒園,公立,3,下學期,全日班,14423,18023
大園區,桃園市大園區潮音國民小學附設幼兒園,公立,2,上學期,全日班,14423,18023
大園區,桃園市大園區潮音國民小學附設幼兒園,公立,2,下學期,全日班,14423,18023
大園區,桃園市大園區菓林國民小學附設幼兒園,公立,4,上學期,全日班,14423,18023
大園區,桃園市大園區菓林國民小學附設幼兒園,公立,4,下學期,全日班,14423,18023
大園區,桃園市大園區菓林國民小學附設幼兒園,公立,3,上學期,全日班,14423,18023
大園區,桃園市大園區菓林國民小學附設幼兒園,公立,3,下學期,全日班,14423,18023
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,5,上學期,半日班,15690,15660
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,5,上學期,全日班,17828,17798
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,4,上學期,半日班,15690,15885
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,4,上學期,全日班,17828,18023
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,4,下學期,半日班,15515,15885
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,4,下學期,全日班,17653,18023
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,3,上學期,半日班,15690,15885
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,3,上學期,全日班,17828,18023
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,3,下學期,半日班,15515,15885
大溪區,桃園市大溪區仁和國民小學附設幼兒園,公立,3,下學期,全日班,17653,18023
大溪區,桃園市大溪區南興國民小學附設幼兒園,公立,4,上學期,全日班,17778,18023
大溪區,桃園市大溪區南興國民小學附設幼兒園,公立,4,下學期,全日班,17618,18023
大溪區,桃園市大溪區南興國民小學附設幼兒園,公立,3,上學期,全日班,17778,18023
大溪區,桃園市大溪區南興國民小學附設幼兒園,公立,3,下學期,全日班,17618,18023
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,4,上學期,半日班,15840,15885
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,4,上學期,全日班,17978,18023
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,4,下學期,半日班,15840,15885
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,4,下學期,全日班,17978,18023
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,3,上學期,半日班,15840,15885
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,3,上學期,全日班,17978,18023
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,3,下學期,半日班,15840,15885
平鎮區,桃園市平鎮區南勢國民小學附設幼兒園,公立,3,下學期,全日班,17978,18023
平鎮區,桃園市平鎮區平興國民小學附設幼兒園,公立,4,上學期,全日班,18012,18023
平鎮區,桃園市平鎮區平興國民小學附設幼兒園,公立,4,下學期,全日班,18012,18023
平鎮區,桃園市平鎮區平興國民小學附設幼兒園,公立,3,上學期,全日班,18012,18023
平鎮區,桃園市平鎮區平興國民小學附設幼兒園,公立,3,下學期,全日班,18012,18023
平鎮區,桃園市平鎮區忠貞國民小學附設幼兒園,公立,4,上學期,全日班,17873,18023
平鎮區,桃園市平鎮區忠貞國民小學附設幼兒園,公立,3,上學期,全日班,17873,18023
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,4,上學期,半日班,15385,15885
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,4,上學期,全日班,17523,18023
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,4,下學期,半日班,15137,15885
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,4,下學期,全日班,17275,18023
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,3,上學期,半日班,15385,15885
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,3,上學期,全日班,17523,18023
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,3,下學期,半日班,15137,15885
平鎮區,桃園市平鎮區新勢國民小學附設幼兒園,公立,3,下學期,全日班,17275,18023
平鎮區,桃園市平鎮區東勢國民小學附設幼兒園,公立,4,上學期,全日班,18123,18023
平鎮區,桃園市平鎮區東勢國民小學附設幼兒園,公立,4,下學期,全日班,17827,18023
平鎮區,桃園市平鎮區東勢國民小學附設幼兒園,公立,3,上學期,全日班,18123,18023
平鎮區,桃園市平鎮區東勢國民小學附設幼兒園,公立,3,下學期,全日班,17827,18023
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,4,上學期,半日班,15874,15885
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,4,上學期,全日班,18012,18023
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,4,下學期,半日班,15874,15885
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,4,下學期,全日班,18012,18023
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,3,上學期,半日班,15874,15885
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,3,上學期,全日班,18012,18023
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,3,下學期,半日班,15874,15885
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,3,下學期,全日班,18012,18023
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,2,上學期,半日班,15874,15885
平鎮區,桃園市平鎮區東安國民小學附設幼兒園,公立,2,上學期,全日班,18012,18023
