point,type,months,total,monthly
國立和美實驗學校幼兒部,公立,0,0,NAN
彰化縣二林鎮興華國民小學附設幼兒園,公立,0,0,NAN
彰化縣伸港鄉立幼兒園,公立,0,0,NAN
彰化縣北斗鎮北斗國民小學附設幼兒園,公立,0,0,NAN
彰化縣和美鎮和仁國民小學附設幼兒園,公立,0,0,NAN
彰化縣和美鎮和美國民小學附設幼兒園,公立,0,0,NAN
彰化縣和美鎮培英國民小學附設幼兒園,公立,0,0,NAN
彰化縣和美鎮大嘉國民小學附設幼兒園,公立,0,0,NAN
彰化縣和美鎮立幼兒園,公立,0,0,NAN
彰化縣和美鎮立幼兒園柑井分班,公立,0,0,NAN
彰化縣和美鎮立幼兒園源埤分班,公立,0,0,NAN
彰化縣和美鎮立幼兒園犁盛分班,公立,0,0,NAN
彰化縣員林市僑信國民小學附設幼兒園,公立,0,0,NAN
彰化縣員林市員東國民小學附設幼兒園,公立,0,0,NAN
彰化縣員林市立幼兒園,公立,0,0,NAN
彰化縣員林市立幼兒園中央分班,公立,0,0,NAN
彰化縣員林市立幼兒園大埔分班,公立,0,0,NAN
彰化縣員林市立幼兒園東北分班,公立,0,0,NAN
彰化縣員林市立幼兒園浮圳分班,公立,0,0,NAN
彰化縣員林市立幼兒園西東分班,公立,0,0,NAN
彰化縣員林市立幼兒園鎮興分班,公立,0,0,NAN
彰化縣員林市青山國民小學附設幼兒園,公立,0,0,NAN
彰化縣員林市靜修國民小學附設幼兒園,公立,0,0,NAN
彰化縣員林市饒明國民小學附設幼兒園,公立,0,0,NAN
彰化縣埔心鄉立幼兒園,公立,0,0,NAN
彰化縣埔鹽鄉好修國民小學附設幼兒園,公立,0,0,NAN
彰化縣埔鹽鄉立幼兒園,公立,0,0,NAN
彰化縣埤頭鄉合興國民小學附設幼兒園,公立,0,0,NAN
彰化縣埤頭非營利幼兒園（委託社團法人彰化縣芸生學前教保學會辦理）,非營利,0,0,NAN
彰化縣大城鄉大城國民小學附設幼兒園,公立,0,0,NAN
彰化縣大城鄉立幼兒園,公立,0,0,NAN
彰化縣大城鄉立幼兒園山腳分班,公立,0,0,NAN
彰化縣大城鄉立幼兒園潭墘分班,公立,0,0,NAN
彰化縣大城鄉立幼兒園菜寮分班,公立,0,0,NAN
彰化縣大城鄉西港國民小學附設幼兒園,公立,0,0,NAN
