point,area,type,months,total,monthly
中臺科技大學附設臺中市私立潭秀非營利幼兒園(臺中市政府教育局委託辦理),潭子區,非營利,12,98976,8248
台灣積體電路製造股份有限公司職工福利委員會附設臺中市私立台積電幼兒園,大雅區,私立,12,201600,16800
國立中興大學附屬臺中高級農業職業學校附設臺中市私立實習幼兒園,東區,私立,12,110000,9167
國立臺中教育大學附設實驗國民小學附設幼兒園,北區,公立,8,35673,4459
明德學校財團法人臺中市明德高級中學附設臺中市私立明德幼兒園,南區,私立,10,122200,12220
正和書院附設臺中市私立光明幼兒園,烏日區,私立,12,96000,8000
社團法人中華音樂舞蹈暨表演藝術教育協會附設臺中市私立上楓非營利幼兒園(臺中市政府教育局委託辦理),大雅區,非營利,12,96372,8031
私立弘光科技大學附設臺中市中棲幼兒園,沙鹿區,私立,12,158400,13200
私立弘光科技大學附設臺中市平等幼兒園,沙鹿區,私立,12,145500,12125
私立弘光科技大學附設臺中市幼兒園,沙鹿區,私立,12,162000,13500
私立慈明高級中學附設臺中市幼兒園,太平區,私立,12,96000,8000
私立朝陽科技大學附設臺中市幼兒園,霧峰區,私立,12,142800,11900
私立育仁國民小學附設臺中市幼兒園,北區,私立,10,70100,7010
臺中市三光非營利幼兒園(委託財團法人宏觀文教基金會辦理),北屯區,非營利,12,103044,8587
臺中市中區光復國民小學附設幼兒園,中區,公立,8,49581,6198
臺中市中華非營利幼兒園(委託財團法人伊甸社會福利基金會辦理),太平區,非營利,12,102744,8562
臺中市五權非營利幼兒園(委託財團法人星光教育基金會辦理),北區,非營利,12,104100,8675
臺中市北區中華國民小學附設幼兒園,北區,公立,8,36436,4555
臺中市北區健行國民小學附設幼兒園,北區,公立,8,37047,4631
臺中市北區太平國民小學附設幼兒園,北區,公立,8,36198,4525
臺中市北區省三國民小學附設幼兒園,北區,公立,8,37109,4639
臺中市北區立人國民小學附設幼兒園,北區,公立,8,35619,4452
臺中市北區篤行國民小學附設幼兒園,北區,公立,8,36479,4560
臺中市北屯區仁愛國民小學附設幼兒園,北屯區,公立,8,37247,4656
臺中市北屯區僑孝國民小學附設幼兒園,北屯區,公立,8,37247,4656
臺中市北屯區北屯國民小學附設幼兒園,北屯區,公立,8,36228,4529
臺中市北屯區四張犁國民小學附設幼兒園,北屯區,公立,8,37047,4631
臺中市北屯區四維國民小學附設幼兒園,北屯區,公立,8,36287,4536
臺中市北屯區大坑國民小學附設幼兒園,北屯區,公立,8,37239,4655
臺中市北屯區文心國民小學附設幼兒園,北屯區,公立,8,38607,4826
臺中市北屯區新興國民小學附設幼兒園,北屯區,公立,8,36909,4614
臺中市北屯區東光國民小學附設幼兒園,北屯區,公立,8,36287,4536
臺中市北屯區軍功國民小學附設幼兒園,北屯區,公立,8,37621,4703
臺中市南區信義國民小學附設幼兒園,南區,公立,8,38407,4801
臺中市南區和平國民小學附設幼兒園,南區,公立,8,36428,4554
臺中市南區國光國民小學附設幼兒園,南區,公立,8,36436,4555
臺中市南屯區南屯國民小學附設幼兒園,南屯區,公立,8,36395,4549
臺中市南屯區文山國民小學附設幼兒園,南屯區,公立,8,34935,4367
