point,area,type,months,total,monthly
台灣積體電路製造股份有限公司職工福利委員會附設新竹縣私立台積電幼兒園,寶山鄉,私立,12,212900,17742
新竹縣五峰鄉立幼兒園,五峰鄉,公立,10,27800,2780
新竹縣司馬庫斯部落互助教保服務中心（新竹縣尖石鄉泰雅爾司馬庫斯部落發展協會辦理）,尖石鄉,私立,10,56508,5651
新竹縣嘉豐非營利幼兒園(委託社團法人台灣幼兒早期教育協會辦理),竹北市,非營利,12,88776,7398
新竹縣尖石鄉石磊國民小學附設幼兒園,尖石鄉,公立,8,32890,4111
新竹縣峨眉鄉立幼兒園,峨眉鄉,公立,10,30020,3002
新竹縣私立上上幼兒園,北埔鄉,私立,12,116400,9700
新竹縣私立中國兒童幼兒園,關西鎮,準公共化,12,94636,7886
新竹縣私立亞瑟王幼兒園,竹東鎮,私立,12,181200,15100
新竹縣私立仁美幼兒園,新埔鎮,準公共化,12,153144,12762
新竹縣私立何嘉仁國際幼兒園,竹北市,私立,12,227108,18926
新竹縣私立佳佳幼兒園,湖口鄉,私立,12,174000,14500
新竹縣私立佳禾幼兒園,橫山鄉,私立,10,112300,11230
新竹縣私立倢德幼兒園,竹北市,準公共化,12,260600,21717
新竹縣私立偉大人物幼兒園,湖口鄉,私立,12,192000,16000
新竹縣私立優尼肯幼兒園,竹北市,私立,12,219600,18300
新竹縣私立優葆幼兒園,竹北市,私立,12,203200,16933
新竹縣私立光明園幼兒園,芎林鄉,私立,10,133500,13350
新竹縣私立凱蒂幼兒園,竹東鎮,準公共化,12,119652,9971
新竹縣私立劍橋幼兒園,竹北市,私立,12,158000,13167
新竹縣私立千蕎幼兒園,竹北市,私立,12,155000,12917
新竹縣私立古佳幼幼兒園,湖口鄉,私立,12,191680,15973
新竹縣私立古佳正幼兒園,湖口鄉,私立,12,180680,15057
新竹縣私立古佳立幼兒園,新豐鄉,私立,12,191680,15973
新竹縣私立古佳育幼兒園,新豐鄉,私立,12,191680,15973
新竹縣私立台元科技幼兒園,竹北市,私立,12,124000,10333
新竹縣私立台大幼兒園,芎林鄉,準公共化,12,136236,11353
新竹縣私立史丹佛幼兒園,竹北市,私立,10,362000,36200
新竹縣私立史坦納幼兒園,新豐鄉,準公共化,12,111740,9312
新竹縣私立名喬幼兒園,竹北市,私立,12,166400,13867
新竹縣私立哈佛幼兒園,竹北市,私立,12,143960,11997
新竹縣私立哈柏露塔幼兒園,竹北市,準公共化,12,373200,31100
新竹縣私立喜悅幼兒園,新豐鄉,私立,12,183600,15300
新竹縣私立喬米幼兒園,竹北市,私立,12,169600,14133
新竹縣私立嘉德琳幼兒園,竹北市,私立,10,200000,20000
新竹縣私立四季田幼兒園,竹東鎮,私立,12,232890,19408
新竹縣私立國際蒙特梭利台大幼兒園,竹北市,私立,12,270800,22567
新竹縣私立國際蒙特梭利竹北幼兒園,竹北市,私立,12,263600,21967
新竹縣私立園區蒙特梭利幼兒園,寶山鄉,私立,10,180000,18000
新竹縣私立士林幼兒園,湖口鄉,私立,12,200800,16733
新竹縣私立夢想島幼兒園,竹北市,私立,12,340000,28333
新竹縣私立大同幼兒園,湖口鄉,私立,12,105000,8750
新竹縣私立大地幼兒園,竹東鎮,私立,10,145000,14500
新竹縣私立天籟森林幼兒園,新豐鄉,私立,12,248000,20667
新竹縣私立天聲幼兒園,竹北市,私立,10,161500,16150
新竹縣私立天韻幼兒園,竹北市,私立,10,149000,14900
新竹縣私立奇力果幼兒園,竹北市,私立,10,184000,18400
新竹縣私立奇果兒童森林幼兒園,竹北市,私立,10,272000,27200
新竹縣私立奇薇蒙特梭利幼兒園,竹北市,私立,12,292000,24333
新竹縣私立學府幼兒園,新豐鄉,準公共化,12,182964,15247
新竹縣私立安安幼兒園,竹北市,私立,12,118320,9860
新竹縣私立寶源幼兒園,寶山鄉,私立,12,120000,10000
新竹縣私立寶貝幼兒園,竹東鎮,私立,12,143200,11933
新竹縣私立小博士幼兒園,新豐鄉,私立,12,123000,10250
新竹縣私立小太陽幼兒園,湖口鄉,私立,12,171200,14267
新竹縣私立小歌德幼兒園,竹北市,私立,12,206400,17200
新竹縣私立小王子幼兒園,竹東鎮,準公共化,12,126586,10549
新竹縣私立小瓢蟲幼兒園,湖口鄉,準公共化,12,130684,10890
新竹縣私立庫奇幼兒園,竹北市,準公共化,12,260800,21733
新竹縣私立康乃馨幼兒園,竹東鎮,準公共化,12,107004,8917
新竹縣私立康寧愛悅幼兒園,竹東鎮,私立,12,209200,17433
