point,area,type,months,total1,total2,monthly1,monthly2
台灣積體電路製造股份有限公司職工福利委員會附設新竹縣私立台積電幼兒園,寶山鄉,私立,12,321360,36000,26780,3000
新竹縣五峰鄉五峰國民小學附設幼兒園,五峰鄉,公立,8,63800,0,7975,0
新竹縣五峰鄉桃山國民小學附設幼兒園,五峰鄉,公立,8,65820,0,8228,0
新竹縣五峰鄉立幼兒園,五峰鄉,公立,10,55600,0,5560,0
新竹縣五峰鄉花園國民小學附設幼兒園,五峰鄉,公立,8,65800,200,8225,25
新竹縣北埔鄉北埔國民小學附設幼兒園,北埔鄉,公立,8,68948,0,8619,0
新竹縣北埔鄉立幼兒園,北埔鄉,公立,10,80000,0,8000,0
新竹縣司馬庫斯部落互助教保服務中心（新竹縣尖石鄉泰雅爾司馬庫斯部落發展協會辦理）,尖石鄉,私立,10,113016,0,11302,0
新竹縣嘉豐非營利幼兒園(委託社團法人台灣幼兒早期教育協會辦理),竹北市,非營利,12,83208,0,6934,0
新竹縣寶山鄉寶山國民小學附設幼兒園,寶山鄉,公立,8,65960,0,8245,0
新竹縣寶山鄉新城國民小學附設幼兒園,寶山鄉,公立,8,63800,0,7975,0
新竹縣寶山鄉立幼兒園,寶山鄉,公立,10,62000,0,6200,0
新竹縣寶山鄉立幼兒園中心分班,寶山鄉,公立,10,62000,0,6200,0
新竹縣寶山鄉立幼兒園新城分班,寶山鄉,公立,10,62000,0,6200,0
新竹縣寶山鄉雙溪國民小學附設幼兒園,寶山鄉,公立,8,65740,200,8218,25
新竹縣尖石鄉新光國民小學附設幼兒園,尖石鄉,公立,8,63800,0,7975,0
新竹縣尖石鄉新樂國民小學附設幼兒園,尖石鄉,公立,8,65780,0,8223,0
新竹縣尖石鄉梅花國民小學附設幼兒園,尖石鄉,公立,8,65780,0,8223,0
新竹縣尖石鄉玉峰國民小學附設幼兒園,尖石鄉,公立,8,65780,0,8223,0
新竹縣尖石鄉石磊國民小學附設幼兒園,尖石鄉,公立,8,65780,0,8223,0
新竹縣尖石鄉秀巒國民小學附設幼兒園,尖石鄉,公立,8,65820,0,8228,0
新竹縣尖石鄉秀巒國民小學附設幼兒園田埔分班,尖石鄉,公立,8,65820,0,8228,0
新竹縣尖石鄉立幼兒園,尖石鄉,公立,8,62000,400,7750,50
新竹縣尖石鄉錦屏國民小學附設幼兒園,尖石鄉,公立,8,63800,0,7975,0
新竹縣峨眉鄉富興國民小學附設幼兒園,峨眉鄉,公立,8,65780,0,8223,0
新竹縣峨眉鄉峨眉國民小學附設幼兒園,峨眉鄉,公立,8,65780,0,8223,0
新竹縣峨眉鄉立幼兒園,峨眉鄉,公立,10,60040,0,6004,0
新竹縣文興非營利幼兒園(委託社團法人臺灣亞洲學前教育培訓協會辦理),竹北市,非營利,12,81960,0,6830,0
新竹縣新埔鎮新埔國民小學附設幼兒園,新埔鎮,公立,8,63800,0,7975,0
新竹縣新埔鎮新星國民小學附設幼兒園,新埔鎮,公立,8,63800,0,7975,0
新竹縣新埔鎮枋寮國民小學附設幼兒園,新埔鎮,公立,8,65060,0,8133,0
新竹縣新埔鎮立幼兒園,新埔鎮,公立,10,72000,0,7200,0
新竹縣新埔鎮立幼兒園文山分班,新埔鎮,公立,10,72000,0,7200,0
新竹縣新豐鄉埔和國民小學附設幼兒園,新豐鄉,公立,8,69020,0,8628,0
新竹縣新豐鄉山崎國民小學附設幼兒園,新豐鄉,公立,8,67040,200,8380,25
新竹縣新豐鄉新豐國民小學附設幼兒園,新豐鄉,公立,8,67760,200,8470,25
新竹縣新豐鄉松林國民小學附設幼兒園,新豐鄉,公立,8,63800,200,7975,25
新竹縣新豐鄉瑞興國民小學附設幼兒園,新豐鄉,公立,8,69740,0,8718,0
新竹縣新豐鄉福興國民小學附設幼兒園,新豐鄉,公立,8,69740,0,8718,0
新竹縣新豐鄉立幼兒園,新豐鄉,公立,8,61200,0,7650,0
新竹縣新豐鄉立幼兒園中崙分班,新豐鄉,公立,8,61200,0,7650,0
新竹縣新豐鄉立幼兒園重興分班,新豐鄉,公立,8,61200,0,7650,0
新竹縣新豐非營利幼兒園(委託明新學校財團法人設立之明新科技大學辦理),新豐鄉,非營利,12,117600,0,9800,0
新竹縣橫山鄉內灣國民小學附設幼兒園,橫山鄉,公立,8,65780,200,8223,25
新竹縣橫山鄉大肚國民小學附設幼兒園,橫山鄉,公立,8,67760,200,8470,25
新竹縣橫山鄉橫山國民小學附設幼兒園,橫山鄉,公立,8,71000,200,8875,25
新竹縣橫山鄉沙坑國民小學附設幼兒園,橫山鄉,公立,8,69740,0,8718,0
新竹縣橫山鄉田寮國民小學附設幼兒園,橫山鄉,公立,8,65780,200,8223,25
新竹縣湖口鄉信勢國民小學附設幼兒園,湖口鄉,公立,8,63800,0,7975,0
新竹縣湖口鄉和興國民小學附設幼兒園,湖口鄉,公立,8,67976,0,8497,0
新竹縣湖口鄉新湖國民小學附設幼兒園,湖口鄉,公立,8,68156,0,8520,0
新竹縣湖口鄉湖口國民小學附設幼兒園,湖口鄉,公立,8,67760,0,8470,0
新竹縣湖口鄉立幼兒園,湖口鄉,公立,10,66000,0,6600,0
新竹縣湖口鄉立幼兒園湖口分班,湖口鄉,公立,10,66000,0,6600,0
新竹縣湖口鄉華興國民小學附設幼兒園,湖口鄉,公立,8,67800,200,8475,25
新竹縣湖口鄉長安國民小學附設幼兒園,湖口鄉,公立,8,67976,0,8497,0
新竹縣私立上上幼兒園,北埔鄉,準公共化,12,165600,0,13800,0
新竹縣私立中國兒童幼兒園,關西鎮,準公共化,12,160000,18000,13333,1500
新竹縣私立丹佛幼兒園,竹東鎮,私立,10,214800,23000,21480,2300
新竹縣私立亞瑟王幼兒園,竹東鎮,私立,12,268800,33600,22400,2800
新竹縣私立仁美幼兒園,新埔鎮,準公共化,12,243384,18000,20282,1500
新竹縣私立何嘉仁國際幼兒園,竹北市,私立,12,356904,24000,29742,2000
新竹縣私立佳佳幼兒園,湖口鄉,準公共化,12,260000,0,21667,0
新竹縣私立佳禾幼兒園,橫山鄉,私立,10,196760,10000,19676,1000
新竹縣私立倢德幼兒園,竹北市,準公共化,12,402400,59400,33533,4950
新竹縣私立偉大人物幼兒園,湖口鄉,私立,12,384000,36000,32000,3000
新竹縣私立優尼肯幼兒園,竹北市,私立,12,388800,13200,32400,1100
新竹縣私立優葆幼兒園,竹北市,私立,12,406400,0,33867,0
新竹縣私立光明園幼兒園,芎林鄉,私立,12,259200,0,21600,0
新竹縣私立凱蒂幼兒園,竹東鎮,準公共化,12,218184,18000,18182,1500
新竹縣私立劍橋幼兒園,竹北市,私立,12,300000,0,25000,0
新竹縣私立千蕎幼兒園,竹北市,私立,12,298000,0,24833,0
新竹縣私立古佳幼幼兒園,湖口鄉,私立,12,252800,31680,21067,2640
新竹縣私立古佳正幼兒園,湖口鄉,私立,12,298000,31680,24833,2640
新竹縣私立古佳立幼兒園,新豐鄉,私立,12,252800,31680,21067,2640
新竹縣私立古佳育幼兒園,新豐鄉,私立,12,252800,31680,21067,2640
新竹縣私立台元科技幼兒園,竹北市,準公共化,12,248000,0,20667,0
新竹縣私立台大幼兒園,芎林鄉,準公共化,12,230400,18000,19200,1500
新竹縣私立史丹佛幼兒園,竹北市,私立,10,592000,66000,59200,6600
新竹縣私立史坦納幼兒園,新豐鄉,準公共化,12,184000,18000,15333,1500
新竹縣私立名喬幼兒園,竹北市,私立,12,304000,14400,25333,1200
新竹縣私立向陽幼兒園,竹北市,私立,12,408000,0,34000,0
新竹縣私立哈佛幼兒園,竹北市,準公共化,12,263920,12000,21993,1000
新竹縣私立哈柏露塔幼兒園,竹北市,準公共化,12,437760,18000,36480,1500
新竹縣私立喜悅幼兒園,新豐鄉,私立,12,254312,27600,21193,2300
新竹縣私立喬米幼兒園,竹北市,私立,12,315200,12000,26267,1000
新竹縣私立嘉德琳幼兒園,竹北市,私立,10,400000,0,40000,0
新竹縣私立四季田幼兒園,竹東鎮,私立,12,465780,0,38815,0
新竹縣私立國際蒙特梭利台大幼兒園,竹北市,私立,12,474400,12000,39533,1000
新竹縣私立國際蒙特梭利竹北幼兒園,竹北市,私立,12,439200,12000,36600,1000
新竹縣私立園區蒙特梭利幼兒園,寶山鄉,私立,10,260000,0,26000,0
新竹縣私立士林幼兒園,湖口鄉,私立,12,205200,82800,17100,6900
新竹縣私立夢想島幼兒園,竹北市,私立,12,363600,60000,30300,5000
新竹縣私立大同幼兒園,湖口鄉,私立,12,144344,0,12029,0
新竹縣私立大地幼兒園,竹東鎮,私立,10,181736,0,18174,0
新竹縣私立天籟森林幼兒園,新豐鄉,私立,12,424000,36000,35333,3000
新竹縣私立天聲幼兒園,竹北市,私立,10,279000,0,27900,0
新竹縣私立天韻幼兒園,竹北市,私立,10,278600,0,27860,0
新竹縣私立奇力果幼兒園,竹北市,私立,10,368000,0,36800,0
新竹縣私立奇果兒童森林幼兒園,竹北市,私立,10,368000,88000,36800,8800
新竹縣私立奇薇蒙特梭利幼兒園,竹北市,私立,12,464000,60000,38667,5000
新竹縣私立威佑幼兒園,湖口鄉,準公共化,12,190360,18000,15863,1500
新竹縣私立學府幼兒園,新豐鄉,準公共化,12,222240,18000,18520,1500
新竹縣私立安安幼兒園,竹北市,私立,12,193192,7920,16099,660
新竹縣私立安琪兒幼兒園,竹東鎮,準公共化,12,211200,0,17600,0
新竹縣私立宏儒幼兒園,湖口鄉,準公共化,12,261120,18000,21760,1500
新竹縣私立寶源幼兒園,寶山鄉,私立,12,198432,0,16536,0
新竹縣私立寶貝學府幼兒園,竹東鎮,私立,12,266400,0,22200,0
新竹縣私立寶貝幼兒園,竹東鎮,準公共化,12,238400,0,19867,0
新竹縣私立小博士幼兒園,新豐鄉,私立,12,222000,0,18500,0
新竹縣私立小太陽幼兒園,湖口鄉,準公共化,12,258800,27600,21567,2300
新竹縣私立小歌德幼兒園,竹北市,私立,12,403200,0,33600,0
新竹縣私立小王子幼兒園,竹東鎮,準公共化,12,227044,18000,18920,1500
新竹縣私立小瓢蟲幼兒園,湖口鄉,準公共化,12,244568,18000,20381,1500
新竹縣私立崇益幼兒園,竹北市,私立,12,168800,0,14067,0
新竹縣私立庫奇幼兒園,竹北市,準公共化,12,242948,55200,20246,4600
新竹縣私立康乃薾幼兒園,竹北市,私立,11,253000,6600,23000,600
新竹縣私立康乃馨幼兒園,竹東鎮,準公共化,12,155320,18000,12943,1500
新竹縣私立康寧愛悅幼兒園,竹東鎮,私立,12,418400,0,34867,0
新竹縣私立康寧自然幼兒園,竹東鎮,私立,12,348400,0,29033,0
新竹縣私立康德幼兒園,竹北市,私立,12,616800,60000,51400,5000
新竹縣私立康橋幼兒園,竹北市,私立,12,380000,0,31667,0
新竹縣私立張逸幼兒園,湖口鄉,私立,12,300000,36000,25000,3000
新竹縣私立張逸文幼兒園,新豐鄉,私立,12,280800,0,23400,0
新竹縣私立張遇幼兒園,湖口鄉,準公共化,12,356000,36000,29667,3000
新竹縣私立張遇文幼兒園,湖口鄉,準公共化,12,364000,36000,30333,3000
新竹縣私立愛丁堡幼兒園,新豐鄉,準公共化,12,230828,48000,19236,4000
新竹縣私立愛兒堡幼兒園,橫山鄉,私立,12,173200,0,14433,0
新竹縣私立愛加倍幼兒園,關西鎮,準公共化,12,199256,18000,16605,1500
新竹縣私立愛林實驗幼兒園,竹北市,私立,12,420000,18000,35000,1500
新竹縣私立愛默生幼兒園,竹北市,私立,12,408000,0,34000,0
新竹縣私立慈暉幼兒園,竹北市,私立,10,276000,18000,27600,1800
新竹縣私立承山幼兒園,竹北市,私立,12,472000,57600,39333,4800
新竹縣私立探索幼兒園,竹北市,私立,12,488000,60000,40667,5000
