title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
雲林縣斗南鎮立幼兒園,雲林縣,斗南鎮,公立,[630]港墘2號,(05)5962780,,400,無,(110),無,無,yes
雲林縣斗南鎮立幼兒園靖興分班,雲林縣,斗南鎮,公立,[630]靖光路5號,(05)5962782,,150,無,(110),無,無,yes
雲林縣斗南鎮文安國民小學附設幼兒園,雲林縣,斗南鎮,公立,[630]延平路一段189號,(05)5972265#215,http://www.waes.ylc.edu.tw/school/web/index.php,60,無,(110),無,無,yes
國立雲林特殊教育學校幼兒部,雲林縣,斗南鎮,公立,[630]新崙路100號,(05)5969241,https://www.nyses.ylc.edu.tw/home,0,無,無,無,無,yes
財團法人天主教中華道明修女會附設雲林縣私立斗南幼兒園,雲林縣,斗南鎮,私立,[630]永安街58號,(05)5973546,http://sites.google.com/a/nannyou.com/home/,180,110-112,(110),無,無,yes
雲林縣私立博仁幼兒園,雲林縣,斗南鎮,私立,[630]光復街9之1號,(05)5962882,,90,110-112,(110),無,無,yes
雲林縣私立中興幼兒園,雲林縣,斗南鎮,私立,[630]西昌路70號,(05)5968128,,210,110-112,(110),有,無,yes
雲林縣私立小天才幼兒園,雲林縣,斗南鎮,私立,[630]文安路1之2號,(05)5961512,http://littlegenius.np2.tw/,120,110-112,(110),無,無,yes
雲林縣大埤鄉立幼兒園,雲林縣,大埤鄉,公立,[631]仁和路4-1號,(05)5916520,,300,無,(110),無,無,yes
雲林縣大埤鄉大埤國民小學附設幼兒園,雲林縣,大埤鄉,公立,[631]中正路23號,(05)5912007,,60,無,(110),無,無,yes
雲林縣私立亞歷山大幼兒園,雲林縣,大埤鄉,私立,[631]中山路197號,(05)5910505,,150,110-112,(110),無,無,yes
雲林縣私立丹迪幼兒園,雲林縣,大埤鄉,私立,[631]妮姑庵68號,(05)5913987,,90,110-112,(110),無,無,yes
雲林縣虎尾鎮立幼兒園,雲林縣,虎尾鎮,公立,[632]明正路13號,(05)6339531,,340,無,(110),無,無,yes
雲林縣虎尾鎮中溪國民小學附設幼兒園,雲林縣,虎尾鎮,公立,[632]過溪63號,(05)6222385,,46,無,(110),無,無,yes
雲林縣私立春民幼兒園,雲林縣,虎尾鎮,私立,[632]39-2號,(05)6366688,,198,無,(110),無,無,yes
雲林縣私立童心幼兒園,雲林縣,虎尾鎮,私立,[632]三合3之15號,(05)6362285,http://kidsheart.topschool.com.tw,175,110-112,(110),無,無,yes
雲林縣私立三民幼兒園,雲林縣,虎尾鎮,私立,[632]正義路17號,(05)6334103,,90,110-112,(110),無,無,yes
雲林縣私立上智幼兒園,雲林縣,虎尾鎮,私立,[632]工專路105巷2號,(05)6361651,,75,110-112,(110),無,無,yes
雲林縣私立丹尼兒幼兒園,雲林縣,虎尾鎮,私立,[632]39-1號,(05)6366699,,150,無,(110),無,無,yes
雲林縣私立春子幼兒園,雲林縣,虎尾鎮,私立,[632]39號,(05)6312398,,206,無,(110),無,無,yes
雲林縣私立立人幼兒園,雲林縣,虎尾鎮,私立,[632]北平路243巷22號,(05)0936426405#12,http://liren.uschool.com.tw,90,110-112,(110),無,無,yes
雲林縣私立姿善幼兒園,雲林縣,虎尾鎮,私立,[632]中正路395巷5弄2號,(05)6338697,,60,110-112,(110),無,無,yes
財團法人天主教會嘉義教區附設雲林縣私立聖心幼兒園,雲林縣,虎尾鎮,私立,[632]新生路139號,(05)6322963,http://www.sheng-shin.woby.tw,270,110-112,(110),無,無,yes
雲林縣私立安安幼兒園,雲林縣,虎尾鎮,私立,[632]新吉76-5號,(05)6338377,,363,110-112,(110),無,無,yes
雲林縣私立宏慈幼兒園,雲林縣,虎尾鎮,私立,[632]三民路79號,(05)6325285,,90,110-112,(110),無,無,yes
雲林縣私立大屯幼兒園,雲林縣,虎尾鎮,私立,[632]大屯路368號,(05)6654043,,80,110-112,(110),無,無,yes
雲林縣私立維也納幼兒園,雲林縣,虎尾鎮,私立,[632]光復路671號,(05)6360186,雲林縣虎尾鎮光復路671號,285,無,(110),無,無,yes
雲林縣中正非營利幼兒園(委託環球學校財團法人辦理),雲林縣,虎尾鎮,非營利,[632]林森路1段64號,(05)6324267,,90,無,(110),無,無,yes
雲林縣虎尾非營利幼兒園(委託環球學校財團法人辦理),雲林縣,虎尾鎮,非營利,[632]明正路88號,(05)6339275,,106,無,無,無,無,no
雲林縣土庫鎮土庫國民小學附設幼兒園,雲林縣,土庫鎮,公立,[633]中正路69號,(05)6626590,http://163.27.158.3/Chinese/,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園,雲林縣,土庫鎮,公立,[633]後埔242號,(05)6623211#211,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園新庄分班,雲林縣,土庫鎮,公立,[633]南新庄1號,(05)6650615,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園東平分班,雲林縣,土庫鎮,公立,[633]民生路5-3號,(05)6650610,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園南平分班,雲林縣,土庫鎮,公立,[633]仁愛街31號,(05)6650605,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園北平分班,雲林縣,土庫鎮,公立,[633]馬光路174號,(05)6650611,,60,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園崙內分班,雲林縣,土庫鎮,公立,[633]果圍80號,(05)6650625,,40,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園大荖分班,雲林縣,土庫鎮,公立,[633]大荖47號,(05)6622714,,20,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園埤腳分班,雲林縣,土庫鎮,公立,[633]埤腳55號,(05)6626643,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園扶朝分班,雲林縣,土庫鎮,公立,[633]扶朝40-8號,(05)6626618,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園秀潭分班,雲林縣,土庫鎮,公立,[633]秀潭66-3號,(05)6626619,,30,無,(110),無,無,yes
雲林縣土庫鎮立幼兒園興新分班,雲林縣,土庫鎮,公立,[633]新興44-1號,(05)6625105,,20,無,(110),無,無,yes
雲林縣私立青園幼兒園,雲林縣,土庫鎮,私立,[633]馬光路21巷16號,(05)6650377,,150,110-112,(110),無,無,yes
雲林縣私立欣欣幼兒園,雲林縣,土庫鎮,私立,[633]光明路206號,(05)6621997,,90,無,(110),無,無,yes
雲林縣私立正大幼兒園,雲林縣,土庫鎮,私立,[633]竹圍12之1號,(05)6626939,http://zhengda.topschool.com.tw/,150,110-112,(110),無,無,yes
雲林縣私立上島幼兒園,雲林縣,土庫鎮,私立,[633]仁和街11號,(05)6624287,,100,無,(110),無,無,yes
雲林縣褒忠鄉褒忠國民小學附設幼兒園,雲林縣,褒忠鄉,公立,[634]中勝路72號,(05)6972500,163.27.162.1,76,無,(110),無,無,yes
雲林縣潮厝華德福教育實驗國民小學附設幼兒園,雲林縣,褒忠鄉,公立,[634]96號,(05)6972644,http://chaur-tsuowaldorf.blogspot.com/?m=1,30,無,(110),無,無,yes
雲林縣褒忠鄉立幼兒園,雲林縣,褒忠鄉,公立,[634]中勝路72-2號,(05)6975483,,350,無,(110),無,無,yes
雲林縣私立童話世界幼兒園,雲林縣,褒忠鄉,私立,[634]龍岩路97之1號,(05)6975428,,89,110-112,(110),無,無,yes
雲林縣私立愛尼爾幼兒園,雲林縣,褒忠鄉,私立,[634]泰安路78號,(05)6977626,,120,110-112,(110),無,無,yes
雲林縣東勢鄉東勢國民小學附設幼兒園,雲林縣,東勢鄉,公立,[635]東榮路29巷9號,(05)6991036,,30,無,(110),無,無,yes
雲林縣東勢鄉立幼兒園,雲林縣,東勢鄉,公立,[635]中山路9號,(05)6995213,,180,無,(110),無,無,yes
