title,city,town,type,address,tel,url,count_approved,pre_public,is_free5,is_after,penalty,has_slip
金門縣金沙鎮金沙國民小學附設幼兒園,金門縣,金沙鎮,公立,[890]后浦頭117號,(082)352569#301,https://kses.km.edu.tw,120,無,(110),無,無,yes
金門縣金沙鎮何浦國民小學附設幼兒園,金門縣,金沙鎮,公立,[890]下塘頭39號,(082)352455#701,http://www.hpps.km.edu.tw/xoops/,60,無,(110),無,無,yes
金門縣金沙鎮安瀾國民小學附設幼兒園,金門縣,金沙鎮,公立,[890]碧山81號,(082)352861#68,http://web.alps.km.edu.tw/,60,無,(110),無,無,yes
金門縣金湖鎮多年國民小學附設幼兒園,金門縣,金沙鎮,公立,[890]環島東路4段600號,(082)332470,www.dnes.km.edu.tw,60,無,(110),無,無,yes
金門縣金沙鎮述美國民小學附設幼兒園,金門縣,金沙鎮,公立,[890]沙青路999號,(082)352860,http://www.smps.km.edu.tw,76,無,(110),無,無,yes
金門縣金湖鎮正義國民小學附設幼兒園,金門縣,金湖鎮,公立,[891]成功129號,(082)332734#26,www.jyps.km.edu.tw,60,無,(110),無,無,yes
金門縣金湖鎮開瑄國民小學附設幼兒園,金門縣,金湖鎮,公立,[891]9之1號,(082)335753#23,http://www.ksps.km.edut.w,90,無,(110),無,無,yes
金門縣金湖鎮柏村國民小學附設幼兒園,金門縣,金湖鎮,公立,[891]新塘10號,(082)332465#17,http://www.btps.km.edu.tw/,106,無,(110),無,無,yes
金門縣金湖鎮金湖國民小學附設幼兒園,金門縣,金湖鎮,公立,[891]林森路12號,(082)335979,,360,無,(110),無,無,yes
金門縣私立肯利熊優質幼兒園,金門縣,金湖鎮,私立,[891]塔后47-12號,(082)335570,,70,無,(110),無,無,yes
金門縣金寧鄉金鼎國民小學附設幼兒園,金門縣,金寧鄉,公立,[892]下堡123號,(082)325700#61,https://sites.google.com/view/jinding,180,無,(110),無,無,yes
金門縣金寧鄉古寧國民小學附設幼兒園,金門縣,金寧鄉,公立,[892]北山1號,(082)325750#52,,76,無,(110),無,無,yes
金門縣金寧鄉湖埔國民小學附設幼兒園,金門縣,金寧鄉,公立,[892]湖下196號,(082)326424#18,http://www.hbes.km.tw,120,無,(110),無,無,yes
金門縣立金寧國民中小學附設幼兒園,金門縣,金寧鄉,公立,[892]安岐1號,(082)322535#81,http://tw.class.uschoolnet.com/class/?csid=css000000236111,75,無,(110),無,無,yes
金門縣金城鎮賢庵國民小學附設幼兒園垵湖分班,金門縣,金寧鄉,公立,[892]后湖87號,(082)322941,,30,無,(110),無,無,yes
金門縣立金城幼兒園,金門縣,金城鎮,公立,[893]民生路38號,(082)325648#10,https://jcps.km.edu.tw/,570,無,(110),無,無,yes
金門縣金城鎮古城國民小學附設幼兒園,金門縣,金城鎮,公立,[893]大古崗100號,(082)325274#118,www.gcps.km.edu.tw,90,無,(110),無,無,yes
金門縣金城鎮古城國民小學附設幼兒園金水分班,金門縣,金城鎮,公立,[893]前水頭47號,(082)325274,http://www.gcps.km.edu.tw/,30,無,(110),無,無,yes
金門縣金城鎮賢庵國民小學附設幼兒園,金門縣,金城鎮,公立,[893]庵前18之2號,(082)325463,http://www.saps.km.edu.tw,90,無,(110),無,無,yes
金門縣私立小狀元幼兒園,金門縣,金城鎮,私立,[893]珠浦西路100巷1號,(082)311938,,36,無,(110),無,無,yes
金門縣私立寶貝園地幼兒園,金門縣,金城鎮,私立,[893]中興路205巷9號,(082)322178,金門縣金城鎮中興路205巷9號,114,110-112,(110),無,有,yes
金門縣私立成功幼兒園,金門縣,金城鎮,私立,[893]民族路266巷18號,(082)326065,,30,無,無,無,無,yes
金門縣私立雅韻藝術學苑幼兒園,金門縣,金城鎮,私立,[893]珠浦西路81、83、85號,(082)320467,,137,110-112,(110),有，人數：30,有,yes
金門縣私立羅伊頓幼兒園,金門縣,金城鎮,私立,[893]中環路212巷12弄2號,(082)373661,,60,110-112,(110),無,無,yes
金門縣烈嶼鄉西口國民小學附設幼兒園,金門縣,烈嶼鄉,公立,[894]西方69號,(082)362411#67,,60,無,(110),無,無,yes
金門縣烈嶼鄉上岐國民小學附設幼兒園,金門縣,烈嶼鄉,公立,[894]青岐123號,(082)362409#15,www.sces.km.edu.tw,60,無,(110),無,無,yes
金門縣烈嶼鄉卓環國民小學附設幼兒園,金門縣,烈嶼鄉,公立,[894]西路23號,(082)362124,www.jhes.km.edu.tw,75,無,(110),無,無,yes
