point,area,type,months,total1,total2,monthly1,monthly2
金門縣烈嶼鄉上岐國民小學附設幼兒園,烈嶼鄉,公立,8,117400,200,14675,25
金門縣私立寶貝園地幼兒園,金城鎮,準公共化,12,207648,18000,17304,1500
金門縣私立小狀元幼兒園,金城鎮,私立,12,178000,0,14833,0
金門縣私立成功幼兒園,金城鎮,私立,12,168000,0,14000,0
金門縣私立羅伊頓幼兒園,金城鎮,準公共化,12,240000,27600,20000,2300
金門縣私立肯利熊優質幼兒園,金湖鎮,私立,12,204000,0,17000,0
金門縣私立雅韻藝術學苑幼兒園,金城鎮,準公共化,12,192000,18000,16000,1500
金門縣立金寧國民中小學附設幼兒園,金寧鄉,公立,8,117400,200,14675,25
金門縣金城鎮古城國民小學附設幼兒園,金城鎮,公立,8,117400,200,14675,25
金門縣金寧鄉古寧國民小學附設幼兒園,金寧鄉,公立,8,117400,200,14675,25
金門縣金沙鎮述美國民小學附設幼兒園,金沙鎮,公立,8,117400,200,14675,25
金門縣金沙鎮金沙國民小學附設幼兒園,金沙鎮,公立,8,117400,200,14675,25
金門縣金湖鎮柏村國民小學附設幼兒園,金湖鎮,公立,8,117400,200,14675,25
