point,area,type,months,total1,total2,monthly1,monthly2
台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,新竹市,私立,12,300000,42000,25000,3500
國立新竹科學園區實驗高級中等學校附設幼兒園,新竹市,公立,10,73600,0,7360,0
國立清華大學附設實驗國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,新竹市,私立,8,666400,0,83300,0
新竹市北區北門國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市北區南寮國民小學附設幼兒園,新竹市,公立,10,73600,200,7360,20
新竹市北區民富國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市北區舊社國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市北區西門國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市北區載熙國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),新竹市,非營利,12,100188,0,8349,0
新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,新竹市,非營利,12,94368,0,7864,0
新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),新竹市,非營利,12,104100,0,8675,0
新竹市東區三民國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區建功國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區新竹國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區東園國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區東門國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區水源國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區竹蓮國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區關東國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區青草湖國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市東區龍山國民小學附設幼兒園,新竹市,公立,10,73600,0,7360,0
新竹市福林非營利幼兒園(委託社團法人新竹市教保人員協會辦理),新竹市,非營利,12,94560,0,7880,0
新竹市私立丹尼爾幼兒園,新竹市,私立,12,336000,48000,28000,4000
新竹市私立丹尼爾關東幼兒園,新竹市,私立,12,336000,48000,28000,4000
新竹市私立丹帝萊恩幼兒園,新竹市,私立,12,272000,60000,22667,5000
新竹市私立但以理幼兒園,新竹市,準公共化,12,326000,48000,27167,4000
新竹市私立何嘉仁東園幼兒園,新竹市,私立,12,400120,24000,33343,2000
新竹市私立佳佳大自然幼兒園,新竹市,準公共化,12,300000,24000,25000,2000
新竹市私立信義幼兒園,新竹市,私立,12,212000,0,17667,0
新竹市私立傑恩幼兒園,新竹市,私立,12,428200,100800,35683,8400
新竹市私立光復高級中學附設實驗幼兒園,新竹市,私立,12,336624,38400,28052,3200
新竹市私立加米幼兒園,新竹市,私立,10,278000,50000,27800,5000
新竹市私立勁寶兒向日葵幼兒園,新竹市,私立,12,384000,12000,32000,1000
新竹市私立南瓜田國際幼兒園,新竹市,私立,10,470000,60000,47000,6000
新竹市私立南瓜田幼兒園,新竹市,私立,10,450000,60000,45000,6000
新竹市私立博玉幼兒園,新竹市,私立,12,304000,0,25333,0
新竹市私立及幼幼兒園,新竹市,私立,12,363600,36000,30300,3000
新竹市私立史丹佛幼兒園,新竹市,私立,10,592000,0,59200,0
新竹市私立史丹佛竹科幼兒園,新竹市,私立,10,592000,0,59200,0
新竹市私立同信幼兒園,新竹市,私立,12,336000,72000,28000,6000
新竹市私立同心園幼兒園,新竹市,準公共化,12,242672,24000,20223,2000
新竹市私立喬太幼兒園,新竹市,準公共化,12,273568,9000,22797,750
新竹市私立喬治叔叔幼兒園,新竹市,私立,12,228000,0,19000,0
新竹市私立嘉德琳幼兒園,新竹市,私立,10,420000,30000,42000,3000
新竹市私立嘉德琳關埔幼兒園,新竹市,私立,10,500000,30000,50000,3000
新竹市私立園區幼兒園,新竹市,私立,12,314400,39600,26200,3300
新竹市私立園田嘉幼兒園,新竹市,私立,10,302000,0,30200,0
新竹市私立塏欣幼兒園,新竹市,私立,10,247284,10000,24728,1000
新竹市私立夏哲森幼兒園,新竹市,私立,10,490000,0,49000,0
新竹市私立夏綠蒂幼兒園,新竹市,私立,10,284000,44000,28400,4400
新竹市私立多傑幼兒園,新竹市,私立,12,288000,0,24000,0
新竹市私立大樹幼兒園,新竹市,準公共化,12,307520,42000,25627,3500
新竹市私立天仁幼兒園,新竹市,私立,12,233964,27600,19497,2300
新竹市私立天天幼兒園,新竹市,私立,12,240000,0,20000,0
新竹市私立天福幼兒園,新竹市,私立,10,318000,0,31800,0
新竹市私立奇德爾幼兒園,新竹市,準公共化,12,231504,18000,19292,1500
新竹市私立婕之寶幼兒園,新竹市,私立,12,332000,24000,27667,2000
新竹市私立孟格爾幼兒園,新竹市,準公共化,12,336000,18000,28000,1500
新竹市私立安地卡幼兒園,新竹市,私立,12,396400,26400,33033,2200
新竹市私立安琪園幼兒園,新竹市,私立,12,284000,0,23667,0
新竹市私立小小天地幼兒園,新竹市,私立,10,276000,0,27600,0
新竹市私立帝堡幼兒園,新竹市,準公共化,12,324000,50400,27000,4200
新竹市私立幼福幼兒園,新竹市,私立,10,206000,35000,20600,3500
新竹市私立延平幼兒園,新竹市,私立,10,382000,88000,38200,8800
新竹市私立弋果幼兒園,新竹市,私立,12,320000,108000,26667,9000
新竹市私立德溫幼兒園,新竹市,準公共化,12,311600,36000,25967,3000
