point,type,months,total,monthly
台灣基督長老教會淡江學校財團法人新北市私立淡江高級中學附設新北市私立純德幼兒園,私立,0,0,NAN
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,0,0,NAN
新北市三峽區三峽國民小學附設幼兒園,公立,0,0,NAN
新北市三峽區五寮國民小學附設幼兒園,公立,0,0,NAN
新北市三峽區介壽國民小學附設幼兒園,公立,0,0,NAN
新北市三峽區大埔國民小學附設幼兒園,公立,0,0,NAN
新北市三峽區建安國民小學附設幼兒園,公立,0,0,NAN
新北市三峽區插角國民小學附設幼兒園,公立,0,0,NAN
新北市三峽區民義國民小學附設幼兒園,公立,0,0,NAN
新北市三芝區興華國民小學附設幼兒園,公立,0,0,NAN
新北市三重區三重國民小學附設幼兒園,公立,0,0,NAN
新北市三重區二重國民小學附設幼兒園,公立,0,0,NAN
新北市三重區五華國民小學附設幼兒園,公立,0,0,NAN
新北市三重區修德國民小學附設幼兒園,公立,0,0,NAN
新北市三重區厚德國民小學附設幼兒園,公立,0,0,NAN
新北市三重區正義國民小學附設幼兒園,公立,0,0,NAN
新北市三重區永福國民小學附設幼兒園,公立,0,0,NAN
新北市三重區碧華國民小學附設幼兒園,公立,0,0,NAN
新北市三重區興穀國民小學附設幼兒園,公立,0,0,NAN
新北市三重區重陽國民小學附設幼兒園,公立,0,0,NAN
新北市三重區集美國民小學附設幼兒園,公立,0,0,NAN
新北市中和區復興國民小學附設幼兒園,公立,0,0,NAN
新北市中和區秀山國民小學附設幼兒園,公立,0,0,NAN
新北市中和區積穗國民小學附設幼兒園,公立,0,0,NAN
新北市中和區自強國民小學附設幼兒園,公立,0,0,NAN
新北市中平非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),非營利,0,0,NAN
新北市中正非營利幼兒園(委託財團法人三之三生命教育基金會辦理),非營利,0,0,NAN
新北市五股區德音國民小學附設幼兒園,公立,0,0,NAN
新北市五股區更寮國民小學附設幼兒園,公立,0,0,NAN
新北市土城區土城國民小學附設幼兒園,公立,0,0,NAN
新北市土城區樂利國民小學附設幼兒園,公立,0,0,NAN
新北市土城區清水國民小學附設幼兒園,公立,0,0,NAN
新北市土城區頂埔國民小學附設幼兒園,公立,0,0,NAN
新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),非營利,0,0,NAN
新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),非營利,0,0,NAN
新北市平溪區十分國民小學附設幼兒園,公立,0,0,NAN
新北市文仁非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),非營利,0,0,NAN
新北市文創非營利幼兒園(委託財團法人三之三生命教育基金會辦理),非營利,0,0,NAN
新北市新店區大豐國民小學附設幼兒園,公立,0,0,NAN
新北市新店區安坑國民小學附設幼兒園,公立,0,0,NAN
新北市新店區屈尺國民小學附設幼兒園,公立,0,0,NAN
新北市新店區直潭國民小學附設幼兒園,公立,0,0,NAN
新北市新店區雙城國民小學附設幼兒園,公立,0,0,NAN
新北市新店區雙峰國民小學附設幼兒園,公立,0,0,NAN
新北市新店區龜山國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區中信國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區丹鳳國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區光華國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區新莊國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區榮富國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區民安國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區興化國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區裕民國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區豐年國民小學附設幼兒園,公立,0,0,NAN
新北市新莊區頭前國民小學附設幼兒園,公立,0,0,NAN
新北市昌福非營利幼兒園(委託中華民國文教產業發展暨補習服務品保協會辦理),非營利,0,0,NAN
新北市板橋區中山國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區埔墘國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區大觀國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區後埔國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區文德國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區新埔國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區板橋國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區江翠國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區海山國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區溪洲國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區莒光國民小學附設幼兒園,公立,0,0,NAN
新北市板橋區重慶國民小學附設幼兒園,公立,0,0,NAN
新北市林口區南勢國民小學附設幼兒園,公立,0,0,NAN
新北市林口區嘉寶國民小學附設幼兒園,公立,0,0,NAN
新北市林口區林口國民小學附設幼兒園,公立,0,0,NAN
新北市林口區瑞平國民小學附設幼兒園,公立,0,0,NAN
新北市林口區興福國民小學附設幼兒園,公立,0,0,NAN
新北市林口區頭湖國民小學附設幼兒園,公立,0,0,NAN
新北市林口區麗林國民小學附設幼兒園,公立,0,0,NAN
新北市樹林區三多國民小學附設幼兒園,公立,0,0,NAN
新北市樹林區樹林國民小學附設幼兒園,公立,0,0,NAN
新北市樹林區育德國民小學附設幼兒園,公立,0,0,NAN
新北市樹林區育林國民小學附設幼兒園,公立,0,0,NAN
