point,area,type,months,total1,total2,monthly1,monthly2
功學社教育用品股份有限公司附設新北市私立燕翔幼兒園,蘆洲區,私立,12,354800,0,29567,0
南山學校財團法人新北市南山高級中學附設私立員工幼兒園,中和區,私立,10,404000,0,40400,0
台灣基督長老教會淡江學校財團法人新北市私立淡江高級中學附設新北市私立純德幼兒園,淡水區,私立,12,301600,19200,25133,1600
天主教耕莘醫療財團法人附設新北市私立永和耕莘幼兒園,永和區,私立,12,360000,24000,30000,2000
天億文教事業股份有限公司附設新北市私立皇家幼兒園,新莊區,私立,12,348800,0,29067,0
奇異林股份有限公司附設新北市私立奇異鳥麗林幼兒園,林口區,私立,12,624000,36000,52000,3000
寶寶潛能開發股份有限公司附設新北市私立奇異鳥蘆洲幼兒園,蘆洲區,私立,12,624000,36000,52000,3000
小太陽教育事業股份有限公司附設新北市私立小太陽美學幼兒園,永和區,私立,12,416800,45600,34733,3800
康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒園,新店區,私立,12,831200,60000,69267,5000
康軒文教事業股份有限公司附設新北市私立員工幼兒園,新店區,私立,12,748800,0,62400,0
建豐建設股份有限公司附設新北市私立卡爾維德幼兒園,新莊區,私立,12,262000,0,21833,0
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),樹林區,非營利,12,99972,0,8331,0
新北市三峽區三峽國民小學附設幼兒園,三峽區,公立,8,66700,200,8338,25
新北市三峽區五寮國民小學附設幼兒園,三峽區,公立,8,66700,200,8338,25
新北市三峽區介壽國民小學附設幼兒園,三峽區,公立,8,66700,200,8338,25
新北市三峽區大埔國民小學附設幼兒園,三峽區,公立,8,66700,200,8338,25
新北市三峽區建安國民小學附設幼兒園,三峽區,公立,8,66700,200,8338,25
新北市三峽區插角國民小學附設幼兒園,三峽區,公立,8,68500,200,8563,25
新北市三峽區民義國民小學附設幼兒園,三峽區,公立,8,66700,200,8338,25
新北市三峽區農會附設新北市私立幼兒園,三峽區,私立,12,240800,36000,20067,3000
新北市三芝區三芝國民小學附設幼兒園,三芝區,公立,8,66700,200,8338,25
新北市三芝區興華國民小學附設幼兒園,三芝區,公立,8,66700,200,8338,25
新北市三重區三光國民小學附設幼兒園,三重區,公立,8,66700,200,8338,25
新北市三重區三重國民小學附設幼兒園,三重區,公立,8,66700,200,8338,25
新北市三重區二重國民小學附設幼兒園,三重區,公立,8,66700,200,8338,25
新北市三重區五華國民小學附設幼兒園,三重區,公立,8,66700,200,8338,25
新北市三重區修德國民小學附設幼兒園,三重區,公立,8,66700,200,8338,25
新北市三重區光榮國民小學附設幼兒園,三重區,公立,8,66700,0,8338,0
