point,area,type,months,total,monthly
功學社教育用品股份有限公司附設新北市私立燕翔幼兒園,蘆洲區,私立,12,171880,14323
南山學校財團法人新北市南山高級中學附設私立員工幼兒園,中和區,私立,10,136000,13600
台灣基督長老教會淡江學校財團法人新北市私立淡江高級中學附設新北市私立純德幼兒園,淡水區,私立,10,144500,14450
天主教耕莘醫療財團法人附設新北市私立永和耕莘幼兒園,永和區,私立,12,180000,15000
天億文教事業股份有限公司附設新北市私立皇家幼兒園,新莊區,私立,12,100000,8333
奇異林股份有限公司附設新北市私立奇異鳥麗林幼兒園,林口區,私立,12,282000,23500
小太陽教育事業股份有限公司附設新北市私立小太陽美學幼兒園,永和區,私立,12,177200,14767
康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒園,新店區,私立,12,208000,17333
康軒文教事業股份有限公司附設新北市私立員工幼兒園,新店區,私立,12,313320,26110
建豐建設股份有限公司附設新北市私立卡爾維德幼兒園,新莊區,私立,12,131000,10917
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),樹林區,非營利,12,99972,8331
新北市三峽區三峽國民小學附設幼兒園,三峽區,公立,8,33550,4194
新北市三峽區五寮國民小學附設幼兒園,三峽區,公立,8,33550,4194
新北市三峽區介壽國民小學附設幼兒園,三峽區,公立,8,33550,4194
新北市三峽區大埔國民小學附設幼兒園,三峽區,公立,8,33550,4194
新北市三峽區建安國民小學附設幼兒園,三峽區,公立,8,33550,4194
新北市三峽區插角國民小學附設幼兒園,三峽區,公立,8,34450,4306
新北市三峽區民義國民小學附設幼兒園,三峽區,公立,8,33550,4194
新北市三峽區農會附設新北市私立幼兒園,三峽區,私立,12,144000,12000
新北市三芝區三芝國民小學附設幼兒園,三芝區,公立,8,33550,4194
新北市三芝區興華國民小學附設幼兒園,三芝區,公立,8,33550,4194
新北市三重區三光國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區三重國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區二重國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區五華國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區修德國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區光榮國民小學附設幼兒園,三重區,公立,8,33350,4169
新北市三重區光興國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區厚德國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區正義國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區永福國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區碧華國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區興穀國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區重陽國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市三重區集美國民小學附設幼兒園,三重區,公立,8,33550,4194
新北市中和區中和國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區光復國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區復興國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區景新國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區秀山國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區積穗國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區自強國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區興南國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中和區錦和國民小學附設幼兒園,中和區,公立,8,33550,4194
新北市中園非營利幼兒園(委託財團法人成長文教基金會辦理),三峽區,非營利,12,93768,7814
新北市中平非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),新莊區,非營利,12,91836,7653
新北市中正非營利幼兒園(委託財團法人三之三生命教育基金會辦理),土城區,非營利,12,109308,9109
新北市五股區五股國民小學附設幼兒園,五股區,公立,8,33550,4194
新北市五股區德音國民小學附設幼兒園,五股區,公立,8,33550,4194
新北市五股區成州國民小學附設幼兒園,五股區,公立,8,33550,4194
新北市五股區更寮國民小學附設幼兒園,五股區,公立,8,33550,4194
新北市八里區八里國民小學附設幼兒園,八里區,公立,8,33550,4194
新北市八里區大崁國民小學附設幼兒園,八里區,公立,8,33550,4194
新北市土城區土城國民小學附設幼兒園,土城區,公立,8,33550,4194
新北市土城區安和國民小學附設幼兒園,土城區,公立,8,33550,4194
新北市土城區廣福國民小學附設幼兒園,土城區,公立,8,33550,4194
新北市土城區樂利國民小學附設幼兒園,土城區,公立,8,33550,4194
新北市土城區清水國民小學附設幼兒園,土城區,公立,8,33550,4194
新北市土城區頂埔國民小學附設幼兒園,土城區,公立,8,33550,4194
新北市坪林區坪林國民小學附設幼兒園,坪林區,公立,8,20050,2506
新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),板橋區,非營利,12,99744,8312
新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),三峽區,非營利,12,111864,9322
新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),新店區,非營利,12,108684,9057
新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,中和區,非營利,12,112224,9352
新北市平溪區十分國民小學附設幼兒園,平溪區,公立,8,33550,4194
新北市平溪區平溪國民小學附設幼兒園,平溪區,公立,8,33550,4194
新北市平溪區菁桐國民小學附設幼兒園,平溪區,公立,8,33550,4194
新北市文仁非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),林口區,非營利,12,113100,9425
新北市文創非營利幼兒園(委託財團法人三之三生命教育基金會辦理),林口區,非營利,12,113688,9474
新北市新店區中正國民小學附設幼兒園,新店區,公立,8,33350,4169
新北市新店區北新國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區大豐國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區安坑國民小學附設幼兒園,新店區,公立,8,35980,4498
新北市新店區屈尺國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區新和國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區新店國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區直潭國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區雙城國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區雙峰國民小學附設幼兒園,新店區,公立,8,34450,4306
新北市新店區青潭國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新店區龜山國民小學附設幼兒園,新店區,公立,8,33550,4194
新北市新月非營利幼兒園(委託財團法人彭婉如文教基金會辦理),板橋區,非營利,12,90156,7513
新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),林口區,非營利,12,94908,7909
新北市新莊區中信國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區中港國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區丹鳳國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區光華國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區國泰國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區思賢國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區新泰國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區新莊國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區昌隆國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區榮富國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區民安國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區興化國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區裕民國民小學附設幼兒園,新莊區,公立,8,33450,4181
新北市新莊區豐年國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市新莊區頭前國民小學附設幼兒園,新莊區,公立,8,33550,4194
新北市昌福非營利幼兒園(委託中華民國文教產業發展暨補習服務品保協會辦理),鶯歌區,非營利,12,99972,8331
新北市板橋區中山國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區信義國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區國光國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區埔墘國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區大觀國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區實踐國民小學附設幼兒園,板橋區,公立,8,33350,4169
新北市板橋區後埔國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區文德國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區文聖國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區新埔國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區板橋國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區江翠國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區沙崙國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區海山國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區溪洲國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區莒光國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市板橋區重慶國民小學附設幼兒園,板橋區,公立,8,33550,4194
新北市林口區南勢國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區嘉寶國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區林口國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區瑞平國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區興福國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區頭湖國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區麗園國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市林口區麗林國民小學附設幼兒園,林口區,公立,8,33550,4194
新北市柏翠非營利幼兒園(委託財團法人心路社會福利基金會辦理),板橋區,非營利,12,91020,7585
新北市樹林區三多國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區大同國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區山佳國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區彭福國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區文林國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區樹林國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區武林國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區育德國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市樹林區育林國民小學附設幼兒園,樹林區,公立,8,33550,4194
新北市永和區永和國民小學附設幼兒園,永和區,公立,8,33550,4194
新北市永和區永平國民小學附設幼兒園,永和區,公立,8,33550,4194
新北市永和區秀朗國民小學附設幼兒園,永和區,公立,8,33550,4194
新北市永和區網溪國民小學附設幼兒園,永和區,公立,8,33550,4194
新北市永和區頂溪國民小學附設幼兒園,永和區,公立,8,33550,4194
新北市汐止區保長國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區北峰國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區北港國民小學附設幼兒園,汐止區,公立,8,33350,4169
新北市汐止區崇德國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區樟樹國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區汐止國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區白雲國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區秀峰國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區農會附設新北市私立汐農幼兒園,汐止區,準公共化,12,81276,6773
新北市汐止區金龍國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市汐止區長安國民小學附設幼兒園,汐止區,公立,8,33550,4194
新北市泰山區同榮國民小學附設幼兒園,泰山區,公立,8,33550,4194
新北市泰山區明志國民小學附設幼兒園,泰山區,公立,8,33550,4194
新北市泰山區泰山國民小學附設幼兒園,泰山區,公立,8,33550,4194
新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理),土城區,非營利,12,103572,8631
新北市淡水區中泰國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區坪頂國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區天生國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區屯山國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區文化國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區新市國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區新興國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區水源國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區淡水國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區竹圍國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區育英國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區興仁國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市淡水區鄧公國民小學附設幼兒園,淡水區,公立,8,33550,4194
新北市深坑區深坑國民小學附設幼兒園,深坑區,公立,8,33550,4194
新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理),三峽區,非營利,12,116880,9740
新北市烏來區福山國民小學附設幼兒園,烏來區,公立,8,33550,4194
新北市瑞芳區九份國民小學附設幼兒園,瑞芳區,公立,8,36250,4531
新北市瑞芳區吉慶國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區濂洞國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區猴硐國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區瑞亭國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區瑞柑國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區瑞濱國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區瑞芳國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區瓜山國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區義方國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市瑞芳區鼻頭國民小學附設幼兒園,瑞芳區,公立,8,33550,4194
新北市石碇區和平國民小學附設幼兒園,石碇區,公立,8,33550,4194
新北市石碇區永定國民小學附設幼兒園,石碇區,公立,8,33550,4194
新北市石碇區石碇國民小學附設幼兒園,石碇區,公立,8,33550,4194
新北市石門區乾華國民小學附設幼兒園,石門區,公立,8,33350,4169
新北市石門區石門國民小學附設幼兒園,石門區,公立,8,33550,4194
新北市石門區老梅國民小學附設幼兒園,石門區,公立,8,33550,4194
新北市福營非營利幼兒園(委託社團法人中華兆陽文教發展協會辦理),新莊區,非營利,12,101316,8443
新北市私立七賢幼兒園,永和區,私立,12,146000,12167
新北市私立三之三幼兒園,新店區,私立,12,172800,14400
新北市私立三元幼兒園,板橋區,私立,12,206400,17200
新北市私立三和幼兒園,三重區,私立,12,178800,14900
新北市私立三愛幼兒園,新店區,私立,12,106800,8900
新北市私立三暉幼兒園,永和區,私立,10,149600,14960
新北市私立三民幼兒園,新店區,私立,12,198000,16500
新北市私立三重忠孝幼兒園,三重區,私立,12,149440,12453
新北市私立上綸幼兒園,三重區,私立,12,120000,10000
新北市私立中中幼兒園,永和區,準公共化,12,129852,10821
新北市私立中仁幼兒園,中和區,私立,10,120600,12060
新北市私立中和松柏幼兒園,中和區,私立,10,125000,12500
新北市私立中華兒童幼兒園,蘆洲區,準公共化,12,106660,8888
新北市私立丹力幼兒園,三重區,私立,10,179700,17970
新北市私立丹妮爾幼兒園,土城區,私立,12,105400,8783
新北市私立互仁幼兒園,新莊區,私立,12,104400,8700
新北市私立亞特幼兒園,板橋區,準公共化,12,121948,10162
新北市私立京揚幼兒園,土城區,私立,10,149000,14900
新北市私立人文幼兒園,八里區,私立,12,118000,9833
新北市私立仁愛幼兒園,泰山區,私立,12,178800,14900
新北市私立仁慈幼兒園,三重區,準公共化,12,129000,10750
新北市私立今人園幼兒園,蘆洲區,私立,10,136000,13600
新北市私立今仁幼兒園,板橋區,私立,12,58000,4833
新北市私立企鵝家族幼兒園,樹林區,私立,12,126000,10500
新北市私立休士頓幼兒園,土城區,私立,10,151000,15100
新北市私立何嘉仁幼兒園,新莊區,私立,12,194410,16201
新北市私立何嘉仁得和幼兒園,永和區,私立,12,204810,17068
新北市私立何嘉仁昌隆幼兒園,新莊區,私立,12,190010,15834
新北市私立佩思幼兒園,三峽區,私立,12,221008,18417
新北市私立佳佳安幼兒園,蘆洲區,準公共化,12,134940,11245
新北市私立佳佳安長榮幼兒園,蘆洲區,私立,12,140000,11667
新北市私立佳兒幼兒園,三峽區,私立,12,139440,11620
新北市私立佳南幼兒園,中和區,私立,12,199200,16600
新北市私立佳呈幼兒園,林口區,私立,12,312600,26050
新北市私立佳思美幼兒園,蘆洲區,私立,12,102000,8500
新北市私立佳恩幼兒園,新店區,準公共化,12,109992,9166
新北市私立佳欣中正幼兒園,新店區,私立,12,144400,12033
新北市私立佳欣北新幼兒園,新店區,私立,12,144400,12033
新北市私立佳欣幼兒園,新店區,私立,12,144400,12033
新北市私立佳盈幼兒園,汐止區,私立,12,165600,13800
新北市私立佳辰幼兒園,蘆洲區,私立,12,127600,10633
新北市私立來來幼兒園,三重區,私立,12,185200,15433
新北市私立來得幼兒園,蘆洲區,準公共化,12,126624,10552
新北市私立俏媽咪幼兒園,新店區,私立,12,176470,14706
新北市私立偉仁幼兒園,板橋區,私立,12,157380,13115
新北市私立偉恩幼兒園,中和區,私立,12,126000,10500
新北市私立健群幼兒園,新莊區,私立,12,123600,10300
新北市私立傑出幼兒園,新莊區,準公共化,12,110400,9200
新北市私立傑安幼兒園,新莊區,準公共化,12,129000,10750
新北市私立傑瑞兒童村幼兒園,新莊區,私立,12,159600,13300
新北市私立傳動幼兒園,永和區,私立,12,118000,9833
新北市私立僑治亞幼兒園,新莊區,私立,12,132000,11000
新北市私立僑治亞幼兒園中港分班,新莊區,私立,12,132000,11000
新北市私立僑治亞頭前幼兒園,新莊區,私立,12,147840,12320
新北市私立儒林幼兒園,新莊區,私立,10,106200,10620
新北市私立優兒幼兒園,板橋區,私立,12,105996,8833
新北市私立優時代幼兒園,新店區,私立,12,259200,21600
新北市私立優貝兒幼兒園,板橋區,準公共化,12,126220,10518
新北市私立優質幼兒園,五股區,私立,12,77400,6450
新北市私立兆元幼兒園,中和區,私立,12,133000,11083
新北市私立光星幼兒園,板橋區,私立,12,153600,12800
新北市私立光華幼兒園,蘆洲區,私立,12,95600,7967
新北市私立兒童天地幼兒園,三重區,準公共化,12,133500,11125
新北市私立兜群育資優幼兒園,蘆洲區,私立,12,138480,11540
新北市私立全國幼兒園,蘆洲區,準公共化,12,152000,12667
新北市私立全球幼兒園,土城區,私立,12,102000,8500
新北市私立全能愛彌兒板橋幼兒園,板橋區,準公共化,12,139200,11600
新北市私立全能愛彌兒板橋幼兒園永豐分班,板橋區,準公共化,12,139200,11600
新北市私立冠軍幼兒園,樹林區,準公共化,12,118812,9901
新北市私立凱思莉幼兒園,板橋區,私立,12,150000,12500
新北市私立凱怡幼兒園,五股區,私立,12,151272,12606
新北市私立凱撒琳幼兒園,新店區,私立,12,179880,14990
新北市私立凱文幼兒園,蘆洲區,準公共化,12,139964,11664
新北市私立凱樂幼兒園,土城區,私立,12,132000,11000
新北市私立凱樂蒂幼兒園,淡水區,私立,12,129200,10767
新北市私立凱達格蘭幼兒園,新莊區,準公共化,12,118560,9880
新北市私立創意蘋果幼兒園,中和區,私立,12,136000,11333
新北市私立劍橋幼兒園,蘆洲區,私立,10,131500,13150
新北市私立劍聲幼兒園,新店區,私立,12,206000,17167
新北市私立劍聲樹林幼兒園,樹林區,私立,12,154000,12833
新北市私立力品幼兒園,板橋區,準公共化,12,94652,7888
新北市私立加州森林國際幼兒園,三重區,私立,10,213000,21300
新北市私立勁寶兒晨星園幼兒園,新莊區,私立,12,180000,15000
新北市私立勁寶兒林口幼兒園,林口區,私立,12,198000,16500
新北市私立勁寶兒長樂幼兒園,蘆洲區,私立,12,192000,16000
新北市私立勝利幼兒園,中和區,私立,12,132000,11000
新北市私立勵輝國際幼兒園,新莊區,私立,12,129800,10817
新北市私立勵輝幼兒園,新莊區,私立,12,129800,10817
新北市私立北大幼兒園,三峽區,私立,12,90000,7500
新北市私立北大心世紀幼兒園,樹林區,私立,12,151600,12633
新北市私立北大迦美幼兒園,樹林區,私立,12,160000,13333
新北市私立北極星幼兒園,土城區,私立,12,153600,12800
新北市私立千愛幼兒園,林口區,私立,12,133000,11083
新北市私立千暉幼兒園,新莊區,私立,12,176000,14667
新北市私立卓越幼兒園,淡水區,私立,12,176400,14700
新北市私立南蒂亞幼兒園,林口區,私立,10,163400,16340
新北市私立博士兒幼兒園,淡水區,私立,12,96800,8067
新北市私立博智幼兒園,樹林區,準公共化,12,90252,7521
新北市私立博聖幼兒園,蘆洲區,準公共化,12,80020,6668
新北市私立卡兒堡幼兒園,永和區,私立,12,197000,16417
新北市私立卡爾威特幼兒園,板橋區,私立,12,162000,13500
新北市私立卡爾斯登幼兒園,板橋區,私立,12,102300,8525
新北市私立及人幼兒園,新莊區,準公共化,12,124032,10336
新北市私立及仁幼兒園,鶯歌區,私立,10,105500,10550
新北市私立及幼幼兒園,泰山區,私立,12,136000,11333
新北市私立古典幼兒園,板橋區,準公共化,12,223500,18625
新北市私立可爾威德幼兒園,淡水區,私立,12,194580,16215
新北市私立台大幼兒園,板橋區,私立,12,136000,11333
新北市私立史丹力幼兒園,蘆洲區,私立,10,144100,14410
新北市私立史丹福幼兒園,土城區,私立,10,81400,8140
新北市私立合安幼兒園,永和區,準公共化,12,135120,11260
新北市私立吉優幼兒園,汐止區,私立,12,217200,18100
新北市私立吉尼爾幼兒園,新莊區,私立,12,100000,8333
新北市私立吉德幼兒園,三重區,私立,12,148200,12350
新北市私立吉恩幼兒園,土城區,私立,12,114000,9500
新北市私立吉智幼兒園,板橋區,私立,12,123000,10250
新北市私立吉的堡佳樂幼兒園,永和區,私立,12,127200,10600
新北市私立吉的堡北馨園幼兒園,淡水區,私立,12,192000,16000
新北市私立吉的堡南雅幼兒園,板橋區,私立,12,195600,16300
新北市私立吉的堡英群幼兒園,三重區,私立,12,252400,21033
新北市私立吉的堡英資幼兒園,三重區,私立,12,224800,18733
新北市私立名亮幼兒園,土城區,私立,12,132000,11000
新北市私立名人幼兒園,樹林區,準公共化,12,138000,11500
新北市私立名欣幼兒園,樹林區,私立,12,114000,9500
新北市私立向日園幼兒園,新店區,私立,12,152000,12667
新北市私立向日葵幼兒園,汐止區,準公共化,12,135840,11320
新北市私立向詮幼兒園,蘆洲區,私立,12,71000,5917
新北市私立君格綠園道幼兒園,汐止區,私立,12,152004,12667
新北市私立和平幼兒園,板橋區,私立,10,147264,14726
新北市私立和智幼兒園,新莊區,私立,12,142560,11880
新北市私立哈佛園幼兒園,三重區,私立,12,108000,9000
新北市私立哈寶寶幼兒園,汐止區,私立,12,121000,10083
新北市私立唯寶幼兒園,淡水區,私立,12,72480,6040
新北市私立唯爾幼兒園,汐止區,私立,12,144000,12000
新北市私立啟文幼兒園,三重區,私立,12,136200,11350
新北市私立啟育幼兒園,三峽區,私立,12,144450,12038
新北市私立啟蒙幼兒園,淡水區,私立,12,144000,12000
新北市私立喜星園幼兒園,三重區,私立,12,216000,18000
新北市私立喬一幼兒園,板橋區,私立,10,149000,14900
新北市私立喬中幼兒園,樹林區,私立,12,180840,15070
新北市私立喬大幼兒園,三重區,私立,12,102000,8500
新北市私立喬安幼兒園,泰山區,私立,12,180840,15070
新北市私立喬幼光明幼兒園,板橋區,私立,10,177800,17780
新北市私立喬幼國際幼兒園,永和區,私立,10,149000,14900
新北市私立喬幼幼兒園,板橋區,私立,10,145300,14530
新北市私立喬心幼兒園,板橋區,私立,10,127000,12700
新北市私立喬治亞幼兒園,板橋區,私立,12,192000,16000
新北市私立喬聖幼兒園,新莊區,私立,12,180840,15070
新北市私立嘉嘉幼兒園,中和區,私立,12,196810,16401
新北市私立嘉府幼兒園,土城區,私立,12,180010,15001
新北市私立嘉慶幼兒園,新店區,私立,12,188810,15734
新北市私立嘉樂幼兒園,永和區,私立,12,153600,12800
新北市私立嘉煌幼兒園,中和區,私立,12,197840,16487
新北市私立嘉瑄幼兒園,新店區,準公共化,12,93592,7799
新北市私立嘉盛幼兒園,板橋區,私立,12,189100,15758
新北市私立嘉穎幼兒園,板橋區,私立,12,252730,21061
新北市私立嘉維幼兒園,汐止區,私立,12,185950,15496
新北市私立國儷幼兒園,板橋區,私立,12,132000,11000
新北市私立國園幼兒園,蘆洲區,私立,12,164000,13667
新北市私立國花幼兒園,淡水區,私立,12,164000,13667
新北市私立圓心坊幼兒園,板橋區,私立,12,142000,11833
新北市私立土城名仁幼兒園,土城區,準公共化,12,126000,10500
新北市私立土城育全幼兒園,土城區,私立,12,136080,11340
新北市私立土農幼兒園,土城區,私立,12,121600,10133
新北市私立培幼幼兒園,土城區,私立,12,130000,10833
新北市私立培揚幼兒園,板橋區,私立,12,138000,11500
