point,type,months,total,monthly
國立屏東大學附設實驗國民小學附設幼兒園,公立,0,0,NAN
屏東縣三地門鄉口社國民小學附設幼兒園,公立,0,0,NAN
屏東縣三地門鄉地磨兒國民小學附設幼兒園,公立,0,0,NAN
屏東縣三地門鄉賽嘉國民小學附設幼兒園,公立,0,0,NAN
屏東縣三地門鄉青山國民小學附設幼兒園,公立,0,0,NAN
屏東縣三地門鄉青葉國民小學附設幼兒園,公立,0,0,NAN
屏東縣九如鄉九如國民小學附設幼兒園,公立,0,0,NAN
屏東縣九如鄉後庄國民小學附設幼兒園,公立,0,0,NAN
屏東縣佳冬鄉佳冬國民小學附設幼兒園,公立,0,0,NAN
屏東縣佳冬鄉塭子國民小學附設幼兒園,公立,0,0,NAN
屏東縣來義鄉來義國民小學附設幼兒園,公立,0,0,NAN
屏東縣來義鄉南和國民小學附設幼兒園,公立,0,0,NAN
屏東縣來義鄉古樓國民小學附設幼兒園,公立,0,0,NAN
屏東縣來義鄉文樂國民小學附設幼兒園,公立,0,0,NAN
屏東縣來義鄉望嘉國民小學附設幼兒園,公立,0,0,NAN
屏東縣信義非營利幼兒園(委託財團法人大仁科技大學設立之大仁科技大學辦理),非營利,0,0,NAN
屏東縣內埔鄉僑智國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉崇文國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉新生國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉東勢國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉東寧國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉榮華國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉泰安國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉豐田國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉隘寮國民小學附設幼兒園,公立,0,0,NAN
屏東縣內埔鄉黎明國民小學附設幼兒園,公立,0,0,NAN
屏東縣南州鄉南州國民小學附設幼兒園,公立,0,0,NAN
屏東縣南州鄉溪北國民小學附設幼兒園,公立,0,0,NAN
屏東縣四維非營利幼兒園(委託社團法人台灣公共托育協會辦理)新興分班,非營利,0,0,NAN
屏東縣屏東市仁愛國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市公館國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市凌雲國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市前進國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市勝利國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市唐榮國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市大同國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市建國國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市民和國民小學附設幼兒園,公立,0,0,NAN
屏東縣屏東市民生國民小學附設幼兒園,公立,0,0,NAN
屏東縣崁頂鄉港東國民小學附設幼兒園,公立,0,0,NAN
屏東縣崁頂鄉立幼兒園,公立,0,0,NAN
屏東縣建興非營利幼兒園(委託社團法人屏東縣宥薰教育協會辦理),非營利,0,0,NAN
屏東縣恆春鎮僑勇國民小學附設幼兒園,公立,0,0,NAN
屏東縣恆春鎮墾丁國民小學附設幼兒園,公立,0,0,NAN
屏東縣恆春鎮恆春國民小學附設幼兒園,公立,0,0,NAN
屏東縣恆春鎮水泉國民小學附設幼兒園,公立,0,0,NAN
屏東縣新園鄉港西國民小學附設幼兒園,公立,0,0,NAN
屏東縣新園鄉烏龍國民小學附設幼兒園,公立,0,0,NAN
屏東縣新園鄉瓦磘國民小學附設幼兒園,公立,0,0,NAN
屏東縣新園鄉鹽洲國民小學附設幼兒園,公立,0,0,NAN
屏東縣新埤鄉新埤國民小學附設幼兒園,公立,0,0,NAN
屏東縣春日鄉力里國民小學附設幼兒園,公立,0,0,NAN
屏東縣春日鄉春日國民小學附設幼兒園,公立,0,0,NAN
屏東縣春日鄉立幼兒園,公立,0,0,NAN
屏東縣春日鄉立幼兒園古華分班,公立,0,0,NAN
屏東縣東港鎮以栗國民小學附設幼兒園,公立,0,0,NAN
屏東縣東港鎮大潭國民小學附設幼兒園,公立,0,0,NAN
屏東縣東港鎮東光國民小學附設幼兒園,公立,0,0,NAN
屏東縣東港鎮東港國民小學附設幼兒園,公立,0,0,NAN
屏東縣枋寮鄉僑德國民小學附設幼兒園,公立,0,0,NAN
屏東縣枋寮鄉東海國民小學附設幼兒園,公立,0,0,NAN
屏東縣枋山鄉楓港國民小學附設幼兒園,公立,0,0,NAN
屏東縣枋山鄉立幼兒園,公立,0,0,NAN
屏東縣枋山鄉立幼兒園加祿分班,公立,0,0,NAN
屏東縣枋山鄉立幼兒園枋山分班,公立,0,0,NAN
屏東縣枋山鄉立幼兒園楓港分班,公立,0,0,NAN
屏東縣林邊鄉崎峰國民小學附設幼兒園,公立,0,0,NAN
屏東縣林邊鄉竹林國民小學附設幼兒園,公立,0,0,NAN
屏東縣泰武鄉武潭國民小學附設幼兒園,公立,0,0,NAN
屏東縣泰武鄉武潭國民小學附設幼兒園佳平分班,公立,0,0,NAN
屏東縣泰武鄉立幼兒園萬安分班,公立,0,0,NAN
屏東縣泰武鄉萬安國民小學附設幼兒園,公立,0,0,NAN
