point,area,type,months,total,monthly
澎湖縣七美鄉七美國民小學附設幼兒園,七美鄉,公立,8,27770,3471
澎湖縣望安鄉將軍國民小學附設幼兒園,望安鄉,公立,9,29395,3266
澎湖縣望安鄉望安國民小學附設幼兒園,望安鄉,公立,9,27970,3108
澎湖縣望安鄉花嶼國民小學附設幼兒園,望安鄉,公立,8,27370,3421
澎湖縣湖西鄉沙港國民小學附設幼兒園,湖西鄉,公立,9,28070,3119
澎湖縣湖西鄉湖西國民小學附設幼兒園,湖西鄉,公立,9,28070,3119
澎湖縣湖西鄉立幼兒園,湖西鄉,公立,10,32800,3280
澎湖縣湖西鄉隘門國民小學附設幼兒園,湖西鄉,公立,9,26720,2969
澎湖縣白沙鄉吉貝國民小學附設幼兒園,白沙鄉,公立,9,34070,3786
澎湖縣白沙鄉立幼兒園,白沙鄉,公立,9,34075,3786
澎湖縣白沙鄉立幼兒園吉貝分班,白沙鄉,公立,9,34075,3786
澎湖縣白沙鄉赤崁國民小學附設幼兒園,白沙鄉,公立,9,28070,3119
澎湖縣白沙鄉鳥嶼國民小學附設幼兒園,白沙鄉,公立,9,27250,3028
澎湖縣私立明圓幼兒園,馬公市,準公共化,12,108000,9000
澎湖縣私立明穗幼兒園,馬公市,私立,12,121200,10100
澎湖縣私立耕讀幼兒園,馬公市,私立,12,96800,8067
澎湖縣私立至美幼兒園,馬公市,私立,12,144000,12000
澎湖縣私立馬幼幼兒園,馬公市,私立,12,99600,8300
澎湖縣西嶼鄉池東國民小學附設幼兒園,西嶼鄉,公立,9,28270,3141
澎湖縣西嶼鄉立幼兒園,西嶼鄉,公立,10,23800,2380
澎湖縣西嶼鄉立幼兒園竹灣分班,西嶼鄉,公立,10,23800,2380
澎湖縣馬公市中正國民小學附設幼兒園,馬公市,公立,9,27550,3061
澎湖縣馬公市中興國民小學附設幼兒園,馬公市,公立,9,28070,3119
澎湖縣馬公市立幼兒園,馬公市,公立,10,44500,4450
澎湖縣馬公市立幼兒園東衛分班,馬公市,公立,10,44500,4450
澎湖縣馬公市立幼兒園澎南分班,馬公市,公立,10,44500,4450
澎湖縣馬公市馬公國民小學附設幼兒園,馬公市,公立,9,27750,3083
