point,area,type,months,total1,total2,monthly1,monthly2
台灣中油苗栗區福利分會附設苗栗縣私立中油幼兒園,苗栗市,私立,10,58200,0,5820,0
廣亞學校財團法人育達科技大學附設苗栗縣私立廣秀森林幼兒園,造橋鄉,私立,12,174000,0,14500,0
苗栗縣三灣鄉三灣國民小學附設幼兒園,三灣鄉,公立,8,30900,0,3863,0
苗栗縣三灣鄉立幼兒園,三灣鄉,公立,12,36800,0,3067,0
苗栗縣三義鄉僑成國民小學附設幼兒園,三義鄉,公立,8,30900,200,3863,25
苗栗縣三義鄉建中國民小學附設幼兒園,三義鄉,公立,8,28000,200,3500,25
苗栗縣三義鄉育英國民小學附設幼兒園,三義鄉,公立,8,30900,200,3863,25
苗栗縣三義鄉鯉魚國民小學附設幼兒園,三義鄉,公立,8,30000,200,3750,25
苗栗縣中正非營利幼兒園（委託中州學校財團法人設立之中州學校財團法人中州科技大學辦理）,苑裡鎮,非營利,12,98892,0,8241,0
苗栗縣五穀非營利幼兒園（委託財團法人伊甸社會福利基金會辦理）,公館鄉,非營利,12,99840,0,8320,0
苗栗縣僑善非營利幼兒園（委託財團法人福榮融合教育推廣基金會辦理）,頭份市,非營利,12,99840,0,8320,0
苗栗縣公館鄉仁愛國民小學附設幼兒園,公館鄉,公立,8,30900,200,3863,25
苗栗縣公館鄉公館國民小學附設幼兒園,公館鄉,公立,8,29400,0,3675,0
苗栗縣公館鄉福基國民小學附設幼兒園,公館鄉,公立,8,30000,200,3750,25
苗栗縣公館鄉鶴岡國民小學附設幼兒園,公館鄉,公立,8,30900,0,3863,0
苗栗縣卓蘭鎮內灣國民小學附設幼兒園,卓蘭鎮,公立,8,30900,0,3863,0
苗栗縣卓蘭鎮卓蘭國民小學附設幼兒園,卓蘭鎮,公立,8,30900,0,3863,0
苗栗縣卓蘭鎮立幼兒園,卓蘭鎮,公立,10,34200,0,3420,0
苗栗縣卓蘭鎮立幼兒園坪林分班,卓蘭鎮,公立,10,34200,0,3420,0
苗栗縣卓蘭鎮立幼兒園景山分班,卓蘭鎮,公立,10,34200,0,3420,0
苗栗縣卓蘭鎮豐田國民小學附設幼兒園,卓蘭鎮,公立,8,30900,0,3863,0
苗栗縣南庄鄉南埔國民小學附設幼兒園,南庄鄉,公立,8,29100,0,3638,0
苗栗縣南庄鄉南庄國民小學附設幼兒園,南庄鄉,公立,8,28200,0,3525,0
苗栗縣南庄鄉東河國民小學附設幼兒園,南庄鄉,公立,8,28200,0,3525,0
苗栗縣南庄鄉田美國民小學附設幼兒園,南庄鄉,公立,8,29100,0,3638,0
苗栗縣南庄鄉立幼兒園,南庄鄉,公立,10,23600,0,2360,0
苗栗縣南庄鄉蓬萊國民小學附設幼兒園,南庄鄉,公立,8,27300,0,3413,0
苗栗縣大湖鄉南湖國民小學附設幼兒園,大湖鄉,公立,8,30450,200,3806,25
苗栗縣大湖鄉大湖國民小學附設幼兒園,大湖鄉,公立,8,30000,200,3750,25
苗栗縣大湖鄉新開國民小學附設幼兒園,大湖鄉,公立,8,30900,200,3863,25
苗栗縣大湖鄉栗林國民小學附設幼兒園,大湖鄉,公立,8,30900,200,3863,25
苗栗縣大湖鄉立幼兒園,大湖鄉,公立,10,35300,0,3530,0
苗栗縣大湖鄉華興國民小學附設幼兒園,大湖鄉,公立,8,29260,200,3658,25
苗栗縣建功非營利幼兒園（委託社團法人東台灣幼兒教保專業促進協會辦理）,苗栗市,非營利,12,89808,0,7484,0
苗栗縣後龍鎮中和國民小學附設幼兒園,後龍鎮,公立,8,30900,200,3863,25
苗栗縣後龍鎮同光國民小學附設幼兒園,後龍鎮,公立,8,30000,200,3750,25
苗栗縣後龍鎮外埔國民小學附設幼兒園,後龍鎮,公立,8,28200,0,3525,0
苗栗縣後龍鎮大山國民小學附設幼兒園,後龍鎮,公立,8,29000,200,3625,25
苗栗縣後龍鎮成功國民小學附設幼兒園,後龍鎮,公立,8,27700,0,3463,0
苗栗縣後龍鎮海寶國民小學附設幼兒園,後龍鎮,公立,8,30000,200,3750,25
苗栗縣後龍鎮龍坑國民小學附設幼兒園,後龍鎮,公立,8,30000,200,3750,25
苗栗縣後龍非營利幼兒園(委託廣亞學校財團法人設立之育達科技大學辦理),後龍鎮,非營利,12,99840,0,8320,0
苗栗縣斗煥非營利幼兒園（委託社團法人苗栗縣嬰幼兒閱讀推廣協會辦理）,頭份市,非營利,12,99840,0,8320,0
苗栗縣新南非營利幼兒園（委託財團法人幼兒教育基金會辦理）,竹南鎮,非營利,12,103428,0,8619,0
苗栗縣泰安鄉士林國民小學附設幼兒園,泰安鄉,公立,8,27300,0,3413,0
苗栗縣泰安鄉梅園國民小學附設幼兒園,泰安鄉,公立,8,26400,0,3300,0
苗栗縣泰安鄉汶水國民小學附設幼兒園,泰安鄉,公立,8,26400,0,3300,0
苗栗縣泰安鄉泰興國民小學附設幼兒園,泰安鄉,公立,8,27300,0,3413,0
苗栗縣泰安鄉清安國民小學附設幼兒園,泰安鄉,公立,8,26400,0,3300,0
