point,area,type,months,total1,total2,monthly1,monthly2
國立東華大學附設實驗國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
國立東華大學附設花蓮縣私立實驗幼兒園,壽豐鄉,準公共化,12,223920,0,18660,0
慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,花蓮市,私立,10,140000,200,14000,20
社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),花蓮市,非營利,12,107400,0,8950,0
社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),吉安鄉,非營利,12,105780,0,8815,0
私立海星高級中學附屬花蓮縣海星幼兒園,新城鄉,準公共化,12,207120,9000,17260,750
花蓮縣光復鄉光復國民小學附設幼兒園,光復鄉,公立,10,51960,0,5196,0
花蓮縣光復鄉大進國民小學附設幼兒園,光復鄉,公立,10,54320,0,5432,0
花蓮縣光復鄉太巴塱國民小學附設幼兒園,光復鄉,公立,10,54520,0,5452,0
花蓮縣光復鄉立幼兒園,光復鄉,公立,12,60786,0,5066,0
花蓮縣卓溪鄉卓清國民小學附設幼兒園,卓溪鄉,公立,10,53520,200,5352,20
花蓮縣卓溪鄉卓溪國民小學附設幼兒園,卓溪鄉,公立,10,50720,0,5072,0
花蓮縣卓溪鄉古風國民小學附設幼兒園,卓溪鄉,公立,10,52720,0,5272,0
花蓮縣卓溪鄉太平國民小學附設幼兒園,卓溪鄉,公立,10,53720,0,5372,0
花蓮縣卓溪鄉立山國民小學附設幼兒園,卓溪鄉,公立,10,53720,0,5372,0
花蓮縣卓溪鄉立幼兒園,卓溪鄉,公立,12,37600,0,3133,0
花蓮縣卓溪鄉立幼兒園山里分班,卓溪鄉,公立,12,37600,0,3133,0
花蓮縣吉安鄉光華國民小學附設幼兒園,吉安鄉,公立,10,57800,0,5780,0
花蓮縣吉安鄉化仁國民小學附設幼兒園,吉安鄉,公立,10,59400,0,5940,0
花蓮縣吉安鄉北昌國民小學附設幼兒園,吉安鄉,公立,10,59400,0,5940,0
花蓮縣吉安鄉南華國民小學附設幼兒園,吉安鄉,公立,10,56760,0,5676,0
花蓮縣吉安鄉吉安國民小學附設幼兒園,吉安鄉,公立,10,59400,200,5940,20
花蓮縣吉安鄉太昌國民小學附設幼兒園,吉安鄉,公立,10,59400,200,5940,20
花蓮縣吉安鄉宜昌國民小學附設幼兒園,吉安鄉,公立,10,59400,0,5940,0
花蓮縣吉安鄉稻香國民小學附設幼兒園,吉安鄉,公立,10,59400,200,5940,20
花蓮縣吉安鄉立幼兒園,吉安鄉,公立,12,70388,0,5866,0
花蓮縣壽豐鄉壽豐國民小學附設幼兒園,壽豐鄉,公立,8,54220,200,6778,25
花蓮縣壽豐鄉志學國民小學附設幼兒園,壽豐鄉,公立,10,56520,200,5652,20
花蓮縣壽豐鄉水璉國民小學附設幼兒園,壽豐鄉,公立,10,54520,0,5452,0
花蓮縣壽豐鄉立幼兒園,壽豐鄉,公立,12,65600,0,5467,0
花蓮縣壽豐鄉立幼兒園北區分班,壽豐鄉,公立,12,65600,0,5467,0
花蓮縣壽豐鄉豐山國民小學附設幼兒園,壽豐鄉,公立,10,55920,200,5592,20
花蓮縣富里鄉學田國民小學附設幼兒園,富里鄉,公立,10,51520,0,5152,0
花蓮縣富里鄉富里國民小學附設幼兒園,富里鄉,公立,10,58120,200,5812,20
花蓮縣富里鄉明里國民小學附設幼兒園,富里鄉,公立,10,51520,0,5152,0
花蓮縣富里鄉東竹國民小學附設幼兒園,富里鄉,公立,10,54520,200,5452,20
花蓮縣富里鄉東里國民小學附設幼兒園,富里鄉,公立,10,53720,0,5372,0
花蓮縣富里鄉永豐國民小學附設幼兒園,富里鄉,公立,10,51520,0,5152,0
花蓮縣新城鄉北埔國民小學附設幼兒園,新城鄉,公立,10,56520,0,5652,0
花蓮縣新城鄉康樂國民小學附設幼兒園,新城鄉,公立,10,52920,200,5292,20
花蓮縣新城鄉新城國民小學附設幼兒園,新城鄉,公立,10,58120,200,5812,20
花蓮縣新城鄉立幼兒園,新城鄉,公立,12,66000,0,5500,0
花蓮縣玉里鎮三民國民小學附設幼兒園,玉里鎮,公立,10,53120,0,5312,0
花蓮縣玉里鎮中城國民小學附設幼兒園,玉里鎮,公立,10,53080,200,5308,20
花蓮縣玉里鎮大禹國民小學附設幼兒園,玉里鎮,公立,10,54160,0,5416,0
花蓮縣玉里鎮春日國民小學附設幼兒園,玉里鎮,公立,10,53520,200,5352,20
花蓮縣玉里鎮松浦國民小學附設幼兒園,玉里鎮,公立,10,53080,0,5308,0
花蓮縣玉里鎮樂合國民小學附設幼兒園,玉里鎮,公立,10,51520,0,5152,0
花蓮縣玉里鎮源城國民小學附設幼兒園,玉里鎮,公立,10,53720,0,5372,0
花蓮縣玉里鎮玉里國民小學附設幼兒園,玉里鎮,公立,10,58120,200,5812,20
花蓮縣玉里鎮長良國民小學附設幼兒園,玉里鎮,公立,10,53520,200,5352,20
花蓮縣玉里鎮高寮國民小學附設幼兒園,玉里鎮,公立,10,53720,200,5372,20
花蓮縣瑞穗鄉奇美國民小學附設幼兒園,瑞穗鄉,公立,10,56520,0,5652,0
花蓮縣瑞穗鄉富源國民小學附設幼兒園,瑞穗鄉,公立,10,54520,200,5452,20
花蓮縣瑞穗鄉瑞北國民小學附設幼兒園,瑞穗鄉,公立,10,54520,200,5452,20
花蓮縣瑞穗鄉瑞穗國民小學附設幼兒園,瑞穗鄉,公立,10,52520,0,5252,0
花蓮縣瑞穗鄉瑞美國民小學附設幼兒園,瑞穗鄉,公立,10,53320,200,5332,20
花蓮縣秀林鄉三棧國民小學附設幼兒園,秀林鄉,公立,10,51520,0,5152,0
花蓮縣秀林鄉和平國民小學附設幼兒園,秀林鄉,公立,10,58120,0,5812,0
花蓮縣秀林鄉富世國民小學附設幼兒園,秀林鄉,公立,10,58120,0,5812,0
花蓮縣秀林鄉崇德國民小學附設幼兒園,秀林鄉,公立,10,53660,200,5366,20
花蓮縣秀林鄉文蘭國民小學附設幼兒園,秀林鄉,公立,10,52520,0,5252,0
花蓮縣秀林鄉水源國民小學附設幼兒園,秀林鄉,公立,10,53120,0,5312,0
花蓮縣秀林鄉秀林國民小學附設幼兒園,秀林鄉,公立,10,50520,0,5052,0
花蓮縣秀林鄉立幼兒園,秀林鄉,公立,10,31900,0,3190,0
花蓮縣秀林鄉立幼兒園和平分班,秀林鄉,公立,10,31900,0,3190,0
花蓮縣秀林鄉立幼兒園富世分班,秀林鄉,公立,10,31900,0,3190,0
花蓮縣秀林鄉立幼兒園水源分班,秀林鄉,公立,10,31900,0,3190,0
花蓮縣秀林鄉立幼兒園銅門分班,秀林鄉,公立,10,31900,0,3190,0
花蓮縣秀林鄉銅門國民小學附設幼兒園,秀林鄉,公立,10,52000,0,5200,0
花蓮縣私立三立芳幼兒園,花蓮市,準公共化,12,235680,9000,19640,750
花蓮縣私立丫丫幼兒園,吉安鄉,準公共化,12,180000,400,15000,33
花蓮縣私立何嘉仁幼兒園,花蓮市,私立,12,339220,0,28268,0
花蓮縣私立佳姿幼兒園,花蓮市,準公共化,12,240000,0,20000,0
花蓮縣私立健心幼兒園,吉安鄉,私立,12,190800,0,15900,0
花蓮縣私立台大幼兒園,吉安鄉,準公共化,12,192008,0,16001,0
花蓮縣私立吳甦樂幼兒園,花蓮市,準公共化,12,190080,0,15840,0
花蓮縣私立咪咪幼兒園,吉安鄉,準公共化,12,180000,400,15000,33
花蓮縣私立培德幼兒園,新城鄉,準公共化,12,157200,0,13100,0
花蓮縣私立天使幼兒園,花蓮市,準公共化,12,231360,9000,19280,750
花蓮縣私立妙賢幼兒園,花蓮市,準公共化,12,214944,0,17912,0
花蓮縣私立小丫幼兒園,吉安鄉,準公共化,12,180000,400,15000,33
花蓮縣私立小天地幼兒園,花蓮市,準公共化,12,256512,9000,21376,750
花蓮縣私立小樹幼兒園,花蓮市,準公共化,12,252000,0,21000,0
花蓮縣私立幼華幼兒園,吉安鄉,準公共化,12,216000,0,18000,0
花蓮縣私立快樂寶貝園幼兒園,花蓮市,準公共化,12,168000,0,14000,0
花蓮縣私立怡兒寶幼兒園,玉里鎮,準公共化,12,179496,0,14958,0
花蓮縣私立恩典幼兒園,花蓮市,準公共化,12,223920,9000,18660,750
花蓮縣私立愛彌兒幼兒園,鳳林鎮,私立,12,163200,0,13600,0
花蓮縣私立普慧幼兒園,吉安鄉,私立,12,180000,0,15000,0
花蓮縣私立森林幼兒園,吉安鄉,準公共化,12,192000,0,16000,0
花蓮縣私立欣怡幼兒園,吉安鄉,準公共化,12,180000,0,15000,0
花蓮縣私立毛毛虫幼兒園,吉安鄉,準公共化,12,216000,67200,18000,5600
花蓮縣私立熊熊森林幼兒園,花蓮市,準公共化,12,231312,9000,19276,750
花蓮縣私立爾雅之家蒙特梭利幼兒園,花蓮市,準公共化,12,216000,0,18000,0
花蓮縣私立真善美幼兒園,玉里鎮,私立,12,132480,0,11040,0
花蓮縣私立芝蔴村幼兒園,吉安鄉,準公共化,12,172392,9000,14366,750
花蓮縣私立親親智慧森林幼兒園,花蓮市,準公共化,12,221280,9000,18440,750
花蓮縣私立親親蝴蝶城堡幼兒園,花蓮市,準公共化,12,244992,9000,20416,750
花蓮縣私立貓頭鷹幼兒園,吉安鄉,準公共化,12,258248,0,21521,0
花蓮縣私立迦南美地幼兒園,花蓮市,準公共化,12,207984,0,17332,0
花蓮縣私立魔法森林幼兒園,花蓮市,準公共化,12,204000,0,17000,0
花蓮縣花蓮市中原國民小學附設幼兒園,花蓮市,公立,10,59400,0,5940,0
花蓮縣花蓮市中華國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市信義國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市北濱國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市國福國民小學附設幼兒園,花蓮市,公立,10,59400,0,5940,0
花蓮縣花蓮市復興國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市忠孝國民小學附設幼兒園,花蓮市,公立,10,57800,200,5780,20
花蓮縣花蓮市明廉國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市明恥國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市明禮國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣花蓮市明義國民小學附設幼兒園,花蓮市,公立,10,59400,0,5940,0
花蓮縣花蓮市立幼兒園,花蓮市,公立,12,72800,400,6067,33
花蓮縣花蓮市鑄強國民小學附設幼兒園,花蓮市,公立,10,59400,200,5940,20
花蓮縣萬榮鄉明利國民小學附設幼兒園,萬榮鄉,公立,10,54000,0,5400,0
花蓮縣萬榮鄉立幼兒園,萬榮鄉,公立,12,60000,0,5000,0
花蓮縣萬榮鄉立幼兒園南區分班,萬榮鄉,公立,12,60000,0,5000,0
花蓮縣萬榮鄉紅葉國民小學附設幼兒園,萬榮鄉,公立,10,44000,0,4400,0
花蓮縣萬榮鄉西林國民小學附設幼兒園,萬榮鄉,公立,10,53720,0,5372,0
花蓮縣萬榮鄉見晴國民小學附設幼兒園,萬榮鄉,公立,10,53520,0,5352,0
