point,area,type,months,total,monthly
國立東華大學附設實驗國民小學附設幼兒園,花蓮市,公立,10,29900,2990
國立東華大學附設花蓮縣私立實驗幼兒園,壽豐鄉,準公共化,12,108000,9000
慈濟學校財團法人慈濟大學附屬高級中學附設花蓮縣私立幼兒園,花蓮市,私立,10,70200,7020
社團法人國際兒童教育協會中華民國總會附設花蓮縣私立民勤非營利幼兒園(花蓮縣政府委託辦理),花蓮市,非營利,12,107400,8950
社團法人國際兒童教育協會中華民國總會附設花蓮縣私立立德非營利幼兒園(花蓮縣政府委託辦理),吉安鄉,非營利,12,105780,8815
私立海星高級中學附屬花蓮縣海星幼兒園,新城鄉,準公共化,12,105000,8750
花蓮縣光復鄉光復國民小學附設幼兒園,光復鄉,公立,10,25980,2598
花蓮縣光復鄉大進國民小學附設幼兒園,光復鄉,公立,10,27160,2716
花蓮縣光復鄉太巴塱國民小學附設幼兒園,光復鄉,公立,10,27260,2726
花蓮縣光復鄉立幼兒園,光復鄉,公立,12,30393,2533
花蓮縣卓溪鄉卓清國民小學附設幼兒園,卓溪鄉,公立,10,26960,2696
花蓮縣卓溪鄉卓溪國民小學附設幼兒園,卓溪鄉,公立,10,25360,2536
花蓮縣卓溪鄉古風國民小學附設幼兒園,卓溪鄉,公立,10,26360,2636
花蓮縣卓溪鄉太平國民小學附設幼兒園,卓溪鄉,公立,10,26860,2686
花蓮縣卓溪鄉立山國民小學附設幼兒園,卓溪鄉,公立,10,26860,2686
花蓮縣卓溪鄉立幼兒園,卓溪鄉,公立,12,18800,1567
花蓮縣卓溪鄉立幼兒園山里分班,卓溪鄉,公立,12,18800,1567
花蓮縣吉安鄉光華國民小學附設幼兒園,吉安鄉,公立,10,28900,2890
花蓮縣吉安鄉化仁國民小學附設幼兒園,吉安鄉,公立,10,29700,2970
花蓮縣吉安鄉北昌國民小學附設幼兒園,吉安鄉,公立,10,29700,2970
花蓮縣吉安鄉南華國民小學附設幼兒園,吉安鄉,公立,10,28380,2838
花蓮縣吉安鄉吉安國民小學附設幼兒園,吉安鄉,公立,10,29900,2990
花蓮縣吉安鄉太昌國民小學附設幼兒園,吉安鄉,公立,10,29900,2990
花蓮縣吉安鄉宜昌國民小學附設幼兒園,吉安鄉,公立,10,29700,2970
