reg_no,reg_docno,reg_date,title,owner,city,town,type,address,floor,size,size_in,size_out,tel,url,count_approved,shuttle,pre_public,is_free5,is_after,penalty,has_slip
府教國字第1080910204號,府教國字第09808009162號,2000/06/15,澎湖縣馬公市中正國民小學附設幼兒園,林宗彥,澎湖縣,馬公市,公立,[880]民生路38號,ㄧ樓,"19,322平方公尺",350平方公尺,280平方公尺,(06)9272758#3107,,90,,無,,無,無,yes
府教國字第1120914237號,澎府人一字第55155號,1996/10/02,澎湖縣馬公市立幼兒園,黃健忠,澎湖縣,馬公市,公立,[880]104-14號,2樓,"3,497.16平方公尺","2,238.33平方公尺","1,165.5平方公尺",(06)9274645,event.penghu.gov.tw/Kmarkun/index.jsp,350,"		",無,,無,無,yes
府教國字第1120914237號,府社福字第0981002015號,2001/11/20,澎湖縣馬公市立幼兒園東衛分班,,澎湖縣,馬公市,公立,[880]86-10號,2樓,"3,745.077平方公尺","1,729.267平方公尺","2,015.81平方公尺",(06)9213082,event.penghu.gov.tw/Kmarkun/index.jsp,178,"		",無,,無,無,yes
府教國字第1120914237號,府社福字第0981002015號,2001/11/09,澎湖縣馬公市立幼兒園澎南分班,,澎湖縣,馬公市,公立,[880]19號,,,,,(06)9952095,event.penghu.gov.tw/Kmarkun/index.jsp,178,,無,,無,無,yes
府教國字第1100100203號,府教國字第09808009161號,1970/01/01,澎湖縣馬公市馬公國民小學附設幼兒園,王文瑞,澎湖縣,馬公市,公立,[880]明遠路2號,1-2樓,"29,099平方公尺",715.5平方公尺,845.75平方公尺,(06)9272165#212,http://www.mkps.phc.edu.tw/,90,,無,,無,無,yes
府教國字第1120920463號,府教國字第09808020411號,1993/03/22,澎湖縣馬公市中興國民小學附設幼兒園,陳智賢,澎湖縣,馬公市,公立,[880]光復路186號,第一層,"20,281平方公尺","1,630平方公尺","9,017.49平方公尺",(06)9272779#3104,http://www.chps.phc.edu.tw/,92,,無,,無,無,yes
府教國字字第1050912431號,府教國字第1010904206號,2011/01/31,澎湖縣私立馬幼幼兒園,呂永祥,澎湖縣,馬公市,私立,[880]新生路8號,3層,792.81平方公尺,736.91平方公尺,55.9平方公尺,(06)9261379,,155,"		",113-115,,無,無,yes
府教國字第1010906390號,府教國字第1010904208號,2009/09/28,澎湖縣私立至美幼兒園,蔡宜珈,澎湖縣,馬公市,私立,[880]四維路338號,1,"1,298.97平方公尺",549.1平方公尺,749.87平方公尺,(06)9265838,,286,,無,,無,無,yes
府教國字第1090906512號,府教國字第1010904226號,1990/07/16,澎湖縣私立明穗幼兒園,蔡許玉惠,澎湖縣,馬公市,私立,[880]惠民二村22號,1樓、2樓,728.49平方公尺,422.7平方公尺,305.79平方公尺,(06)9265126,,116,"		",無,,有，人數：26,無,yes
府教國字第1010906393號,府教國字第1010904718號,2000/10/13,澎湖縣私立明圓幼兒園,陳寶圓,澎湖縣,馬公市,私立,[880]32-20號,1樓、2樓、3樓,"2,140.36平方公尺","1,371.87平方公尺",768.49平方公尺,(06)9210436,,425,"		",113-115,,有，人數：30,無,yes
府教國字第1010044333號,府社福字第0931001525號,2004/11/29,澎湖縣私立耕讀幼兒園,楊湧耀,澎湖縣,馬公市,私立,[880]四維路36號,二層,"3,096.97平方公尺","1,339.21平方公尺","1,757.76平方公尺",(06)9267001,http://www.gengdou.com,356,"		",113-115,,有，人數：120,無,yes
府教國字第1090913888號,府教國字第09808009191號,1954/09/01,澎湖縣西嶼鄉池東國民小學附設幼兒園,鄭源順,澎湖縣,西嶼鄉,公立,[881]104號,1樓,"6,556平方公尺",96平方公尺,"2,200平方公尺",(06)9981108#35,https://www.facebook.com/%E6%B1%A0%E5%B9%BC%E5%AE%B6%E6%97%8F-129256474366339/,30,,無,,無,無,yes
府教國字第1120902517號,府社福字第0981002017號,1997/02/12,澎湖縣西嶼鄉立幼兒園,李添進,澎湖縣,西嶼鄉,公立,[881]4之28號,一&二層,"1,627.61平方公尺",865.21平方公尺,762.4平方公尺,(06)9981244,,90,"		",無,,無,無,yes
府教國字第1120902517號,府社福字第0981002017號,1997/02/12,澎湖縣西嶼鄉立幼兒園竹灣分班,,澎湖縣,西嶼鄉,公立,[881]15之9號,一&二層及地下室,714.95平方公尺,530.32平方公尺,184.63平方公尺,(06)9981105,,70,"		",無,,無,無,yes
府教國字第1090912531號,府教國字第09808020413號,2008/08/01,澎湖縣望安鄉將軍國民小學附設幼兒園,葉子超,澎湖縣,望安鄉,公立,[882]12-8號,,,,,(06)9902360,,30,,無,,無,無,yes
府教國字第1090913888號,府教國字第09808009192號,1987/01/01,澎湖縣望安鄉望安國民小學附設幼兒園,葉啟賢,澎湖縣,望安鄉,公立,[882]46號,1樓,"9,319平方公尺",144平方公尺,120平方公尺,(06)9991931,http://www.waps.phc.edu.tw/,30,,無,,無,無,yes
府教國字第1110917355號,府教國字第09808009193號,1993/12/28,澎湖縣望安鄉花嶼國民小學附設幼兒園,許慧晶,澎湖縣,望安鄉,公立,[882]2號,1樓,"4,844平方公尺","1,302平方公尺",682平方公尺,(06)9991740,http://www.hyps.phc.edu.tw/,30,,無,,無,無,yes
府教國字第1130916521號,府教國字第09808009194號,1989/08/01,澎湖縣七美鄉七美國民小學附設幼兒園,劉怡芬,澎湖縣,七美鄉,公立,[883]1號,1樓,"17,772平方公尺",144平方公尺,936平方公尺,(06)9971926,http://www.cmps.phc.edu.tw/index930827.htm,60,,無,,無,無,yes
府教國字第1090912531號,府教國字第09808009165號,1997/01/06,澎湖縣白沙鄉吉貝國民小學附設幼兒園,辛武震,澎湖縣,白沙鄉,公立,[884]8號,1,"5,200平方公尺",100平方公尺,220平方公尺,(06)9911086#14,884澎湖縣白沙鄉吉貝村8號,30,,無,,無,無,yes
府教國字第1100047527號,府教國字第09808020412號,1949/08/01,澎湖縣白沙鄉赤崁國民小學附設幼兒園,許鴻文,澎湖縣,白沙鄉,公立,[884]370號,1樓,"18,799平方公尺",180平方公尺,410平方公尺,(06)9931048#29,,30,,無,,無,無,yes
府教國字第1080900350號,澎府秘文字第60564號,1999/10/13,澎湖縣白沙鄉立幼兒園,宋萬富,澎湖縣,白沙鄉,公立,[884]小赤崁村51-7號,1樓,"2,972.8平方公尺","1,637.2平方公尺","1,335.6平方公尺",(06)9932637,白沙鄉小赤村51-7號,530,"		",無,,無,無,yes
府教國字第1080900350號,府社福字第0981002016號,2003/05/13,澎湖縣白沙鄉立幼兒園吉貝分班,,澎湖縣,白沙鄉,公立,[884]2之5號,1樓,178.6平方公尺,88.2平方公尺,90.4平方公尺,(06)9911478,,45,,無,,無,無,yes
府教國字第1100059329號,府教國字第0990805399號,1997/08/01,澎湖縣白沙鄉鳥嶼國民小學附設幼兒園,王雅嫺,澎湖縣,白沙鄉,公立,[884]57號,1樓,"5,860平方公尺",385平方公尺,"2,800平方公尺",(06)9916265,,30,,無,,無,無,yes
