point,area,type,months,total1,total2,monthly1,monthly2,total3
中國鋼鐵股份有限公司職工福利委員會附設高雄市私立中鋼幼兒園,小港區,準公共化,12,111324,9100,9277,758,111324
中山學校財團法人高雄市中山高級工商職業學校附屬私立中山幼兒園,大寮區,私立,12,138000,19200,11500,1600,138000
右昌基督長老教會附設高雄市私立右光幼兒園,楠梓區,準公共化,12,112616,9000,9385,750,112616
日月光集團聯合職工福利委員會附設高雄市私立三好幼兒園,楠梓區,準公共化,12,140400,24000,11700,2000,140400
正修學校財團法人正修科技大學附設高雄市私立正修幼兒園,鳥松區,私立,12,126000,0,10500,0,126000
私立大榮高級中學附設高雄市幼兒園,鼓山區,私立,12,96790,0,8066,0,96790
私立復華高級中學附設高雄市幼兒園,苓雅區,私立,12,144524,12000,12044,1000,144524
私立輔英科技大學附設高雄市幼兒園,大寮區,準公共化,12,135912,9000,11326,750,135912
義大醫療財團法人附設高雄市私立義大醫療幼兒園,燕巢區,私立,12,102000,12960,8500,1080,102000
舊城基督長老教會附設高雄市私立左營幼兒園,左營區,準公共化,12,112960,0,9413,0,112960
財團法人中華民國佛教慈濟慈善事業基金會附設高雄市私立高雄大愛幼兒園,三民區,私立,12,114360,0,9530,0,114360
財團法人台灣聖公會附設高雄市私立聖保羅幼兒園,三民區,準公共化,12,115420,12000,9618,1000,115420
財團法人台灣聖公會附設高雄市私立聖公會幼兒園,茄萣區,私立,12,87600,0,7300,0,87600
財團法人天主教奧思會附設高雄市私立奧思幼兒園,大寮區,準公共化,12,94800,9000,7900,750,94800
財團法人天主教奧思會附設高雄市私立理達幼兒園,林園區,準公共化,12,113840,12000,9487,1000,113840
財團法人天主教會高雄教區附設高雄市私立善牧幼兒園,鳳山區,準公共化,12,100000,24000,8333,2000,100000
財團法人天主教會高雄教區附設高雄市私立海星幼兒園,旗津區,準公共化,12,114660,18000,9555,1500,114660
財團法人天主教會高雄教區附設高雄市私立道明幼兒園,橋頭區,準公共化,12,113640,18000,9470,1500,113640
財團法人天主教會高雄教區附設高雄市私立露庇幼兒園,梓官區,準公共化,12,103476,18000,8623,1500,103476
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立樂仁幼兒園,苓雅區,私立,12,160400,24000,13367,2000,160400
財團法人福智文教基金會附設高雄市私立妙慧幼兒園,鼓山區,準公共化,12,130788,0,10899,0,130788
財團法人私立高雄醫學大學附設高雄市私立高醫幼兒園,三民區,私立,12,92110,0,7676,0,92110
財團法人聖徒會附設高雄市私立曉明幼兒園,三民區,準公共化,12,107004,9000,8917,750,107004
