point,area,type,months,total1,total2,monthly1,monthly2,total3
中國鋼鐵股份有限公司職工福利委員會附設高雄市私立中鋼幼兒園,小港區,準公共化,12,111324,9100,9277,758,111324
中山學校財團法人高雄市中山高級工商職業學校附屬私立中山幼兒園,大寮區,私立,12,138000,19200,11500,1600,138000
右昌基督長老教會附設高雄市私立右光幼兒園,楠梓區,準公共化,12,113760,9000,9480,750,113760
日月光集團聯合職工福利委員會附設高雄市私立三好幼兒園,楠梓區,準公共化,12,140400,24000,11700,2000,140400
正修學校財團法人正修科技大學附設高雄市私立正修幼兒園,鳥松區,私立,12,160000,0,13333,0,160000
私立大榮高級中學附設高雄市幼兒園,鼓山區,私立,12,180000,0,15000,0,180000
私立復華高級中學附設高雄市幼兒園,苓雅區,私立,12,148980,0,12415,0,148980
私立輔英科技大學附設高雄市幼兒園,大寮區,準公共化,12,136848,9000,11404,750,136848
義大醫療財團法人附設高雄市私立義大醫療幼兒園,燕巢區,私立,12,102000,12960,8500,1080,102000
舊城基督長老教會附設高雄市私立左營幼兒園,左營區,準公共化,12,114112,0,9509,0,114112
財團法人中華基督教衛理公會附設高雄市私立衛理幼兒園,新興區,私立,12,105200,9000,8767,750,105200
財團法人中華民國佛教慈濟慈善事業基金會附設高雄市私立高雄大愛幼兒園,三民區,私立,12,117380,0,9782,0,117380
財團法人台灣聖公會附設高雄市私立聖保羅幼兒園,三民區,私立,12,127120,12000,10593,1000,127120
財團法人台灣聖公會附設高雄市私立聖公會幼兒園,茄萣區,私立,12,120000,0,10000,0,120000
財團法人天主教奧思會附設高雄市私立奧思幼兒園,大寮區,準公共化,12,94800,0,7900,0,94800
財團法人天主教奧思會附設高雄市私立理達幼兒園,林園區,準公共化,12,114984,12000,9582,1000,114984
財團法人天主教會高雄教區附設高雄市私立善牧幼兒園,鳳山區,準公共化,12,108000,24000,9000,2000,108000
財團法人天主教會高雄教區附設高雄市私立海星幼兒園,旗津區,準公共化,12,115820,18000,9652,1500,115820
財團法人天主教會高雄教區附設高雄市私立道明幼兒園,橋頭區,準公共化,12,111872,18000,9323,1500,111872
財團法人天主教會高雄教區附設高雄市私立露庇幼兒園,梓官區,準公共化,12,104628,18000,8719,1500,104628
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立樂仁幼兒園,苓雅區,私立,12,166000,24000,13833,2000,166000
財團法人福智文教基金會附設高雄市私立妙慧幼兒園,鼓山區,準公共化,12,130788,0,10899,0,130788
財團法人私立高雄醫學大學附設高雄市私立高醫幼兒園,三民區,私立,12,92110,0,7676,0,92110
