point,area,type,months,total1,total2,monthly1,monthly2,total3
中國鋼鐵股份有限公司職工福利委員會附設高雄市私立中鋼幼兒園,小港區,準公共化,12,117240,9100,9770,758,117240
中山學校財團法人高雄市中山高級工商職業學校附屬私立中山幼兒園,大寮區,私立,12,138000,19200,11500,1600,138000
右昌基督長老教會附設高雄市私立右光幼兒園,楠梓區,準公共化,12,101520,9000,8460,750,101520
日月光集團聯合職工福利委員會附設高雄市私立三好幼兒園,楠梓區,準公共化,12,132000,24000,11000,2000,132000
正修學校財團法人正修科技大學附設高雄市私立正修幼兒園,鳥松區,私立,12,170000,0,14167,0,170000
私立大榮高級中學附設高雄市幼兒園,鼓山區,私立,12,180000,0,15000,0,180000
私立復華高級中學附設高雄市幼兒園,苓雅區,私立,12,136940,0,11412,0,136940
私立輔英科技大學附設高雄市幼兒園,大寮區,準公共化,12,144000,9000,12000,750,144000
義大醫療財團法人附設高雄市私立義大醫療幼兒園,燕巢區,私立,12,122000,12960,10167,1080,122000
舊城基督長老教會附設高雄市私立左營幼兒園,左營區,準公共化,12,100444,0,8370,0,100444
財團法人中華基督教衛理公會附設高雄市私立衛理幼兒園,新興區,準公共化,12,130604,9000,10884,750,130604
財團法人中華民國佛教慈濟慈善事業基金會附設高雄市私立高雄大愛幼兒園,三民區,私立,12,123600,0,10300,0,123600
財團法人台灣聖公會附設高雄市私立聖保羅幼兒園,三民區,私立,12,133400,10560,11117,880,133400
財團法人台灣聖公會附設高雄市私立聖公會幼兒園,茄萣區,私立,12,129600,0,10800,0,129600
財團法人國聖文教基金會附設高雄市私立聖馨國際幼兒園,三民區,私立,12,206000,24000,17167,2000,206000
財團法人天主教奧思會附設高雄市私立理達幼兒園,林園區,準公共化,12,108176,12000,9015,1000,108176
財團法人天主教會高雄教區附設高雄市私立善牧幼兒園,鳳山區,私立,12,108000,24000,9000,2000,108000
財團法人天主教會高雄教區附設高雄市私立海星幼兒園,旗津區,準公共化,12,105932,18000,8828,1500,105932
財團法人天主教會高雄教區附設高雄市私立道明幼兒園,橋頭區,準公共化,12,105944,18000,8829,1500,105944
財團法人天主教會高雄教區附設高雄市私立露庇幼兒園,梓官區,準公共化,12,90804,18000,7567,1500,90804
財團法人天主教聖母無原罪方濟傳教修女會附設高雄市私立樂仁幼兒園,苓雅區,私立,10,160000,20000,16000,2000,160000
財團法人福智文教基金會附設高雄市私立妙慧幼兒園,鼓山區,準公共化,12,129348,0,10779,0,129348
財團法人私立高雄醫學大學附設高雄市私立高醫幼兒園,三民區,私立,12,87000,0,7250,0,87000
財團法人聖徒會附設高雄市私立曉明幼兒園,三民區,準公共化,12,111224,9000,9269,750,111224
財團法人親親文教基金會附設高雄市私立親親幼兒園,鳳山區,準公共化,12,126000,9000,10500,750,126000
財團法人高雄市基督教青年會附設高雄市私立英明幼兒園,苓雅區,私立,12,108000,0,9000,0,108000
財團法人高雄市私立慰親幼兒園,鼓山區,準公共化,12,102472,13500,8539,1125,102472
長庚醫療財團法人高雄長庚紀念醫院附設高雄市私立長庚幼兒園,鳥松區,私立,12,98696,52800,8225,4400,98696
高雄市三民區愛國國民小學附設幼兒園,三民區,公立,9,35930,0,3992,0,35930
高雄市三民區東光國民小學附設幼兒園,三民區,公立,9,35930,200,3992,22,35930
高雄市三民區河濱國民小學附設幼兒園,三民區,公立,9,35930,200,3992,22,35930
高雄市三民區獅湖國民小學附設幼兒園,三民區,公立,9,35930,0,3992,0,35930
高雄市三民區莊敬國民小學附設幼兒園,三民區,公立,9,35930,200,3992,22,35930
高雄市三民區陽明國民小學附設幼兒園,三民區,公立,9,35930,200,3992,22,35930
高雄市三民區鼎金國民小學附設幼兒園,三民區,公立,9,35930,200,3992,22,35930
高雄市仁武區八卦國民小學附設幼兒園,仁武區,公立,9,35930,200,3992,22,35930
高雄市仁武區竹後國民小學附設幼兒園,仁武區,公立,9,35890,0,3988,0,35890
高雄市內門區觀亭國民小學附設幼兒園,內門區,公立,9,33330,200,3703,22,33330
高雄市六龜區六龜國民小學附設幼兒園,六龜區,公立,9,28430,0,3159,0,28430
高雄市六龜區新威國民小學附設幼兒園,六龜區,公立,9,28700,0,3189,0,28700
高雄市六龜區龍興國民小學附設幼兒園,六龜區,公立,9,29330,0,3259,0,29330
高雄市前金區建國國民小學附設幼兒園,前金區,公立,9,35930,200,3992,22,35930
高雄市前鎮區佛公國民小學附設幼兒園,前鎮區,公立,9,35930,0,3992,0,35930
高雄市前鎮區光華國民小學附設幼兒園,前鎮區,公立,9,35930,0,3992,0,35930
高雄市前鎮區前鎮國民小學附設幼兒園,前鎮區,公立,9,35930,0,3992,0,35930
高雄市前鎮區復興國民小學附設幼兒園,前鎮區,公立,9,35930,200,3992,22,35930
高雄市前鎮區愛群國民小學附設幼兒園,前鎮區,公立,9,35930,0,3992,0,35930
高雄市前鎮區明正國民小學附設幼兒園,前鎮區,公立,9,35930,0,3992,0,35930
高雄市前鎮區瑞祥國民小學附設幼兒園,前鎮區,公立,9,35930,200,3992,22,35930
高雄市前鎮區瑞豐國民小學附設幼兒園,前鎮區,公立,9,35930,0,3992,0,35930
高雄市大寮區中庄國民小學附設幼兒園,大寮區,公立,9,35930,200,3992,22,35930
高雄市大寮區大寮國民小學附設幼兒園,大寮區,公立,9,35930,200,3992,22,35930
高雄市大寮區山頂國民小學附設幼兒園,大寮區,公立,9,34850,200,3872,22,34850
高雄市大寮區後庄國民小學附設幼兒園,大寮區,公立,9,35030,200,3892,22,35030
高雄市大寮區忠義國民小學附設幼兒園,大寮區,公立,9,35930,200,3992,22,35930
高雄市大寮區昭明國民小學附設幼兒園,大寮區,公立,9,35930,200,3992,22,35930
高雄市大寮區翁園國民小學附設幼兒園,大寮區,公立,9,35930,0,3992,0,35930
高雄市大樹區溪埔國民小學附設幼兒園,大樹區,公立,9,35930,0,3992,0,35930
高雄市大社區觀音國民小學附設幼兒園,大社區,公立,9,35930,0,3992,0,35930
高雄市寶山部落互助教保服務中心(高雄市桃源區寶山社區發展協會辦理),桃源區,私立,12,225012,0,18751,0,225012
高雄市小港區二苓國民小學附設幼兒園,小港區,公立,9,35930,0,3992,0,35930
高雄市小港區太平國民小學附設幼兒園,小港區,公立,9,35930,0,3992,0,35930
高雄市小港區小港國民小學附設幼兒園,小港區,公立,9,35850,0,3983,0,35850
高雄市小港區桂林國民小學附設幼兒園,小港區,公立,9,35930,0,3992,0,35930
高雄市小港區港和國民小學附設幼兒園,小港區,公立,9,35930,0,3992,0,35930
高雄市小港區漢民國民小學附設幼兒園,小港區,公立,9,35930,0,3992,0,35930
高雄市小港區青山國民小學附設幼兒園,小港區,公立,9,35930,200,3992,22,35930
高雄市岡山區兆湘國民小學附設幼兒園,岡山區,公立,9,35930,0,3992,0,35930
高雄市岡山區嘉興國民小學附設幼兒園,岡山區,公立,9,35930,200,3992,22,35930
高雄市岡山區大後協社區發展協會附設高雄市私立幼兒園,岡山區,準公共化,12,110980,9000,9248,750,110980
高雄市岡山區岡山國民小學附設幼兒園,岡山區,公立,9,35930,200,3992,22,35930
高雄市岡山區後紅國民小學附設幼兒園,岡山區,公立,9,35930,200,3992,22,35930
高雄市岱克拉思部落互助教保服務中心(高雄市原住民族文教協會辦理),杉林區,私立,12,42600,0,3550,0,42600
高雄市左營區屏山國民小學附設幼兒園,左營區,公立,9,35930,200,3992,22,35930
高雄市左營區左營國民小學附設幼兒園,左營區,公立,9,35930,0,3992,0,35930
高雄市左營區文府國民小學附設幼兒園,左營區,公立,9,36334,0,4037,0,36334
高雄市左營區明德國民小學附設幼兒園,左營區,公立,9,35930,0,3992,0,35930
高雄市左營區舊城國民小學附設幼兒園,左營區,公立,9,35930,200,3992,22,35930
高雄市彌陀區彌陀國民小學附設幼兒園,彌陀區,公立,9,35930,0,3992,0,35930
高雄市新興區七賢國民小學附設幼兒園,新興區,公立,9,35930,0,3992,0,35930
高雄市新興區新興國民小學附設幼兒園,新興區,公立,9,35930,200,3992,22,35930
高雄市旗山區嶺口國民小學附設幼兒園,旗山區,公立,9,35030,0,3892,0,35030
高雄市旗山區溪洲國民小學附設幼兒園,旗山區,公立,9,35930,0,3992,0,35930
高雄市旗山區鼓山國民小學附設幼兒園,旗山區,公立,9,35030,200,3892,22,35030
高雄市旗津區中洲國民小學附設幼兒園,旗津區,公立,9,35930,0,3992,0,35930
