鄉鎮市區,學校,類型,年齡,學期,班別,全學期總收費,課後延托費
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,5,上學期,全日班,81425,12600
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,5,下學期,全日班,81425,12600
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,4,上學期,全日班,75000,18000
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,4,下學期,全日班,75000,18000
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,3,上學期,全日班,75000,18000
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,3,下學期,全日班,75000,18000
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,2,上學期,全日班,75000,18000
新竹市,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,私立,2,下學期,全日班,75000,18000
新竹市,國立新竹科學園區實驗高級中等學校附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,國立新竹科學園區實驗高級中等學校附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,國立新竹科學園區實驗高級中等學校附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,國立新竹科學園區實驗高級中等學校附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,5,上學期,全日班,17951,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,5,下學期,全日班,17317,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,4,上學期,全日班,17951,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,4,下學期,全日班,17317,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,3,上學期,全日班,17951,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,3,下學期,全日班,17317,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,2,上學期,全日班,17951,
新竹市,國立清華大學附設實驗國民小學附設幼兒園,公立,2,下學期,全日班,17317,
新竹市,康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,私立,5,上學期,全日班,174500,
新竹市,康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,私立,5,下學期,全日班,174500,
新竹市,康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,私立,4,上學期,全日班,174500,
新竹市,康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,私立,4,下學期,全日班,174500,
新竹市,康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,私立,3,上學期,全日班,174500,
新竹市,康橋學校財團法人新竹市康橋國民中小學附設新竹市私立康橋幼兒園,私立,3,下學期,全日班,174500,
新竹市,新竹市北區北門國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市北區北門國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市北區北門國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市北區北門國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市北區北門國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市北區北門國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市北區南寮國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市北區南寮國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市北區南寮國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市北區南寮國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市北區南寮國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市北區南寮國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市北區民富國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市北區民富國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市北區民富國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市北區民富國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市北區民富國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市北區民富國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市北區舊社國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市北區舊社國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市北區舊社國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市北區舊社國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市北區舊社國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市北區舊社國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市北區西門國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市北區西門國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市北區西門國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市北區西門國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市北區西門國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市北區西門國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市北區載熙國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市北區載熙國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市北區載熙國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市北區載熙國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市北區載熙國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市北區載熙國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),非營利,5,上學期,全日班,46320,
新竹市,新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),非營利,5,下學期,全日班,46320,
新竹市,新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),非營利,4,上學期,全日班,46320,
新竹市,新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),非營利,4,下學期,全日班,46320,
新竹市,新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),非營利,3,上學期,全日班,46320,
新竹市,新竹市南寮非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),非營利,3,下學期,全日班,46320,
新竹市,新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,非營利,5,上學期,全日班,47184,
新竹市,新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,非營利,5,下學期,全日班,47184,
新竹市,新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,非營利,4,上學期,全日班,47184,
新竹市,新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,非營利,4,下學期,全日班,47184,
新竹市,新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,非營利,3,上學期,全日班,47184,
新竹市,新竹市建華非營利幼兒園（委託社團法人新竹市教保人員協會辦理）,非營利,3,下學期,全日班,47184,
新竹市,新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),非營利,5,上學期,全日班,52050,
新竹市,新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),非營利,5,下學期,全日班,52050,
新竹市,新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),非營利,4,上學期,全日班,52050,
新竹市,新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),非營利,4,下學期,全日班,52050,
新竹市,新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),非營利,3,上學期,全日班,52050,
新竹市,新竹市新科非營利幼兒園（委託社團法人新竹市教保人員協會辦理),非營利,3,下學期,全日班,52050,
新竹市,新竹市東區三民國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市東區三民國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市東區三民國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市東區三民國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市東區三民國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市東區三民國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市東區建功國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市東區建功國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市東區建功國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市東區建功國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市東區建功國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市東區建功國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市東區新竹國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市東區新竹國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市東區新竹國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市東區新竹國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市東區新竹國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市東區新竹國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市東區東園國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市東區東園國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市東區東園國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市東區東園國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市東區東園國民小學附設幼兒園,公立,3,上學期,全日班,17658,
新竹市,新竹市東區東園國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市東區東門國民小學附設幼兒園,公立,5,上學期,全日班,17658,0
新竹市,新竹市東區東門國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市東區東門國民小學附設幼兒園,公立,4,上學期,全日班,17658,0
新竹市,新竹市東區東門國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市東區東門國民小學附設幼兒園,公立,3,上學期,全日班,17658,0
新竹市,新竹市東區東門國民小學附設幼兒園,公立,3,下學期,全日班,17102,
新竹市,新竹市東區水源國民小學附設幼兒園,公立,5,上學期,全日班,17658,
新竹市,新竹市東區水源國民小學附設幼兒園,公立,5,下學期,全日班,17102,
新竹市,新竹市東區水源國民小學附設幼兒園,公立,4,上學期,全日班,17658,
新竹市,新竹市東區水源國民小學附設幼兒園,公立,4,下學期,全日班,17102,
新竹市,新竹市東區水源國民小學附設幼兒園,公立,3,上學期,全日班,17658,
