鄉鎮市區,學校,類型,年齡,學期,班別,全學期總收費,課後延托費
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,5,上學期,半日班,48750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,5,上學期,全日班,60000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,5,下學期,半日班,48750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,5,下學期,全日班,60000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,4,上學期,半日班,48750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,4,上學期,全日班,60000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,4,下學期,半日班,48750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,4,下學期,全日班,60000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,3,上學期,半日班,48750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,3,上學期,全日班,60000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,3,下學期,半日班,48750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,3,下學期,全日班,60000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,2,上學期,半日班,60750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,2,上學期,全日班,72000,4500
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,2,下學期,半日班,60750,
臺東市,台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,私立,2,下學期,全日班,72000,4500
臺東市,國立臺東大學附設實驗國民小學附設幼兒園,公立,5,上學期,半日班,7960,
臺東市,國立臺東大學附設實驗國民小學附設幼兒園,公立,5,上學期,全日班,16025,
臺東市,國立臺東大學附設實驗國民小學附設幼兒園,公立,5,下學期,半日班,7960,
臺東市,國立臺東大學附設實驗國民小學附設幼兒園,公立,5,下學期,全日班,16025,
臺東市,國立臺東大學附設實驗國民小學附設幼兒園,公立,4,上學期,半日班,7960,
