鄉鎮市區,學校,類型,年齡,學期,班別,全學期總收費,課後延托費
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,5,上學期,全日班,115800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,5,下學期,全日班,115800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,4,上學期,全日班,115800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,4,下學期,全日班,115800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,3,上學期,全日班,115800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,3,下學期,全日班,115800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,2,上學期,全日班,121800,6000
南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,私立,2,下學期,全日班,121800,6000
南港區,中央研究院附設臺北市私立幼兒園,私立,5,上學期,半日班,34360,
南港區,中央研究院附設臺北市私立幼兒園,私立,5,上學期,全日班,45810,
南港區,中央研究院附設臺北市私立幼兒園,私立,5,下學期,半日班,34360,
南港區,中央研究院附設臺北市私立幼兒園,私立,5,下學期,全日班,45810,
南港區,中央研究院附設臺北市私立幼兒園,私立,4,上學期,半日班,34360,
南港區,中央研究院附設臺北市私立幼兒園,私立,4,上學期,全日班,45810,
南港區,中央研究院附設臺北市私立幼兒園,私立,4,下學期,半日班,34360,
南港區,中央研究院附設臺北市私立幼兒園,私立,4,下學期,全日班,45810,
南港區,中央研究院附設臺北市私立幼兒園,私立,3,上學期,半日班,34360,
南港區,中央研究院附設臺北市私立幼兒園,私立,3,上學期,全日班,45810,
南港區,中央研究院附設臺北市私立幼兒園,私立,3,下學期,半日班,34360,
南港區,中央研究院附設臺北市私立幼兒園,私立,3,下學期,全日班,45810,
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,5,上學期,全日班,72000,14400
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,5,下學期,全日班,72000,14400
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,4,上學期,全日班,72000,14400
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,4,下學期,全日班,72000,14400
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,3,上學期,全日班,72000,14400
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,3,下學期,全日班,72000,14400
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,2,上學期,全日班,75600,15120
萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,私立,2,下學期,全日班,75600,15120
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,5,上學期,半日班,12980,
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,5,上學期,全日班,21588,12000
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,5,下學期,半日班,12980,
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,5,下學期,全日班,21588,12000
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,4,上學期,半日班,12980,
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,4,上學期,全日班,21588,12000
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,4,下學期,半日班,12980,
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,4,下學期,全日班,21588,12000
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,3,上學期,半日班,12980,
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,3,上學期,全日班,21588,12000
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,3,下學期,半日班,12980,
文山區,國立政治大學附設實驗國民小學附設幼兒園,公立,3,下學期,全日班,21588,12000
