point,area,type,months,total1,total2,monthly1,monthly2,total3
金門縣烈嶼鄉上岐國民小學附設幼兒園,烈嶼鄉,公立,9,27500,200,3056,22,27500
金門縣私立寶貝園地幼兒園,金城鎮,準公共化,12,113208,18000,9434,1500,113208
金門縣私立小狀元幼兒園,金城鎮,私立,12,89000,0,7417,0,89000
金門縣私立羅伊頓幼兒園,金城鎮,準公共化,12,126636,27600,10553,2300,126636
金門縣私立肯利熊優質幼兒園,金湖鎮,私立,12,102000,0,8500,0,102000
金門縣私立雅韻藝術學苑幼兒園,金城鎮,準公共化,12,112548,18000,9379,1500,112548
金門縣立金寧國民中小學附設幼兒園,金寧鄉,公立,9,27500,200,3056,22,27500
金門縣金城鎮古城國民小學附設幼兒園,金城鎮,公立,9,27500,200,3056,22,27500
金門縣金寧鄉古寧國民小學附設幼兒園,金寧鄉,公立,9,27500,200,3056,22,27500
金門縣金沙鎮述美國民小學附設幼兒園,金沙鎮,公立,9,27500,200,3056,22,27500
金門縣金沙鎮金沙國民小學附設幼兒園,金沙鎮,公立,9,27500,200,3056,22,27500
金門縣金湖鎮柏村國民小學附設幼兒園,金湖鎮,公立,9,27500,200,3056,22,27500
