point,type,months,total,monthly
南投縣仁愛鄉中正國民小學附設幼兒園,公立,0,0,NAN
南投縣仁愛鄉仁愛國民小學附設幼兒園,公立,0,0,NAN
南投縣仁愛鄉清境國民小學附設幼兒園,公立,0,0,NAN
南投縣仁愛鄉萬豐國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉久美國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉人和國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉地利國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉希娜巴嵐國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉愛國國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉潭南國民小學附設幼兒園,公立,0,0,NAN
南投縣信義鄉立幼兒園,公立,0,0,NAN
南投縣信義鄉立幼兒園人和分班,公立,0,0,NAN
南投縣信義鄉立幼兒園同富分班,公立,0,0,NAN
南投縣信義鄉立幼兒園羅娜分班,公立,0,0,NAN
南投縣信義鄉立幼兒園雙龍分班,公立,0,0,NAN
南投縣信義鄉立幼兒園青雲分班,公立,0,0,NAN
南投縣信義鄉豐丘國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市僑建國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市光復國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市光榮國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市光華國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市南投國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市嘉和國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市平和國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市新豐國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市漳和國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市漳興國民小學附設幼兒園,公立,0,0,NAN
南投縣南投市立幼兒園,公立,0,0,NAN
南投縣南投市立幼兒園文山分班,公立,0,0,NAN
南投縣南投市立幼兒園軍功分班,公立,0,0,NAN
南投縣名間鄉中山國民小學附設幼兒園,公立,0,0,NAN
南投縣名間鄉僑興國民小學附設幼兒園,公立,0,0,NAN
南投縣名間鄉名間國民小學附設幼兒園,公立,0,0,NAN
南投縣名間鄉新街國民小學附設幼兒園,公立,0,0,NAN
南投縣名間鄉立幼兒園,公立,0,0,NAN
南投縣名間鄉立幼兒園大庄分班,公立,0,0,NAN
南投縣名間鄉立幼兒園松嶺分班,公立,0,0,NAN
南投縣國姓鄉北山國民小學附設幼兒園,公立,0,0,NAN
南投縣國姓鄉福龜國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮南光國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮史港國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮埔里國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮太平國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮忠孝國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮愛蘭國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮水尾國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮溪南國民小學附設幼兒園,公立,0,0,NAN
南投縣埔里鎮立幼兒園,公立,0,0,NAN
南投縣埔里鎮育英國民小學附設幼兒園,公立,0,0,NAN
南投縣水里鄉立幼兒園,公立,0,0,NAN
南投縣竹山鎮延平國民小學附設幼兒園,公立,0,0,NAN
南投縣竹山鎮社寮國民小學附設幼兒園,公立,0,0,NAN
南投縣竹山鎮立幼兒園,公立,0,0,NAN
南投縣竹山鎮立幼兒園中央分班,公立,0,0,NAN
南投縣竹山鎮竹山國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮中原國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮僑光國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮北投國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮敦和國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮新庄國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮炎峰國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮立幼兒園,公立,0,0,NAN
南投縣草屯鎮虎山國民小學附設幼兒園,公立,0,0,NAN
南投縣草屯鎮雙冬國民小學附設幼兒園,公立,0,0,NAN
南投縣集集鎮集集國民小學附設幼兒園,公立,0,0,NAN
南投縣鹿谷鄉廣興國民小學附設幼兒園,公立,0,0,NAN
南投縣鹿谷鄉文昌國民小學附設幼兒園,公立,0,0,NAN
