point,area,type,months,total1,total2,monthly1,monthly2
南投縣中寮鄉中寮國民小學附設幼兒園,中寮鄉,公立,8,53100,0,6638,0
南投縣中寮鄉永康國民小學附設幼兒園,中寮鄉,公立,8,53100,0,6638,0
南投縣中寮鄉永樂國民小學附設幼兒園,中寮鄉,公立,8,53100,0,6638,0
南投縣中寮鄉清水國民小學附設幼兒園,中寮鄉,公立,8,55800,0,6975,0
南投縣中寮鄉爽文國民小學附設幼兒園,中寮鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉中正國民小學附設幼兒園,仁愛鄉,公立,8,53100,0,6638,0
南投縣仁愛鄉互助國民小學附設幼兒園,仁愛鄉,公立,8,55620,0,6953,0
南投縣仁愛鄉仁愛國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉力行國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉力行國民小學附設幼兒園翠巒分班,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉南豐國民小學附設幼兒園,仁愛鄉,公立,8,52740,0,6593,0
南投縣仁愛鄉合作國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉廬山國民小學附設幼兒園,仁愛鄉,公立,8,52380,0,6548,0
南投縣仁愛鄉春陽國民小學附設幼兒園,仁愛鄉,公立,8,54900,0,6863,0
南投縣仁愛鄉法治國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉清境國民小學附設幼兒園,仁愛鄉,公立,8,52920,0,6615,0
南投縣仁愛鄉發祥國民小學附設幼兒園,仁愛鄉,公立,8,53100,0,6638,0
南投縣仁愛鄉紅葉國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉萬豐國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉親愛國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣仁愛鄉都達國民小學附設幼兒園,仁愛鄉,公立,8,55800,0,6975,0
南投縣信義鄉久美國民小學附設幼兒園,信義鄉,公立,8,55800,0,6975,0
南投縣信義鄉人和國民小學附設幼兒園,信義鄉,公立,8,55800,0,6975,0
南投縣信義鄉信義國民小學附設幼兒園,信義鄉,公立,8,54000,0,6750,0
南投縣信義鄉同富國民小學附設幼兒園,信義鄉,公立,8,53100,0,6638,0
南投縣信義鄉地利國民小學附設幼兒園,信義鄉,公立,8,55800,0,6975,0
南投縣信義鄉希娜巴嵐國民小學附設幼兒園,信義鄉,公立,8,55800,0,6975,0
南投縣信義鄉愛國國民小學附設幼兒園,信義鄉,公立,8,53100,0,6638,0
南投縣信義鄉東埔國民小學附設幼兒園,信義鄉,公立,8,52200,0,6525,0
南投縣信義鄉桐林國民小學附設幼兒園,信義鄉,公立,8,54900,0,6863,0
南投縣信義鄉潭南國民小學附設幼兒園,信義鄉,公立,8,53640,0,6705,0
南投縣信義鄉立幼兒園,信義鄉,公立,10,60620,0,6062,0
南投縣信義鄉立幼兒園人和分班,信義鄉,公立,10,60620,0,6062,0
南投縣信義鄉立幼兒園同富分班,信義鄉,公立,10,60620,0,6062,0
南投縣信義鄉立幼兒園羅娜分班,信義鄉,公立,10,60620,0,6062,0
南投縣信義鄉立幼兒園雙龍分班,信義鄉,公立,10,60620,0,6062,0
南投縣信義鄉立幼兒園青雲分班,信義鄉,公立,10,60620,0,6062,0
南投縣信義鄉羅娜國民小學附設幼兒園,信義鄉,公立,8,55800,0,6975,0
南投縣信義鄉豐丘國民小學附設幼兒園,信義鄉,公立,8,55800,0,6975,0
南投縣信義鄉隆華國民小學附設幼兒園,信義鄉,公立,8,54000,0,6750,0
南投縣信義鄉雙龍國民小學附設幼兒園,信義鄉,公立,8,54900,0,6863,0
南投縣前山非營利幼兒園(委託財團法人三之三生命教育基金會辦理),竹山鎮,非營利,12,98184,0,8182,0
南投縣南投市僑建國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市光復國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市光榮國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市光華國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市南投國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市嘉和國民小學附設幼兒園,南投市,公立,8,55260,0,6908,0
南投縣南投市平和國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市新豐國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市漳和國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市漳興國民小學附設幼兒園,南投市,公立,8,55800,0,6975,0
南投縣南投市立幼兒園,南投市,公立,10,71800,0,7180,0
南投縣南投市立幼兒園文山分班,南投市,公立,10,71800,0,7180,0
南投縣南投市立幼兒園軍功分班,南投市,公立,10,71800,0,7180,0
南投縣名間鄉中山國民小學附設幼兒園,名間鄉,公立,8,51300,0,6413,0
南投縣名間鄉僑興國民小學附設幼兒園,名間鄉,公立,8,53100,0,6638,0
南投縣名間鄉名間國民小學附設幼兒園,名間鄉,公立,8,55800,0,6975,0
南投縣名間鄉新街國民小學附設幼兒園,名間鄉,公立,8,54900,0,6863,0
南投縣名間鄉立幼兒園,名間鄉,公立,10,69200,0,6920,0
南投縣名間鄉立幼兒園大庄分班,名間鄉,公立,10,69200,0,6920,0
南投縣名間鄉立幼兒園松嶺分班,名間鄉,公立,10,69200,0,6920,0
南投縣國姓鄉北山國民小學附設幼兒園,國姓鄉,公立,8,55800,0,6975,0
南投縣國姓鄉北港國民小學附設幼兒園,國姓鄉,公立,8,55800,0,6975,0
南投縣國姓鄉南港國民小學附設幼兒園,國姓鄉,公立,8,52920,0,6615,0
南投縣國姓鄉國姓國民小學附設幼兒園,國姓鄉,公立,8,55800,0,6975,0
南投縣國姓鄉福龜國民小學附設幼兒園,國姓鄉,公立,8,55800,0,6975,0
南投縣國姓鄉長流國民小學附設幼兒園,國姓鄉,公立,8,53100,0,6638,0
南投縣埔里鎮南光國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣埔里鎮史港國民小學附設幼兒園,埔里鎮,公立,8,54180,0,6773,0
南投縣埔里鎮埔里國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣埔里鎮太平國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣埔里鎮忠孝國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣埔里鎮愛蘭國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣埔里鎮水尾國民小學附設幼兒園,埔里鎮,公立,8,36000,0,4500,0
南投縣埔里鎮溪南國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣埔里鎮立幼兒園,埔里鎮,公立,10,58360,0,5836,0
南投縣埔里鎮育英國民小學附設幼兒園,埔里鎮,公立,8,55800,0,6975,0
南投縣大成非營利幼兒園(委託財團法人三之三生命教育基金會辦理),埔里鎮,非營利,12,101868,0,8489,0
南投縣富功非營利幼兒園(委託財團法人宏觀文教基金會辦理),草屯鎮,非營利,12,98184,0,8182,0
南投縣水里鄉新興國民小學附設幼兒園,水里鄉,公立,8,55800,0,6975,0
南投縣水里鄉水里國民小學附設幼兒園,水里鄉,公立,8,55800,0,6975,0
