point,area,type,months,total1,total2,monthly1,monthly2
台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,臺東市,準公共化,12,245520,9000,20460,750
國立臺東大學附設實驗國民小學附設幼兒園,臺東市,公立,8,64100,200,8013,25
臺東縣卑南部落互助教保服務中心(東台灣幼兒教保專業促進協會辦理),卑南鄉,私立,12,134000,9600,11167,800
臺東縣卑南鄉初鹿國民小學附設幼兒園,卑南鄉,公立,8,59970,0,7496,0
臺東縣卑南鄉利嘉國民小學附設幼兒園,卑南鄉,公立,8,60340,0,7543,0
臺東縣卑南鄉大南國民小學附設幼兒園,卑南鄉,公立,8,62540,0,7818,0
臺東縣卑南鄉太平國民小學附設幼兒園,卑南鄉,公立,8,60540,0,7568,0
臺東縣卑南鄉富山國民小學附設幼兒園,卑南鄉,公立,8,66430,0,8304,0
臺東縣卑南鄉東成國民小學附設幼兒園,卑南鄉,公立,8,68270,0,8534,0
臺東縣卑南鄉溫泉國民小學附設幼兒園,卑南鄉,公立,8,64340,200,8043,25
臺東縣卑南鄉賓朗國民小學附設幼兒園,卑南鄉,公立,8,61980,0,7748,0
臺東縣大武鄉大武國民小學附設幼兒園,大武鄉,公立,8,61640,200,7705,25
臺東縣大武鄉大鳥國民小學附設幼兒園,大武鄉,公立,8,63640,0,7955,0
臺東縣大武鄉尚武國民小學附設幼兒園,大武鄉,公立,8,62540,0,7818,0
臺東縣大武鄉立幼兒園,大武鄉,公立,10,46000,0,4600,0
臺東縣太麻里鄉三和國民小學附設幼兒園,太麻里鄉,公立,8,64140,0,8018,0
臺東縣太麻里鄉大溪國民小學附設幼兒園,太麻里鄉,公立,8,60540,200,7568,25
臺東縣太麻里鄉大王國民小學附設幼兒園,太麻里鄉,公立,8,61440,0,7680,0
臺東縣太麻里鄉立幼兒園,太麻里鄉,公立,10,42700,0,4270,0
臺東縣太麻里鄉美和國民小學附設幼兒園,太麻里鄉,公立,8,63240,0,7905,0
臺東縣太麻里鄉香蘭國民小學附設幼兒園,太麻里鄉,公立,8,60220,0,7528,0
臺東縣小鯨魚非營利幼兒園(社團法人東台灣幼兒教保專業促進協會申請辦理),臺東市,非營利,12,126732,0,10561,0
臺東縣延平鄉桃源國民小學附設幼兒園,延平鄉,公立,8,64540,0,8068,0
臺東縣延平鄉武陵國民小學附設幼兒園,延平鄉,公立,8,62510,0,7814,0
臺東縣延平鄉紅葉國民小學附設幼兒園,延平鄉,公立,8,57240,0,7155,0
臺東縣延平鄉鸞山國民小學附設幼兒園,延平鄉,公立,8,57270,0,7159,0
臺東縣成功鎮三仙國民小學附設幼兒園,成功鎮,公立,8,64340,0,8043,0
臺東縣成功鎮三民國民小學附設幼兒園,成功鎮,公立,8,67240,0,8405,0
臺東縣成功鎮三民國民小學附設幼兒園和平分班,成功鎮,公立,8,67240,0,8405,0
臺東縣成功鎮信義國民小學附設幼兒園,成功鎮,公立,8,61540,200,7693,25
臺東縣成功鎮忠孝國民小學附設幼兒園,成功鎮,公立,8,64540,0,8068,0
臺東縣成功鎮忠孝國民小學附設幼兒園博愛分班,成功鎮,公立,8,64540,0,8068,0
臺東縣成功鎮成功國民小學附設幼兒園,成功鎮,公立,8,64540,0,8068,0
臺東縣成功鎮立幼兒園,成功鎮,公立,10,63200,0,6320,0
臺東縣東河鄉北源國民小學附設幼兒園,東河鄉,公立,8,60540,200,7568,25
臺東縣東河鄉東河國民小學附設幼兒園,東河鄉,公立,8,69170,0,8646,0
臺東縣東河鄉泰源國民小學附設幼兒園,東河鄉,公立,8,64540,0,8068,0
臺東縣東河鄉興隆國民小學附設幼兒園,東河鄉,公立,8,58630,0,7329,0
臺東縣東河鄉都蘭國民小學附設幼兒園,東河鄉,公立,8,60310,0,7539,0
臺東縣池上鄉大坡國民小學附設幼兒園,池上鄉,公立,8,55670,0,6959,0
臺東縣池上鄉福原國民小學附設幼兒園,池上鄉,公立,8,64340,0,8043,0
臺東縣池上鄉萬安國民小學附設幼兒園,池上鄉,公立,8,54630,0,6829,0
臺東縣池上鄉萬安國民小學附設幼兒園振興分班,池上鄉,公立,8,54630,0,6829,0
臺東縣海端鄉初來國民小學附設幼兒園,海端鄉,公立,8,69670,0,8709,0
臺東縣海端鄉加拿國民小學附設幼兒園,海端鄉,公立,8,39400,0,4925,0
臺東縣海端鄉崁頂國民小學附設幼兒園,海端鄉,公立,8,57030,0,7129,0
臺東縣海端鄉廣原國民小學附設幼兒園,海端鄉,公立,8,60630,0,7579,0
臺東縣海端鄉海端國民小學附設幼兒園,海端鄉,公立,8,55300,0,6913,0
臺東縣海端鄉錦屏國民小學附設幼兒園,海端鄉,公立,8,60630,200,7579,25
臺東縣海端鄉霧鹿國民小學附設幼兒園,海端鄉,公立,8,68270,0,8534,0
臺東縣海端鄉霧鹿國民小學附設幼兒園利稻分班,海端鄉,公立,8,68270,0,8534,0
臺東縣私立乖乖幼兒園,臺東市,準公共化,12,220416,0,18368,0
臺東縣私立何嘉仁幼兒園,臺東市,私立,12,316000,0,26333,0
臺東縣私立博愛幼兒園,成功鎮,準公共化,12,205344,0,17112,0
臺東縣私立向日葵幼兒園,臺東市,準公共化,12,199200,0,16600,0
臺東縣私立多多璐幼兒園,臺東市,私立,12,196800,0,16400,0
臺東縣私立東佳幼兒園,臺東市,準公共化,12,238728,0,19894,0
臺東縣私立牧牧幼兒園,臺東市,準公共化,12,348000,18000,29000,1500
臺東縣私立牧笛幼兒園,臺東市,準公共化,12,274032,0,22836,0
臺東縣私立獅子王幼兒園,臺東市,私立,12,208000,106920,17333,8910
臺東縣私立福田幼兒園,臺東市,準公共化,12,211136,0,17595,0
臺東縣私立蒙特梭利幼兒園,臺東市,準公共化,12,219984,0,18332,0
臺東縣私立蒲公英幼兒園,臺東市,準公共化,12,120000,9000,10000,750
臺東縣私立蒲公英種子幼兒園,臺東市,準公共化,12,226800,9000,18900,750
臺東縣私立青荳芽幼兒園,臺東市,準公共化,12,211128,0,17594,0
臺東縣私立高瞻幼兒園,臺東市,準公共化,12,192000,0,16000,0
臺東縣私立鴻德幼兒園,關山鎮,準公共化,12,152800,0,12733,0
臺東縣立四維幼兒園,臺東市,公立,8,60224,200,7528,25
臺東縣立新生幼兒園,臺東市,公立,8,66800,200,8350,25
臺東縣綠島鄉公館國民小學附設幼兒園,綠島鄉,公立,8,64140,0,8018,0
臺東縣綠島鄉綠島國民小學附設幼兒園,綠島鄉,公立,8,64622,0,8078,0
臺東縣臺東市卑南國民小學附設幼兒園,臺東市,公立,8,64540,0,8068,0
臺東縣臺東市南王國民小學附設幼兒園,臺東市,公立,8,60540,0,7568,0
臺東縣臺東市富岡國民小學附設幼兒園,臺東市,公立,8,64470,0,8059,0
臺東縣臺東市寶桑國民小學附設幼兒園,臺東市,公立,8,67740,0,8468,0
臺東縣臺東市岩灣國民小學附設幼兒園,臺東市,公立,8,62630,200,7829,25
臺東縣臺東市康樂國民小學附設幼兒園,臺東市,公立,8,61840,0,7730,0
臺東縣臺東市建和國民小學附設幼兒園,臺東市,公立,8,64540,0,8068,0
臺東縣臺東市復興國民小學附設幼兒園,臺東市,公立,8,65080,200,8135,25
臺東縣臺東市新園國民小學附設幼兒園,臺東市,公立,8,63040,0,7880,0
臺東縣臺東市新生國民小學附設幼兒園,臺東市,公立,8,64154,0,8019,0
臺東縣臺東市知本國民小學附設幼兒園,臺東市,公立,8,64240,0,8030,0
臺東縣臺東市立幼兒園,臺東市,公立,10,76400,0,7640,0
臺東縣臺東市豐年國民小學附設幼兒園,臺東市,公立,8,64470,200,8059,25
臺東縣臺東市豐榮國民小學附設幼兒園,臺東市,公立,8,56540,0,7068,0
臺東縣臺東市豐源國民小學附設幼兒園,臺東市,公立,8,66070,0,8259,0
臺東縣臺東市豐田國民小學附設幼兒園,臺東市,公立,8,55090,0,6886,0
臺東縣臺東市豐里國民小學附設幼兒園,臺東市,公立,8,66340,0,8293,0
臺東縣蘭嶼部落互助教保服務中心（財團法人基督教蘭恩文教基金會辦理）,蘭嶼鄉,私立,12,86000,0,7167,0
