point,area,type,months,total,monthly
台東紅珊瑚股份有限公司附設臺東縣私立綺麗幼兒園,臺東市,準公共化,12,153000,12750
臺東縣卑南部落互助教保服務中心(東台灣幼兒教保專業促進協會辦理),卑南鄉,私立,12,76600,6383
臺東縣卑南鄉太平國民小學附設幼兒園,卑南鄉,公立,8,30270,3784
臺東縣卑南鄉溫泉國民小學附設幼兒園,卑南鄉,公立,8,32370,4046
臺東縣卑南鄉賓朗國民小學附設幼兒園,卑南鄉,公立,8,30990,3874
臺東縣大武鄉尚武國民小學附設幼兒園,大武鄉,公立,8,31270,3909
臺東縣太麻里鄉三和國民小學附設幼兒園,太麻里鄉,公立,8,32070,4009
臺東縣太麻里鄉大溪國民小學附設幼兒園,太麻里鄉,公立,8,30470,3809
臺東縣太麻里鄉立幼兒園,太麻里鄉,公立,10,21350,2135
臺東縣太麻里鄉美和國民小學附設幼兒園,太麻里鄉,公立,8,31620,3953
臺東縣太麻里鄉香蘭國民小學附設幼兒園,太麻里鄉,公立,8,30110,3764
臺東縣小鯨魚非營利幼兒園(社團法人東台灣幼兒教保專業促進協會申請辦理),臺東市,非營利,12,136524,11377
臺東縣延平鄉武陵國民小學附設幼兒園,延平鄉,公立,8,31255,3907
臺東縣延平鄉立幼兒園,延平鄉,公立,10,22400,2240
臺東縣成功鎮三仙國民小學附設幼兒園,成功鎮,公立,8,32170,4021
臺東縣成功鎮三民國民小學附設幼兒園,成功鎮,公立,8,33620,4203
臺東縣成功鎮三民國民小學附設幼兒園和平分班,成功鎮,公立,8,33620,4203
臺東縣成功鎮信義國民小學附設幼兒園,成功鎮,公立,8,30970,3871
臺東縣成功鎮忠孝國民小學附設幼兒園,成功鎮,公立,8,32270,4034
臺東縣成功鎮忠孝國民小學附設幼兒園博愛分班,成功鎮,公立,8,32270,4034
臺東縣成功鎮成功國民小學附設幼兒園,成功鎮,公立,8,32270,4034
臺東縣成功鎮立幼兒園,成功鎮,公立,10,31600,3160
臺東縣東河鄉北源國民小學附設幼兒園,東河鄉,公立,8,30470,3809
臺東縣東河鄉泰源國民小學附設幼兒園,東河鄉,公立,8,32270,4034
臺東縣東河鄉立幼兒園,東河鄉,公立,9,27000,3000
臺東縣東河鄉興隆國民小學附設幼兒園,東河鄉,公立,8,29315,3664
臺東縣東河鄉都蘭國民小學附設幼兒園,東河鄉,公立,8,30155,3769
臺東縣池上鄉大坡國民小學附設幼兒園,池上鄉,公立,8,27835,3479
臺東縣池上鄉福原國民小學附設幼兒園,池上鄉,公立,8,32170,4021
臺東縣池上鄉萬安國民小學附設幼兒園,池上鄉,公立,8,27315,3414
臺東縣池上鄉萬安國民小學附設幼兒園振興分班,池上鄉,公立,8,27315,3414
臺東縣海端鄉初來國民小學附設幼兒園,海端鄉,公立,8,34835,4354
臺東縣海端鄉加拿國民小學附設幼兒園,海端鄉,公立,8,19700,2463
臺東縣海端鄉廣原國民小學附設幼兒園,海端鄉,公立,8,30315,3789
臺東縣海端鄉海端國民小學附設幼兒園,海端鄉,公立,8,27650,3456
臺東縣海端鄉立幼兒園,海端鄉,公立,10,27400,2740
臺東縣海端鄉錦屏國民小學附設幼兒園,海端鄉,公立,8,30515,3814
臺東縣海端鄉霧鹿國民小學附設幼兒園,海端鄉,公立,8,34135,4267
臺東縣海端鄉霧鹿國民小學附設幼兒園利稻分班,海端鄉,公立,8,34135,4267
臺東縣私立乖乖幼兒園,臺東市,準公共化,12,114448,9537
臺東縣私立何嘉仁幼兒園,臺東市,私立,12,158000,13167
臺東縣私立博愛幼兒園,成功鎮,準公共化,12,92232,7686
