point,type,months,total,monthly
嘉義縣中埔鄉社口國民小學附設幼兒園,公立,0,0,NAN
嘉義縣中埔鄉立中埔幼兒園,公立,0,0,NAN
嘉義縣中埔鄉立中埔幼兒園三和分班,公立,0,0,NAN
嘉義縣中埔鄉立中埔幼兒園中埔分班,公立,0,0,NAN
嘉義縣中埔鄉頂六國民小學附設幼兒園,公立,0,0,NAN
嘉義縣六腳鄉立六腳幼兒園,公立,0,0,NAN
嘉義縣大林鎮立大林幼兒園,公立,0,0,NAN
嘉義縣太保市南新國民小學附設幼兒園,公立,0,0,NAN
嘉義縣太保市太保國民小學附設幼兒園,公立,0,0,NAN
嘉義縣太保市新埤國民小學附設幼兒園,公立,0,0,NAN
嘉義縣布袋鎮布新國民小學附設幼兒園,公立,0,0,NAN
嘉義縣布袋鎮布袋國民小學附設幼兒園,公立,0,0,NAN
嘉義縣布袋鎮新岑國民小學附設幼兒園,公立,0,0,NAN
嘉義縣新港鄉立新港幼兒園,公立,0,0,NAN
嘉義縣朴子市大同國民小學附設幼兒園,公立,0,0,NAN
嘉義縣朴子市大鄉國民小學附設幼兒園,公立,0,0,NAN
嘉義縣朴子市朴子國民小學附設幼兒園,公立,0,0,NAN
嘉義縣朴子市松梅國民小學附設幼兒園,公立,0,0,NAN
嘉義縣朴子市雙溪國民小學附設幼兒園,公立,0,0,NAN
嘉義縣東石鄉三江國民小學附設幼兒園,公立,0,0,NAN
嘉義縣東石鄉下楫國民小學附設幼兒園,公立,0,0,NAN
嘉義縣東石鄉東石國民小學附設幼兒園,公立,0,0,NAN
嘉義縣東石鄉港墘國民小學附設幼兒園,公立,0,0,NAN
嘉義縣東石鄉龍港國民小學附設幼兒園,公立,0,0,NAN
嘉義縣梅山鄉梅山國民小學附設幼兒園,公立,0,0,NAN
嘉義縣梅山鄉瑞峰國民小學附設幼兒園,公立,0,0,NAN
嘉義縣梅山鄉瑞里國民小學附設幼兒園,公立,0,0,NAN
嘉義縣民雄鄉三興國民小學附設幼兒園,公立,0,0,NAN
嘉義縣民雄鄉民雄國民小學附設幼兒園,公立,0,0,NAN
嘉義縣民雄鄉福樂國民小學附設幼兒園,公立,0,0,NAN
嘉義縣民雄鄉秀林國民小學附設幼兒園,公立,0,0,NAN
嘉義縣民雄鄉立民雄幼兒園,公立,0,0,NAN
嘉義縣水上鄉南靖國民小學附設幼兒園,公立,0,0,NAN
嘉義縣水上鄉忠和國民小學附設幼兒園,公立,0,0,NAN
嘉義縣水上鄉柳林國民小學附設幼兒園,公立,0,0,NAN
嘉義縣溪口鄉柴林國民小學附設幼兒園,公立,0,0,NAN
嘉義縣番路鄉隙頂國民小學附設幼兒園,公立,0,0,NAN
嘉義縣私立天心幼兒園,私立,0,0,NAN
嘉義縣私立學英幼兒園,私立,0,0,NAN
嘉義縣私立育民幼兒園,私立,0,0,NAN
嘉義縣竹崎鄉中和國民小學附設幼兒園,公立,0,0,NAN
嘉義縣竹崎鄉光華國民小學附設幼兒園,公立,0,0,NAN
嘉義縣竹崎鄉內埔國民小學附設幼兒園,公立,0,0,NAN
嘉義縣竹崎鄉龍山國民小學附設幼兒園,公立,0,0,NAN
嘉義縣義竹鄉和順國民小學附設幼兒園,公立,0,0,NAN
嘉義縣阿里山鄉立阿里山幼兒園來吉分班,公立,0,0,NAN
嘉義縣阿里山鄉香林國民小學附設幼兒園,公立,0,0,NAN
