point,area,type,months,total1,total2,monthly1,monthly2,total3
嘉義縣私立慈愛幼兒園,水上鄉,準公共化,12,96120,14400,8010,1200,96120
嘉義縣私立新港安琪兒幼兒園,新港鄉,私立,12,104400,0,8700,0,104400
嘉義縣私立新藝幼兒園,中埔鄉,準公共化,12,113484,14400,9457,1200,113484
嘉義縣私立昇學幼兒園,大林鎮,準公共化,12,108408,14400,9034,1200,108408
嘉義縣私立明日萌幼兒園,太保市,準公共化,12,107364,0,8947,0,107364
嘉義縣私立智群幼兒園,太保市,準公共化,12,96008,14400,8001,1200,96008
嘉義縣私立格林威爾幼兒園,民雄鄉,私立,12,119360,0,9947,0,119360
嘉義縣私立欣苗幼兒園,大林鎮,準公共化,12,96888,14400,8074,1200,96888
嘉義縣私立百勝幼兒園,民雄鄉,準公共化,12,136492,9000,11374,750,136492
嘉義縣私立真善美幼兒園,民雄鄉,準公共化,12,111920,14400,9327,1200,111920
嘉義縣私立米羅幼兒園,太保市,準公共化,12,102000,9000,8500,750,102000
嘉義縣私立聖愛幼兒園,竹崎鄉,準公共化,12,95040,14400,7920,1200,95040
嘉義縣私立芝麻幼兒園,布袋鎮,準公共化,12,98880,14400,8240,1200,98880
嘉義縣私立藍天幼兒園,朴子市,私立,12,149600,0,12467,0,149600
嘉義縣私立資優生幼兒園,朴子市,準公共化,12,134240,9000,11187,750,134240
嘉義縣私立迪士妮幼兒園,鹿草鄉,準公共化,12,94800,14400,7900,1200,94800
嘉義縣私立麥米羅幼兒園,民雄鄉,準公共化,12,114924,9000,9577,750,114924
嘉義縣立大埔國民中小學附設幼兒園,大埔鄉,公立,9,35415,200,3935,22,35415
嘉義縣立阿里山國民中小學附設幼兒園,阿里山鄉,公立,9,31050,200,3450,22,31050
嘉義縣竹崎鄉中興國民小學附設幼兒園,竹崎鄉,公立,9,35721,0,3969,0,35721
嘉義縣竹崎鄉光華國民小學附設幼兒園,竹崎鄉,公立,9,32715,0,3635,0,32715
嘉義縣竹崎鄉內埔國民小學附設幼兒園,竹崎鄉,公立,9,33165,200,3685,22,33165
嘉義縣竹崎鄉立竹崎幼兒園,竹崎鄉,公立,11,42958,200,3905,18,42958
嘉義縣竹崎鄉鹿滿國民小學附設幼兒園,竹崎鄉,公立,9,33165,200,3685,22,33165
嘉義縣竹崎鄉龍山國民小學附設幼兒園,竹崎鄉,公立,9,34370,0,3819,0,34370
嘉義縣義竹鄉光榮國民小學附設幼兒園,義竹鄉,公立,9,32265,0,3585,0,32265
嘉義縣義竹鄉南興國民小學附設幼兒園,義竹鄉,公立,9,31005,0,3445,0,31005
嘉義縣義竹鄉南興國民小學附設幼兒園東華分班,義竹鄉,公立,9,31005,0,3445,0,31005
嘉義縣義竹鄉義竹國民小學附設幼兒園,義竹鄉,公立,9,34462,0,3829,0,34462
嘉義縣義竹鄉農會附設嘉義縣私立義竹幼兒園,義竹鄉,準公共化,12,79200,14400,6600,1200,79200
