point,area,type,months,total1,total2,monthly1,monthly2
台灣基督長老教會朴子教會附設嘉義縣私立東明幼兒園,朴子市,準公共化,12,95508,14400,7959,1200
嘉義縣中埔鄉中埔國民小學附設幼兒園,中埔鄉,公立,9,33165,0,3685,0
嘉義縣中埔鄉中山國民小學附設幼兒園,中埔鄉,公立,9,31365,0,3485,0
嘉義縣中埔鄉同仁國民小學附設幼兒園,中埔鄉,公立,9,33165,200,3685,22
嘉義縣中埔鄉社口國民小學附設幼兒園,中埔鄉,公立,9,30915,0,3435,0
嘉義縣中埔鄉立中埔幼兒園,中埔鄉,公立,10,42200,0,4220,0
嘉義縣中埔鄉立中埔幼兒園三和分班,中埔鄉,公立,10,42200,0,4220,0
嘉義縣中埔鄉立中埔幼兒園中埔分班,中埔鄉,公立,10,42200,0,4220,0
嘉義縣中埔鄉頂六國民小學附設幼兒園,中埔鄉,公立,9,31005,0,3445,0
嘉義縣六腳鄉六腳國民小學附設幼兒園,六腳鄉,公立,9,30915,0,3435,0
嘉義縣六腳鄉北美國民小學附設幼兒園,六腳鄉,公立,9,33165,200,3685,22
嘉義縣六腳鄉灣內國民小學附設幼兒園,六腳鄉,公立,9,33165,0,3685,0
嘉義縣六腳鄉立六腳幼兒園,六腳鄉,公立,10,37570,0,3757,0
嘉義縣大埔美非營利幼兒園(委託財團法人稻江科技暨管理學院設立之稻江科技暨管理學院辦理),大林鎮,非營利,12,115512,0,9626,0
嘉義縣大林鎮立大林幼兒園,大林鎮,公立,10,42200,0,4220,0
嘉義縣太保市南新國民小學附設幼兒園,太保市,公立,9,33885,0,3765,0
嘉義縣太保市太保國民小學附設幼兒園,太保市,公立,9,33165,200,3685,22
嘉義縣太保市新埤國民小學附設幼兒園,太保市,公立,9,31815,0,3535,0
嘉義縣布袋鎮好美國民小學附設幼兒園,布袋鎮,公立,9,34065,0,3785,0
嘉義縣布袋鎮布新國民小學附設幼兒園,布袋鎮,公立,8,33164,0,4146,0
嘉義縣布袋鎮布袋國民小學附設幼兒園,布袋鎮,公立,8,31814,0,3977,0
嘉義縣布袋鎮新塭國民小學附設幼兒園,布袋鎮,公立,9,34065,200,3785,22
嘉義縣布袋鎮新岑國民小學附設幼兒園,布袋鎮,公立,8,32256,0,4032,0
嘉義縣布袋鎮景山國民小學附設幼兒園,布袋鎮,公立,9,30465,0,3385,0
嘉義縣布袋鎮永安國民小學附設幼兒園,布袋鎮,公立,9,34821,0,3869,0
嘉義縣布袋鎮立布袋幼兒園,布袋鎮,公立,10,30500,0,3050,0
嘉義縣布袋鎮貴林國民小學附設幼兒園,布袋鎮,公立,9,34821,200,3869,22
嘉義縣布袋鎮過溝國民小學附設幼兒園,布袋鎮,公立,9,30015,200,3335,22
嘉義縣新港鄉復興國民小學附設幼兒園,新港鄉,公立,9,34371,200,3819,22
嘉義縣新港鄉月眉國民小學附設幼兒園,新港鄉,公立,8,34370,0,4296,0
嘉義縣新港鄉立新港幼兒園,新港鄉,公立,10,37800,0,3780,0
嘉義縣朴子市大同國民小學附設幼兒園,朴子市,公立,9,33165,0,3685,0
嘉義縣朴子市大鄉國民小學附設幼兒園,朴子市,公立,9,34821,200,3869,22
嘉義縣朴子市朴子國民小學附設幼兒園,朴子市,公立,9,30915,0,3435,0
嘉義縣朴子市松梅國民小學附設幼兒園,朴子市,公立,9,34461,0,3829,0
嘉義縣朴子市祥和國民小學附設幼兒園,朴子市,公立,9,34345,0,3816,0
嘉義縣朴子市立朴子幼兒園,朴子市,公立,10,35686,0,3569,0
嘉義縣朴子市立朴子幼兒園松梅分班,朴子市,公立,10,35686,0,3569,0
嘉義縣朴子市雙溪國民小學附設幼兒園,朴子市,公立,9,33795,0,3755,0
嘉義縣東石鄉三江國民小學附設幼兒園,東石鄉,公立,8,34064,0,4258,0
嘉義縣東石鄉下楫國民小學附設幼兒園,東石鄉,公立,9,34821,0,3869,0
嘉義縣東石鄉塭港國民小學附設幼兒園,東石鄉,公立,9,34821,0,3869,0
嘉義縣東石鄉東石國民小學附設幼兒園,東石鄉,公立,8,33164,0,4146,0
嘉義縣東石鄉港墘國民小學附設幼兒園,東石鄉,公立,9,32715,0,3635,0
嘉義縣東石鄉立東石幼兒園,東石鄉,公立,10,36500,0,3650,0
嘉義縣東石鄉網寮國民小學附設幼兒園,東石鄉,公立,9,33165,0,3685,0
嘉義縣東石鄉龍崗國民小學附設幼兒園,東石鄉,公立,9,34065,0,3785,0
嘉義縣東石鄉龍港國民小學附設幼兒園,東石鄉,公立,9,32265,0,3585,0
嘉義縣梅山鄉仁和國民小學附設幼兒園,梅山鄉,公立,9,34821,200,3869,22
嘉義縣梅山鄉大南國民小學附設幼兒園,梅山鄉,公立,9,34821,0,3869,0
嘉義縣梅山鄉大南國民小學附設幼兒園安靖分班,梅山鄉,公立,9,34821,0,3869,0
嘉義縣梅山鄉太和國民小學附設幼兒園,梅山鄉,公立,9,35721,200,3969,22
嘉義縣梅山鄉太平國民小學附設幼兒園,梅山鄉,公立,9,34821,0,3869,0
嘉義縣梅山鄉太興國民小學附設幼兒園,梅山鄉,公立,9,34821,0,3869,0
嘉義縣梅山鄉梅山國民小學附設幼兒園,梅山鄉,公立,9,33165,0,3685,0
嘉義縣梅山鄉瑞峰國民小學附設幼兒園,梅山鄉,公立,8,33614,0,4202,0
嘉義縣梅山鄉瑞里國民小學附設幼兒園,梅山鄉,公立,9,35721,0,3969,0
嘉義縣梅山鄉立梅山幼兒園,梅山鄉,公立,10,42958,0,4296,0
