point,area,type,months,total1,total2,monthly1,monthly2,total3
嘉義市東區嘉北國民小學附設幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市東區宣信國民小學附設幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市東區林森國民小學附設幼兒園,嘉義市,公立,9.5,29915,0,3149,0,29915
嘉義市東區民族國民小學附設幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市東區精忠國民小學附設幼兒園,嘉義市,公立,9.5,29915,100,3149,11,29915
嘉義市東區蘭潭國民小學附設幼兒園,嘉義市,公立,9.5,29915,0,3149,0,29915
嘉義市私立中國娃娃幼兒園,嘉義市,準公共化,12,110868,9000,9239,750,110868
嘉義市私立中正幼兒園,嘉義市,準公共化,12,120648,9000,10054,750,120648
嘉義市私立伯士鹿幼兒園,嘉義市,準公共化,12,120760,9600,10063,800,120760
嘉義市私立信義幼兒園,嘉義市,準公共化,12,110880,9000,9240,750,110880
嘉義市私立優肯幼兒園,嘉義市,私立,12,136400,0,11367,0,136400
嘉義市私立北興幼兒園,嘉義市,準公共化,12,131792,9000,10983,750,131792
嘉義市私立吉尼爾幼兒園,嘉義市,私立,11,137500,0,12500,0,137500
嘉義市私立和睦幼兒園,嘉義市,準公共化,12,110124,9000,9177,750,110124
嘉義市私立哈波特幼兒園,嘉義市,準公共化,12,164400,12000,13700,1000,164400
嘉義市私立大能力幼兒園,嘉義市,私立,12,123200,0,10267,0,123200
嘉義市私立天欣幼兒園,嘉義市,準公共化,12,98988,9000,8249,750,98988
嘉義市私立孩得堡幼兒園,嘉義市,準公共化,12,119604,24000,9967,2000,119604
嘉義市私立小叮噹幼兒園,嘉義市,準公共化,12,100500,9000,8375,750,100500
嘉義市私立小狀元幼兒園,嘉義市,準公共化,12,98588,9000,8216,750,98588
嘉義市私立小魚幼兒園,嘉義市,私立,12,130000,0,10833,0,130000
嘉義市私立幼華幼兒園,嘉義市,準公共化,12,114000,18000,9500,1500,114000
嘉義市私立忠樺幼兒園,嘉義市,準公共化,12,135036,9000,11253,750,135036
嘉義市私立恩光幼兒園,嘉義市,準公共化,12,107664,9000,8972,750,107664
嘉義市私立想像幼兒園,嘉義市,私立,12,140400,8400,11700,700,140400
嘉義市私立愛兒堡幼兒園,嘉義市,準公共化,12,116400,0,9700,0,116400
嘉義市私立愛兒幼兒園,嘉義市,準公共化,12,123528,9000,10294,750,123528
嘉義市私立慈幼幼兒園,嘉義市,準公共化,12,120000,14400,10000,1200,120000
嘉義市私立教之道幼兒園,嘉義市,私立,12,100672,0,8389,0,100672
嘉義市私立東之寶幼兒園,嘉義市,準公共化,12,114396,9000,9533,750,114396
嘉義市私立林肯幼兒園,嘉義市,準公共化,12,144000,9000,12000,750,144000
嘉義市私立桑尼種子幼兒園,嘉義市,準公共化,12,129400,9000,10783,750,129400
嘉義市私立步芮幼兒園,嘉義市,私立,12,184000,0,15333,0,184000
嘉義市私立百合幼兒園,嘉義市,私立,12,125200,0,10433,0,125200
嘉義市私立磐石幼兒園,嘉義市,準公共化,12,137280,9000,11440,750,137280
嘉義市私立種子幼兒園,嘉義市,準公共化,12,136000,7920,11333,660,136000
嘉義市私立精英幼兒園,嘉義市,準公共化,12,111612,9000,9301,750,111612
嘉義市私立綠光森林幼兒園,嘉義市,私立,12,75600,5688,6300,474,75600
嘉義市私立美的幼兒園,嘉義市,準公共化,12,126000,9000,10500,750,126000
嘉義市私立育光幼兒園,嘉義市,私立,12,36396,0,3033,0,36396
嘉義市私立育志幼兒園,嘉義市,準公共化,12,120000,14400,10000,1200,120000
嘉義市私立華特幼兒園,嘉義市,私立,12,140000,12000,11667,1000,140000
嘉義市私立諾爾堡幼兒園,嘉義市,私立,12,190080,0,15840,0,190080
嘉義市私立貝萊登幼兒園,嘉義市,準公共化,12,115548,9000,9629,750,115548
嘉義市私立雨果幼兒園,嘉義市,私立,12,201140,28800,16762,2400,201140
嘉義市立吳鳳幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市立幸福幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市立復國幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市西區世賢國民小學附設幼兒園,嘉義市,公立,9.5,29915,0,3149,0,29915
嘉義市西區北園國民小學附設幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
嘉義市西區博愛國民小學附設幼兒園,嘉義市,公立,9.5,29915,200,3149,21,29915
