point,area,type,months,total1,total2,monthly1,monthly2,total3
臺南市私立德妮湖美幼兒園,北區,準公共化,12,197400,72000,16450,6000,197400
臺南市私立德安幼兒園,永康區,私立,12,118800,36000,9900,3000,118800
臺南市私立德成幼兒園,山上區,私立,12,106000,0,8833,0,106000
臺南市私立德林國學幼兒園,新市區,準公共化,12,139000,9000,11583,750,139000
臺南市私立德蕾幼兒園,玉井區,私立,12,76000,39600,6333,3300,76000
臺南市私立心之寶幼兒園,新市區,準公共化,12,128172,0,10681,0,128172
臺南市私立心馨園幼兒園,南區,私立,12,115800,26400,9650,2200,115800
臺南市私立快樂幼兒園,南區,準公共化,12,147600,9000,12300,750,147600
臺南市私立快樂讀經幼兒園,北區,準公共化,12,115188,26400,9599,2200,115188
臺南市私立怡東幼兒園,東區,私立,12,141600,30000,11800,2500,141600
臺南市私立意文幼兒園,安南區,準公共化,12,150124,9000,12510,750,150124
臺南市私立愛上學幼兒園,安南區,準公共化,12,150000,9000,12500,750,150000
臺南市私立愛佳幼兒園,永康區,私立,12,95600,28800,7967,2400,95600
臺南市私立愛兒堡幼兒園,東區,準公共化,12,148164,26400,12347,2200,148164
臺南市私立愛兒幼兒園,永康區,私立,12,129000,54000,10750,4500,129000
臺南市私立愛因斯坦資優幼兒園,安南區,準公共化,12,166000,9000,13833,750,166000
臺南市私立愛幼幼兒園,永康區,私立,12,120000,26400,10000,2200,120000
臺南市私立愛心幼兒園,新市區,準公共化,12,125628,9000,10469,750,125628
臺南市私立愛普樂斯幼兒園,北區,私立,12,151200,66000,12600,5500,151200
臺南市私立愛森國際幼兒園,安南區,私立,12,163200,22800,13600,1900,163200
臺南市私立愛森堡幼兒園,永康區,準公共化,12,198000,36000,16500,3000,198000
臺南市私立愛瑞汀幼兒園,安南區,私立,12,150000,22800,12500,1900,150000
臺南市私立愛群幼兒園,新營區,準公共化,12,150000,48000,12500,4000,150000
臺南市私立愛貝文幼兒園,安平區,私立,12,205200,0,17100,0,205200
臺南市私立愛迪堡幼兒園,仁德區,私立,12,119400,72000,9950,6000,119400
臺南市私立愛迪生幼兒園,新市區,私立,12,121000,12000,10083,1000,121000
臺南市私立愛迪生資優幼兒園,中西區,準公共化,12,130840,9000,10903,750,130840
臺南市私立愛麗兒幼兒園,東區,準公共化,12,154200,39600,12850,3300,154200
臺南市私立愛麗絲幼兒園,北區,私立,12,129600,36000,10800,3000,129600
臺南市私立慈心幼兒園,東區,準公共化,12,117792,9000,9816,750,117792
臺南市私立慈恩幼兒園,永康區,私立,12,176400,84000,14700,7000,176400
臺南市私立慈暉幼兒園,安定區,私立,12,100800,0,8400,0,100800
